feature,missing_rate,mean,std,target_separation_q75_minus_q25,pearson_corr,candidate_name,valid_year
rf_prev3_dev_x_strikes,0.011086447408614194,-0.014202508502777973,0.09415327932138208,0.016056379036602564,0.01607915154869453,E_recent_context,2023
rf_prev3_dev_x_two_strike,0.011086447408614194,-0.00458134828235236,0.04202871067699545,0.003260980710858341,0.011289455061033397,E_recent_context,2023
rf_prev3_dev_x_hitter_count,0.011086447408614194,-0.004852761790422688,0.04234767726824086,0.003386832632647163,0.014702176706123093,E_recent_context,2023
rf_prev3_dev_x_late,0.011086447408614194,-0.006843323344439731,0.05453259093874074,0.004016784374851146,0.014066677582454506,E_recent_context,2023
rf_prev3_dev_x_li,0.011086447408614194,-0.01690017943538589,0.11540353892834501,0.026161018764106037,0.014878218097826907,E_recent_context,2023
rf_prev3_dev_x_balls,0.01435068854114482,-0.020331082979481246,0.09692296858503967,0.015501675568780904,0.014415388354318428,E_recent_context,2024
rf_prev3_dev_x_strikes,0.01435068854114482,-0.01957477635480992,0.08768841993389132,0.008474621376737546,0.010217403970780792,E_recent_context,2024
rf_prev3_dev_x_two_strike,0.01435068854114482,-0.0063695319547442866,0.039450403549822724,0.00016500914619121954,0.005248069599510781,E_recent_context,2024
rf_prev3_dev_x_hitter_count,0.01435068854114482,-0.006400821250335176,0.039362577639352476,0.002536389059062061,0.013642342726780552,E_recent_context,2024
rf_prev3_dev_x_late,0.01435068854114482,-0.010053432578671225,0.051606535420161,0.001748791090558477,0.009600588118250458,E_recent_context,2024
rf_prev3_dev_x_li,0.01435068854114482,-0.0214843335776747,0.10365501387627568,0.02162707306140743,0.013702801337518389,E_recent_context,2024
rf_fastball_minus_breaking,0.00035559578457360834,0.2656860858608479,0.16791808459452787,0.027649322510752472,0.018712194643603578,P_pitchmix,2022
rf_fastball_minus_offspeed,0.00035559578457360834,0.4005339538085325,0.1767170500495519,0.017002421822556624,0.012933647296265336,P_pitchmix,2022
rf_breaking_plus_offspeed,0.00035559578457360834,0.44459331952927433,0.09680842474062133,-0.016201532839633992,-0.01868884997923827,P_pitchmix,2022
rf_pitchmix_entropy_proxy,0.00035559578457360834,-0.447709821132382,0.07498348465344092,-0.01038062283737018,-0.014721856889913969,P_pitchmix,2022
rf_fastball_minus_breaking,0.0002565930149679259,0.24969864177673123,0.16443138236284988,0.009337418114265195,0.0033542621420604487,P_pitchmix,2023
rf_fastball_minus_offspeed,0.0002565930149679259,0.38625674731959736,0.1638231071496097,-0.02278935593024023,-0.016827192301858147,P_pitchmix,2023
rf_breaking_plus_offspeed,0.0002565930149679259,0.4546815366355566,0.08958045218123022,0.015374739347969846,0.00820542093369503,P_pitchmix,2023
rf_pitchmix_entropy_proxy,0.0002565930149679259,-0.43986552981743404,0.0668449680895365,0.023237623439689714,0.01608331132806422,P_pitchmix,2023
rf_fastball_minus_breaking,0.00031951780424209193,0.2566118080054927,0.17447600033518992,0.0083968622251685,0.004628083951587377,P_pitchmix,2024
rf_fastball_minus_offspeed,0.00031951780424209193,0.39709449494215265,0.16530686550655993,-0.034944836403238755,-0.02399430776248752,P_pitchmix,2024
rf_breaking_plus_offspeed,0.00031951780424209193,0.44876456541629517,0.09422471712663916,0.022475811670375823,0.011175175273253296,P_pitchmix,2024
rf_pitchmix_entropy_proxy,0.00031951780424209193,-0.44555623278996925,0.06941659603617648,0.034455545559291034,0.02290877205506628,P_pitchmix,2024
rf_prev1_minus_career,0.011884172754897523,-0.008415460409518629,0.1312083062348627,0.05534553103145301,0.041259864954084666,A_B_recent_combo,2022
rf_prev3_minus_career,0.011884172754897523,-0.008899656252172525,0.07905935750509627,0.04882796525608102,0.03941408820841111,A_B_recent_combo,2022
rf_prev5_minus_career,0.011884172754897523,-0.009293149052676348,0.06281124377559628,0.036828721647152785,0.034805704982879285,A_B_recent_combo,2022
rf_prev1_minus_prev5,0.011884172754897523,0.0008776886431577188,0.1169286632922913,0.0364600323740627,0.02760184957879584,A_B_recent_combo,2022
rf_prev3_minus_prev5,0.011884172754897523,0.00039349280050382166,0.047140281197062435,0.021308876893429973,0.01972544173120043,A_B_recent_combo,2022
rf_recent_mean_minus_career,0.011884172754897523,-0.008869421904789166,0.07816723189583494,0.05654883614414474,0.04569638217564021,A_B_recent_combo,2022
rf_recent_range,0.011884172754897523,0.09652175670732953,0.08115828332686377,0.002432634519997201,0.0011804289282162563,A_B_recent_combo,2022
rf_recent_std,0.011884172754897523,0.05121694616976017,0.04378880843713794,0.0011090187390516704,0.0011950300332010829,A_B_recent_combo,2022
rf_short_vs_medium,0.011884172754897523,0.00048419584265389716,0.1065279223741705,0.030740790425531794,0.021567908718132675,A_B_recent_combo,2022
rf_medium_vs_long,0.011884172754897523,0.00039349280050382166,0.047140281197062435,0.021308876893429973,0.01972544173120043,A_B_recent_combo,2022
rf_recent_trend,0.011884172754897523,-0.008736256890946339,0.08982862322644011,0.058021036101614576,0.04540726577746115,A_B_recent_combo,2022
rf_prev1_minus_career,0.011086447408614194,-0.019582235156073033,0.12819639714998346,0.027404632001091944,0.02091794504878788,A_B_recent_combo,2023
rf_prev3_minus_career,0.011086447408614194,-0.01666208690172692,0.077725601147681,0.027009217983326506,0.021757078003838474,A_B_recent_combo,2023
