candidate_name,valid_year,tm_has_match,n,actual_rate,brier,auc,prediction_std
C_SLOPE,2023,0,158067,0.49976908526131325,0.2506842007772664,0.5106718902301088,0.01378842640390135
C_SLOPE,2023,1,87458,0.5002972855542088,0.2504120730372936,0.521234025802401,0.015302724895954394
C_SLOPE,2024,0,153989,0.4881712330101501,0.24988423806094295,0.5045373475780719,0.005735192677219212
C_SLOPE,2024,1,99518,0.4829076147028678,0.24958072507246484,0.5213015949101663,0.005670592671417855
D_LEAGUE_RELATIVE,2022,0,177333,0.5289088889264829,0.2489563079818172,0.5312880695071046,0.01060408864501332
D_LEAGUE_RELATIVE,2022,1,70139,0.5289496571094541,0.2488632677858197,0.5359408806173607,0.011904511774815496
D_LEAGUE_RELATIVE,2023,0,158067,0.49976908526131325,0.2507046291665609,0.50941808244951,0.013669419865618518
D_LEAGUE_RELATIVE,2023,1,87458,0.5002972855542088,0.25042003731596946,0.52050936229769,0.015369821023874939
D_LEAGUE_RELATIVE,2024,0,153989,0.4881712330101501,0.24988704875795859,0.5032479614123165,0.005596683087840069
D_LEAGUE_RELATIVE,2024,1,99518,0.4829076147028678,0.24958460634068325,0.5208637547643922,0.005508428856776514
E_PITCHTYPE_ADJUSTED,2022,0,177333,0.5289088889264829,0.2489563079818172,0.5312880695071046,0.01060408864501332
E_PITCHTYPE_ADJUSTED,2022,1,70139,0.5289496571094541,0.2488632677858197,0.5359408806173607,0.011904511774815496
E_PITCHTYPE_ADJUSTED,2023,0,158067,0.49976908526131325,0.2506916541302211,0.510372026444825,0.013667032252354761
E_PITCHTYPE_ADJUSTED,2023,1,87458,0.5002972855542088,0.2504006034772831,0.5215170113645087,0.015047460588432001
E_PITCHTYPE_ADJUSTED,2024,0,153989,0.4881712330101501,0.24988404439803333,0.504512031261964,0.005582745958028214
E_PITCHTYPE_ADJUSTED,2024,1,99518,0.4829076147028678,0.24958334717459363,0.5212969399571061,0.005518518936239208
F_RELIABILITY,2022,0,177333,0.5289088889264829,0.2489598953661553,0.5314308036885642,0.010476003793066865
F_RELIABILITY,2022,1,70139,0.5289496571094541,0.24887881372238255,0.5351634852186858,0.011928864854129867
F_RELIABILITY,2023,0,158067,0.49976908526131325,0.2506903506227531,0.509994340739189,0.013727494027547454
F_RELIABILITY,2023,1,87458,0.5002972855542088,0.2504313894012467,0.5201231035725029,0.01533244683002761
F_RELIABILITY,2024,0,153989,0.4881712330101501,0.24989080282609993,0.5033497161418415,0.00554399049402151
F_RELIABILITY,2024,1,99518,0.4829076147028678,0.2495834971206933,0.5215686279584083,0.005450151335320654
G_RELEASE_CORE,2022,0,177333,0.5289088889264829,0.24900726134435472,0.5285660872179617,0.010332835005664868
G_RELEASE_CORE,2022,1,70139,0.5289496571094541,0.24892135421837241,0.5344410126593019,0.01143986670210707
G_RELEASE_CORE,2023,0,158067,0.49976908526131325,0.2506730215545063,0.5108514324862443,0.013813670415916853
G_RELEASE_CORE,2023,1,87458,0.5002972855542088,0.25040635606916184,0.521465042316822,0.015284521240917335
G_RELEASE_CORE,2024,0,153989,0.4881712330101501,0.24989015828503208,0.5034525735180756,0.00547799431898081
G_RELEASE_CORE,2024,1,99518,0.4829076147028678,0.24958720380288338,0.5210372455766098,0.005418125301286362
H_MOVEMENT_CORE,2022,0,177333,0.5289088889264829,0.24898954930815437,0.5296833558828927,0.010364939451527114
H_MOVEMENT_CORE,2022,1,70139,0.5289496571094541,0.2489216955388206,0.5337214134500361,0.011563508559059266
H_MOVEMENT_CORE,2023,0,158067,0.49976908526131325,0.2506915585279646,0.5098045618511584,0.01370602043600285
H_MOVEMENT_CORE,2023,1,87458,0.5002972855542088,0.25041857244775306,0.5211541711729688,0.015339232114645447
H_MOVEMENT_CORE,2024,0,153989,0.4881712330101501,0.2498843607024943,0.5043325608682993,0.005539223404339726
H_MOVEMENT_CORE,2024,1,99518,0.4829076147028678,0.24958018719937533,0.5217282709726783,0.005529009736636184
I_RELEASE_PLUS_RELIABILITY,2022,0,177333,0.5289088889264829,0.24902299035009115,0.5277949115713357,0.010317288419775592
I_RELEASE_PLUS_RELIABILITY,2022,1,70139,0.5289496571094541,0.24893982142303778,0.532943043135577,0.01143706426311639
I_RELEASE_PLUS_RELIABILITY,2023,0,158067,0.49976908526131325,0.250668315910217,0.5113023185709487,0.013746271887479403
I_RELEASE_PLUS_RELIABILITY,2023,1,87458,0.5002972855542088,0.2504133525077205,0.5211520652489824,0.015383688592642712
I_RELEASE_PLUS_RELIABILITY,2024,0,153989,0.4881712330101501,0.2498935688285359,0.5033494757976025,0.005537107661188424
I_RELEASE_PLUS_RELIABILITY,2024,1,99518,0.4829076147028678,0.2495722247999044,0.5221427825737255,0.0055718050366812405
K_STABLE_TOP10,2022,0,177333,0.5289088889264829,0.24896400461965995,0.5312610469959953,0.01053205717984964
K_STABLE_TOP10,2022,1,70139,0.5289496571094541,0.24888773444893783,0.535267337408726,0.011815490894217602
K_STABLE_TOP10,2023,0,158067,0.49976908526131325,0.25072960715398274,0.5089949840471695,0.013800223077712682
K_STABLE_TOP10,2023,1,87458,0.5002972855542088,0.2504165952314683,0.5203112527412539,0.015265108398102047
K_STABLE_TOP10,2024,0,153989,0.4881712330101501,0.24988042880535882,0.504885763684422,0.005639944823249321
K_STABLE_TOP10,2024,1,99518,0.4829076147028678,0.24957916890774093,0.5214305686901808,0.005596623171855374
J_BEST_COMBINATION,2022,0,177333,0.5289088889264829,0.2489563079818172,0.5312880695071046,0.01060408864501332
J_BEST_COMBINATION,2022,1,70139,0.5289496571094541,0.2488632677858197,0.5359408806173607,0.011904511774815496
J_BEST_COMBINATION,2023,0,158067,0.49976908526131325,0.25069108838069054,0.5103124818457316,0.013801879717895664
J_BEST_COMBINATION,2023,1,87458,0.5002972855542088,0.2504064518829781,0.5209852639890896,0.015274650307144233
J_BEST_COMBINATION,2024,0,153989,0.4881712330101501,0.24988535361815667,0.5041554974614275,0.005480734398138591
J_BEST_COMBINATION,2024,1,99518,0.4829076147028678,0.24958941307103294,0.5208065797535065,0.005440998495473477
