candidate_name,valid_year,tm_has_match,n,actual_rate,brier,auc,prediction_std,base_auc,base_brier,delta_auc_vs_base,delta_brier_vs_base
B_RECENT_DELTA,2022,0,177333,0.5289088889264829,0.2489563079818172,0.5312880695071046,0.0106040886450133,0.5305983279960681,0.2489727115093668,0.0006897415110365124,-1.6403527549613273e-05
B_RECENT_DELTA,2022,1,70139,0.5289496571094541,0.2488632677858197,0.5359408806173607,0.0119045117748154,0.5364247700728428,0.2488592622559562,-0.0004838894554821671,4.005529863487789e-06
B_RECENT_DELTA,2023,0,158067,0.4997690852613132,0.2506626961097313,0.5113984862531555,0.0137040143089373,0.5118187017454877,0.2506555900162356,-0.0004202154923321766,7.106093495690136e-06
B_RECENT_DELTA,2023,1,87458,0.5002972855542088,0.2504131440374661,0.5207995787043371,0.0152907362685416,0.5211592908640109,0.2504097739918813,-0.0003597121596737862,3.370045584816239e-06
B_RECENT_DELTA,2024,0,153989,0.4881712330101501,0.2498817955585701,0.504726542968022,0.0057594834270462,0.5032135324376336,0.249895726847919,0.0015130105303884367,-1.3931289348900755e-05
B_RECENT_DELTA,2024,1,99518,0.4829076147028678,0.2495752329630263,0.5214197086830742,0.0057277335494006,0.5207690956954673,0.2495856405137162,0.0006506129876069355,-1.0407550689900402e-05
C_SLOPE,2022,0,177333,0.5289088889264829,0.2489563079818172,0.5312880695071046,0.0106040886450133,0.5305983279960681,0.2489727115093668,0.0006897415110365124,-1.6403527549613273e-05
C_SLOPE,2022,1,70139,0.5289496571094541,0.2488632677858197,0.5359408806173607,0.0119045117748154,0.5364247700728428,0.2488592622559562,-0.0004838894554821671,4.005529863487789e-06
C_SLOPE,2023,0,158067,0.4997690852613132,0.2506842007772664,0.5106718902301088,0.0137884264039013,0.5118187017454877,0.2506555900162356,-0.001146811515378876,2.861076103077842e-05
C_SLOPE,2023,1,87458,0.5002972855542088,0.2504120730372936,0.521234025802401,0.0153027248959543,0.5211592908640109,0.2504097739918813,7.473493839005307e-05,2.2990454123239523e-06
C_SLOPE,2024,0,153989,0.4881712330101501,0.2498842380609429,0.5045373475780719,0.0057351926772192,0.5032135324376336,0.249895726847919,0.0013238151404383336,-1.1488786976099341e-05
C_SLOPE,2024,1,99518,0.4829076147028678,0.2495807250724648,0.5213015949101663,0.0056705926714178,0.5207690956954673,0.2495856405137162,0.0005324992146990004,-4.9154412514185175e-06
D_LEAGUE_RELATIVE,2022,0,177333,0.5289088889264829,0.2489563079818172,0.5312880695071046,0.0106040886450133,0.5305983279960681,0.2489727115093668,0.0006897415110365124,-1.6403527549613273e-05
D_LEAGUE_RELATIVE,2022,1,70139,0.5289496571094541,0.2488632677858197,0.5359408806173607,0.0119045117748154,0.5364247700728428,0.2488592622559562,-0.0004838894554821671,4.005529863487789e-06
D_LEAGUE_RELATIVE,2023,0,158067,0.4997690852613132,0.2507046291665609,0.50941808244951,0.0136694198656185,0.5118187017454877,0.2506555900162356,-0.0024006192959776795,4.903915032528072e-05
D_LEAGUE_RELATIVE,2023,1,87458,0.5002972855542088,0.2504200373159694,0.52050936229769,0.0153698210238749,0.5211592908640109,0.2504097739918813,-0.0006499285663209564,1.0263324088100045e-05
D_LEAGUE_RELATIVE,2024,0,153989,0.4881712330101501,0.2498870487579585,0.5032479614123165,0.00559668308784,0.5032135324376336,0.249895726847919,3.442897468297623e-05,-8.678089960495461e-06
D_LEAGUE_RELATIVE,2024,1,99518,0.4829076147028678,0.2495846063406832,0.5208637547643922,0.0055084288567765,0.5207690956954673,0.2495856405137162,9.465906892491827e-05,-1.0341730330154508e-06
E_PITCHTYPE_ADJUSTED,2022,0,177333,0.5289088889264829,0.2489563079818172,0.5312880695071046,0.0106040886450133,0.5305983279960681,0.2489727115093668,0.0006897415110365124,-1.6403527549613273e-05
E_PITCHTYPE_ADJUSTED,2022,1,70139,0.5289496571094541,0.2488632677858197,0.5359408806173607,0.0119045117748154,0.5364247700728428,0.2488592622559562,-0.0004838894554821671,4.005529863487789e-06
E_PITCHTYPE_ADJUSTED,2023,0,158067,0.4997690852613132,0.2506916541302211,0.510372026444825,0.0136670322523547,0.5118187017454877,0.2506555900162356,-0.0014466753006626698,3.606411398549003e-05
E_PITCHTYPE_ADJUSTED,2023,1,87458,0.5002972855542088,0.2504006034772831,0.5215170113645087,0.015047460588432,0.5211592908640109,0.2504097739918813,0.00035772050049776016,-9.170514598200175e-06
E_PITCHTYPE_ADJUSTED,2024,0,153989,0.4881712330101501,0.2498840443980333,0.504512031261964,0.0055827459580282,0.5032135324376336,0.249895726847919,0.0012984988243304185,-1.168244988569711e-05
E_PITCHTYPE_ADJUSTED,2024,1,99518,0.4829076147028678,0.2495833471745936,0.5212969399571061,0.0055185189362392,0.5207690956954673,0.2495856405137162,0.0005278442616388768,-2.293339122605431e-06
F_RELIABILITY,2022,0,177333,0.5289088889264829,0.2489598953661553,0.5314308036885642,0.0104760037930668,0.5305983279960681,0.2489727115093668,0.0008324756924961152,-1.28161432115248e-05
F_RELIABILITY,2022,1,70139,0.5289496571094541,0.2488788137223825,0.5351634852186858,0.0119288648541298,0.5364247700728428,0.2488592622559562,-0.0012612848541569965,1.9551466426293018e-05
F_RELIABILITY,2023,0,158067,0.4997690852613132,0.2506903506227531,0.509994340739189,0.0137274940275474,0.5118187017454877,0.2506555900162356,-0.0018243610062986804,3.476060651746993e-05
