strategy,temperature,valid_year,target_rate_estimator,target_rate,platt_pred_mean,mean_matched_pred_mean,mean_matched_pred_std,actual_rate,constant_brier,model_brier,skill_margin,pseudo_score,auc,logloss,pred_mean,pred_std
temperature,2.0,2023,linear_trend_recent3,0.5276733290608981,0.5311629375524517,0.5276733290608981,0.05544871193038937,0.49995723449750534,0.24999999817111176,0.2508751645230789,-0.0008751663519671327,0.0,0.5154708686332126,0.694928032586186,0.5276733290608981,0.02816064776630434
temperature,2.5,2023,linear_trend_recent3,0.5276733290608981,0.5311629375524517,0.5276733290608981,0.05544871193038937,0.49995723449750534,0.24999999817111176,0.2507287883168091,-0.00072879014569735,0.0,0.5154708686332126,0.6946216736004787,0.527673329060898,0.022575513002164503
temperature,3.0,2023,linear_trend_recent3,0.5276733290608981,0.5311629375524517,0.5276733290608981,0.05544871193038937,0.49995723449750534,0.24999999817111176,0.2506653454416823,-0.000665347270570521,0.0,0.5154708686332126,0.6944887872738119,0.527673329060898,0.018835182190896516
temperature,4.0,2023,linear_trend_recent3,0.5276733290608981,0.5311629375524517,0.5276733290608981,0.05544871193038937,0.49995723449750534,0.24999999817111176,0.25062502456634644,-0.0006250263952346791,0.0,0.5154708686332126,0.6944032492862093,0.527673329060898,0.014143915986954279
temperature,5.0,2023,linear_trend_recent3,0.5276733290608981,0.5311629375524517,0.5276733290608981,0.05544871193038937,0.49995723449750534,0.24999999817111176,0.25062182354022616,-0.0006218253691143982,0.0,0.5154708686332126,0.6943949992700073,0.5276733290608981,0.011322099628534261
temperature,7.5,2023,linear_trend_recent3,0.5276733290608981,0.5311629375524517,0.5276733290608981,0.05544871193038937,0.49995723449750534,0.24999999817111176,0.25064223163496924,-0.0006422334638574723,0.0,0.5154708686332126,0.694434343648866,0.527673329060898,0.007553117234083945
temperature,10.0,2023,linear_trend_recent3,0.5276733290608981,0.5311629375524517,0.5276733290608981,0.05544871193038937,0.49995723449750534,0.24999999817111176,0.2506630569694729,-0.0006630587983611214,0.0,0.5154708686332126,0.6944756143422836,0.527673329060898,0.00566636162476252
temperature,15.0,2023,linear_trend_recent3,0.5276733290608981,0.5311629375524517,0.5276733290608981,0.05544871193038937,0.49995723449750534,0.24999999817111176,0.2506909836271745,-0.0006909854560627482,0.0,0.5154708686332126,0.6945312937476018,0.5276733290608981,0.0037784245062695136
temperature,20.0,2023,linear_trend_recent3,0.5276733290608981,0.5311629375524517,0.5276733290608981,0.05544871193038937,0.49995723449750534,0.24999999817111176,0.25070761344943715,-0.0007076152783253853,0.0,0.5154708686332126,0.6945645383136745,0.527673329060898,0.0028340903923245613
temperature,1.0,2024,linear_trend_recent3,0.48774205570452267,0.49999525244929005,0.4877420557045226,0.012986395471073893,0.4861049201797189,0.24980692675678798,0.24982391930510608,-1.6992548318106593e-05,0.0,0.5106875170195614,0.6927947567986582,0.4877420557045226,0.012986395471073891
temperature,1.25,2024,linear_trend_recent3,0.48774205570452267,0.49999525244929005,0.4877420557045226,0.012986395471073893,0.4861049201797189,0.24980692675678798,0.24979409666019126,1.2830096596722074e-05,5.136005139366474,0.5106875170195614,0.6927350568598591,0.48774205570452267,0.010392191632574424
temperature,1.5,2024,linear_trend_recent3,0.48774205570452267,0.49999525244929005,0.4877420557045226,0.012986395471073893,0.4861049201797189,0.24980692675678798,0.24978168125212769,2.524550466029285e-05,10.106006662045793,0.5106875170195614,0.6927102522600556,0.48774205570452267,0.008661418190527384
temperature,2.0,2024,linear_trend_recent3,0.48774205570452267,0.49999525244929005,0.4877420557045226,0.012986395471073893,0.4861049201797189,0.24980692675678798,0.24977458561395527,3.234114283270917e-05,12.946455589758928,0.5106875170195614,0.692696126951471,0.4877420557045226,0.006496862871915901
temperature,2.5,2024,linear_trend_recent3,0.48774205570452267,0.49999525244929005,0.4877420557045226,0.012986395471073893,0.4861049201797189,0.24980692675678798,0.24977482854723068,3.2098209557296364e-05,12.84920717532672,0.5106875170195614,0.6926966579534689,0.48774205570452267,0.0051977113138088876
temperature,3.0,2024,linear_trend_recent3,0.48774205570452267,0.49999525244929005,0.4877420557045226,0.012986395471073893,0.4861049201797189,0.24980692675678798,0.24977686763244297,3.005912434500546e-05,12.032942695088284,0.5106875170195614,0.6927007653313392,0.48774205570452267,0.0043314923782341004
temperature,4.0,2024,linear_trend_recent3,0.48774205570452267,0.49999525244929005,0.4877420557045226,0.012986395471073893,0.4861049201797189,0.24980692675678798,0.24978152943022633,2.539732656164917e-05,10.16678235923218,0.5106875170195614,0.6927101225179789,0.48774205570452267,0.0032486337371496104
temperature,5.0,2024,linear_trend_recent3,0.48774205570452267,0.49999525244929005,0.4877420557045226,0.012986395471073893,0.4861049201797189,0.24980692675678798,0.24978545375161276,2.1473005175215443e-05,8.595840577359795,0.5106875170195614,0.692717989175613,0.4877420557045226,0.0025988935798212064
temperature,7.5,2024,linear_trend_recent3,0.48774205570452267,0.49999525244929005,0.4877420557045226,0.012986395471073893,0.4861049201797189,0.24980692675678798,0.24979200152944822,1.4925227339757097e-05,5.974705158711751,0.5106875170195614,0.6927311058211081,0.4877420557045226,0.001732567975518263
temperature,10.0,2024,linear_trend_recent3,0.48774205570452267,0.49999525244929005,0.4877420557045226,0.012986395471073893,0.4861049201797189,0.24980692675678798,0.24979583916800618,1.1087588781794055e-05,4.438463306739662,0.5106875170195614,0.692738790317576,0.4877420557045226,0.0012994104918867295
temperature,15.0,2024,linear_trend_recent3,0.48774205570452267,0.49999525244929005,0.4877420557045226,0.012986395471073893,0.4861049201797189,0.24980692675678798,0.24980005263497532,6.874121812661116e-06,2.751773900710832,0.5106875170195614,0.6927472255781356,0.4877420557045226,0.0008662610749506447
temperature,20.0,2024,linear_trend_recent3,0.48774205570452267,0.49999525244929005,0.4877420557045226,0.012986395471073893,0.4861049201797189,0.24980692675678798,0.24980230029888045,4.626457907525028e-06,1.852013459990782,0.5106875170195614,0.6927517247385743,0.48774205570452267,0.0006496904508806127
