prior_name,weight,mean_brier,std_brier,max_brier,mean_prior_error,folds
prev_year_rate,0.85,0.24994039120166633,0.0008417601114268215,0.25075916472230997,0.01555222900698485,3
linear_recent_3y,0.9,0.24994240396811837,0.0007083332296063464,0.2507096698189819,0.003968497187133139,3
linear_recent_2y,1.0,0.2499483765437509,0.0007300717402392901,0.25063111533376303,0.004634074819871288,3
linear_recent_3y,0.4,0.24995426510977806,0.0011393099906592092,0.2511347623505805,0.003968497187133139,3
prev_year_rate,0.9,0.24995708499421174,0.0008329408999807271,0.2507737994460336,0.01555222900698485,3
linear_all_history,0.3,0.24995991002526688,0.0011430640957891035,0.251120245757113,0.00043183670857656803,3
prev_year_rate,0.5,0.24996236414129613,0.001035533985827326,0.2509908247010132,0.01555222900698485,3
recency_weighted_linear,0.3,0.24999719502788698,0.0012114490828872475,0.251258445358247,0.004381550799790412,3
linear_recent_2y,0.3,0.25000486844078296,0.0012299196726893872,0.2513176098222477,0.004634074819871288,3
prev_year_rate,1.0,0.2500053471672434,0.00083027086360438,0.25083886564827773,0.01555222900698485,3
prev_year_rate,0.4,0.25001326588786993,0.0011350641237620604,0.25116440353074704,0.01555222900698485,3
linear_recent_3y,1.0,0.2500152728548315,0.0006740329374096835,0.2507681800689588,0.003968497187133139,3
linear_recent_3y,0.3,0.25003187845315505,0.0012695397870600771,0.25136330961319675,0.003968497187133139,3
exp_smoothing_0.65,0.6,0.25005137043280795,0.0009985922073923285,0.2509639103486511,0.021449239063504304,3
exp_smoothing_0.65,0.65,0.2500543350354917,0.0009718832706732605,0.25092707461607966,0.021449239063504304,3
exp_smoothing_0.65,0.5,0.2500608029779317,0.0010670899223053458,0.2510733537281837,0.021449239063504304,3
exp_smoothing_0.65,0.7,0.2500624202216725,0.0009499000345965924,0.2509021628549713,0.021449239063504304,3
exp_smoothing_0.65,0.75,0.2500756259913504,0.000833995134779467,0.2508891750653262,0.021449239063504304,3
prev_year_rate,0.3,0.25008400041836487,0.0012561480133877292,0.2513857113668765,0.01555222900698485,3
linear_all_history,0.2,0.25008515571151574,0.0013256545439233368,0.2514716210725808,0.00043183670857656803,3
exp_smoothing_0.65,0.4,0.2500907178570438,0.001157180095004774,0.2512304929935691,0.021449239063504304,3
exp_smoothing_0.65,0.8,0.2500939523445255,0.0008222556062219819,0.25088811124714433,0.021449239063504304,3
recency_weighted_linear,0.2,0.25011314038535165,0.0013723452811820853,0.25156835126028415,0.004381550799790412,3
linear_recent_2y,0.2,0.2501159044343421,0.0013852503926025082,0.25160879704152767,0.004634074819871288,3
exp_smoothing_0.65,0.85,0.25011739928119764,0.000910387223483933,0.2508989714004256,0.021449239063504304,3
linear_recent_3y,0.2,0.2501345721682138,0.0014155069449146138,0.25163969979457845,0.003968497187133139,3
exp_smoothing_0.65,0.3,0.2501411150701443,0.0012704187415918133,0.25143532814480724,0.021449239063504304,3
exp_smoothing_0.65,0.9,0.25014596680136686,0.0009055806051915788,0.2509217555251701,0.021449239063504304,3
prev_year_rate,0.2,0.25017456773278085,0.0013998698747946052,0.25165474820940154,0.01555222900698485,3
exp_smoothing_0.65,0.2,0.25021199461723326,0.0014079589082944667,0.2516878591818982,0.021449239063504304,3
exp_smoothing_0.65,1.0,0.2502184635921966,0.0009082550931214118,0.2510030956890487,0.021449239063504304,3
linear_all_history,0.1,0.2502369192742188,0.0015304608165275914,0.2518768754580893,0.00043183670857656803,3
recency_weighted_linear,0.1,0.25025247561384806,0.0015544934899758861,0.2519275391120813,0.004381550799790412,3
linear_recent_2y,0.1,0.2502526818585398,0.0015614736399147166,0.25194826340532456,0.004634074819871288,3
linear_recent_3y,0.1,0.2502623462549541,0.00157817912220918,0.2519639328947257,0.003968497187133139,3
prev_year_rate,0.1,0.25028496783111803,0.0015671007479216043,0.2519715140583222,0.01555222900698485,3
exp_smoothing_0.65,0.1,0.25030335649831054,0.0015705232425343375,0.25198808610484186,0.021449239063504304,3
exp_smoothing_0.65,0.0,0.2504152007133762,0.0017584718459594758,0.25233600891363844,0.021449239063504304,3
linear_all_history,0.0,0.2504152007133762,0.0017584718459594758,0.25233600891363844,0.00043183670857656803,3
linear_recent_2y,0.0,0.2504152007133762,0.0017584718459594758,0.25233600891363844,0.004634074819871288,3
linear_recent_3y,0.0,0.2504152007133762,0.0017584718459594758,0.25233600891363844,0.003968497187133139,3
prev_year_rate,0.0,0.2504152007133762,0.0017584718459594758,0.25233600891363844,0.01555222900698485,3
recency_weighted_linear,0.0,0.2504152007133762,0.0017584718459594758,0.25233600891363844,0.004381550799790412,3
