method,prior_name,weight,mean_brier,std_brier,mean_logloss,mean_bias,folds
blend,linear_all_history,0.6,0.24974328022524564,0.0007132907951713035,0.6926355805392502,0.007281844797637956,3
blend,linear_all_history,0.85,0.24974506579251746,0.0004607868738315235,0.692637272665944,0.0030005897419746095,3
blend,recency_weighted_linear,0.75,0.24976489057331366,0.0006502538322331928,0.6926775274973626,0.007675377332650298,3
blend,linear_all_history,0.9,0.2497653113133125,0.0004199234141421848,0.6926777349723748,0.0021443387308419104,3
blend,recency_weighted_linear,0.7,0.24976731230834562,0.0007630312738019204,0.692682847127443,0.008334142639222294,3
blend,recency_weighted_linear,0.8,0.24976831630603966,0.0006218096577778165,0.6926840707468863,0.0070166120260783576,3
blend,recency_weighted_linear,0.65,0.24977558151113552,0.0008032877836710284,0.6927000732672743,0.008992907945794307,3
blend,recency_weighted_linear,0.85,0.24977758950652354,0.0006676830736819821,0.6927024404525866,0.006357846719506344,3
blend,linear_recent_2y,0.48,0.24977999294452033,,0.6927069555813782,0.00013238226629302963,1
blend,linear_recent_2y,0.52,0.2497804048703069,,0.6927077872746212,-0.0010401775010865921,1
blend,linear_recent_2y,0.46,0.24978098851006922,,0.6927089452632639,0.000718662149982896,1
blend,linear_recent_2y,0.54,0.24978181236164232,,0.6927106087841768,-0.001626457384776403,1
blend,linear_recent_2y,0.44,0.24978278509457955,,0.6927125385857328,0.0013049420336726514,1
blend,linear_recent_2y,0.56,0.24978402087193916,,0.6927150342031593,-0.0022127372684661584,1
blend,linear_recent_2y,0.42,0.24978538269805128,,0.6927177355483769,0.0018912219173625178,1
blend,linear_recent_2y,0.58,0.2497870304011975,,0.692721063665559,-0.0027990171521560803,1
blend,linear_all_history,0.5,0.24978897228213182,0.0008387859906238597,0.6927294909630466,0.008994346819903298,3
blend,recency_weighted_linear,0.6,0.24978969818168337,0.0008478325420580116,0.6927292569991966,0.009651673252366303,3
blend,recency_weighted_linear,0.9,0.24979271017476537,0.0006445742949075269,0.6927326071930899,0.005699081412934422,3
blend,recency_weighted_linear,0.83,0.24979779537994615,,0.6927427017643835,0.002850695067431075,1
blend,recency_weighted_linear,0.81,0.2497979389638491,,0.6927429869682916,0.003124246980862888,1
blend,recency_weighted_linear,0.87,0.24979829790830846,,0.692743710865735,0.002303591240567615,1
blend,recency_weighted_linear,0.79,0.24979834577980817,,0.6927437986651694,0.0033977988942945903,1
blend,recency_weighted_linear,0.89,0.24979894402057373,,0.6927450052004419,0.0020300393271358574,1
blend,recency_weighted_linear,0.77,0.2497990158278233,,0.6927451368546109,0.003671350807726348,1
blend,recency_weighted_linear,0.91,0.24979985336489507,,0.6927468260870154,0.0017564874137040998,1
blend,recency_weighted_linear,0.93,0.24980102594127254,,0.6927491735545016,0.0014829355002723421,1
blend,recency_weighted_linear,0.95,0.24980246174970608,,0.6927520476376795,0.0012093835868405844,1
blend,linear_recent_2y,0.7,0.24981813877293282,0.0008194052236097997,0.6927847316893212,0.00851090945327887,3
blend,linear_recent_2y,0.65,0.2498189562296053,0.0008522544883170086,0.6927871176665823,0.009157048558846878,3
blend,linear_recent_2y,0.75,0.24982375667392,0.0007081858200084735,0.6927954501414092,0.007864770347710937,3
blend,linear_all_history,1.0,0.24982569076224326,0.0003508136009130435,0.6927985378855057,0.00043183670857656803,3
