candidate_name,valid_year,sample_bucket,n,v2_brier,candidate_brier,delta_brier_candidate_minus_v2,candidate_auc,skill_contribution
C_PITCHER_GAME_fallback50,2022,100_299,9770,0.2480622186884651,0.2462402384421946,-0.0018219802462705048,0.559061861964682,0.0018219802462705146
C_PITCHER_GAME_fallback50,2022,300_plus,189890,0.2489759937202076,0.24854701180990554,-0.0004289819103020509,0.5576344158009054,0.00042898191030204717
C_PITCHER_GAME_fallback50,2023,lt25,34667,0.2511504919824166,0.2510967761392758,-5.3715843140844655e-05,0.4944549619475347,5.371584314084002e-05
C_PITCHER_GAME_fallback50,2023,25_49,589,0.255573193999102,0.25618897646286043,0.0006157824637584297,0.4323754160611317,-0.0006157824637584409
C_PITCHER_GAME_fallback50,2023,50_99,2866,0.2534688991638495,0.2545829083893529,0.0011140092255033651,0.5092796512288038,-0.001114009225503368
C_PITCHER_GAME_fallback50,2023,100_299,7740,0.2525320145298994,0.2521642860795701,-0.00036772845032928547,0.5180196129309367,0.00036772845032930043
C_PITCHER_GAME_fallback50,2023,300_plus,199663,0.25033435732505954,0.25014633892277477,-0.00018801840228477307,0.5257928956115404,0.00018801840228480112
C_PITCHER_GAME_fallback50,2024,lt25,50641,0.2499400197868153,0.24992768603692725,-1.233374988804381e-05,0.49604662819742007,1.2333749888063209e-05
C_PITCHER_GAME_fallback50,2024,25_49,2431,0.24868874932707527,0.24825930085149434,-0.0004294484755809347,0.5266601689318939,0.0004294484755809859
C_PITCHER_GAME_fallback50,2024,50_99,1477,0.24958630009398672,0.24952371805807458,-6.258203591213984e-05,0.4778361828879175,6.258203591217641e-05
C_PITCHER_GAME_fallback50,2024,100_299,7873,0.24927542844933465,0.24926716980720612,-8.258642128528004e-06,0.4925828368431235,8.258642128544754e-06
C_PITCHER_GAME_fallback50,2024,300_plus,191085,0.24976579820064135,0.24964287440286753,-0.00012292379777381623,0.5249403944839256,0.0001229237977738004
C_PITCHER_GAME_logitblend100,2022,lt25,39705,0.24902066663025166,0.2490284326443965,7.766014144844346e-06,0.5061687953432416,-7.766014144878672e-06
C_PITCHER_GAME_logitblend100,2022,25_49,3556,0.24784378857477884,0.24765561925928026,-0.0001881693154985875,0.5489835778750298,0.00018816931549854124
C_PITCHER_GAME_logitblend100,2022,50_99,4551,0.24950565603570307,0.24919169269995178,-0.0003139633357512883,0.5481352974596219,0.00031396333575128935
C_PITCHER_GAME_logitblend100,2022,100_299,9770,0.2480622186884651,0.2467087247249084,-0.00135349396355669,0.550524100764817,0.0013534939635567128
C_PITCHER_GAME_logitblend100,2022,300_plus,189890,0.2489759937202076,0.24855451624530056,-0.0004214774749070338,0.5579907109554636,0.0004214774749070048
C_PITCHER_GAME_logitblend100,2023,lt25,34667,0.2511504919824166,0.2511017851599348,-4.870682248181435e-05,0.4938879224462175,4.870682248178004e-05
C_PITCHER_GAME_logitblend100,2023,25_49,589,0.255573193999102,0.2555492619798161,-2.393201928591049e-05,0.4768412170081103,2.3932019285880378e-05
C_PITCHER_GAME_logitblend100,2023,50_99,2866,0.2534688991638495,0.253884242460318,0.00041534329646847334,0.49158978078469606,-0.00041534329646848625
C_PITCHER_GAME_logitblend100,2023,100_299,7740,0.2525320145298994,0.25211464692456226,-0.0004173676053371156,0.5207896853704882,0.00041736760533713093
C_PITCHER_GAME_logitblend100,2023,300_plus,199663,0.25033435732505954,0.2501443569776994,-0.00019000034736016413,0.5260597977941125,0.00019000034736020813
C_PITCHER_GAME_logitblend100,2024,lt25,50641,0.2499400197868153,0.2499269649697285,-1.3054817086799453e-05,0.49611889031489365,1.3054817086780325e-05
C_PITCHER_GAME_logitblend100,2024,25_49,2431,0.24868874932707527,0.24844445443342766,-0.00024429489364760637,0.5252779612125298,0.0002442948936476197
C_PITCHER_GAME_logitblend100,2024,50_99,1477,0.24958630009398672,0.24933082941349438,-0.0002554706804923368,0.4749331415186558,0.000255470680492367
C_PITCHER_GAME_logitblend100,2024,100_299,7873,0.24927542844933465,0.2491677505044043,-0.00010767794493035665,0.4963462619449129,0.00010767794493035807
C_PITCHER_GAME_logitblend100,2024,300_plus,191085,0.24976579820064135,0.24964758623250125,-0.00011821196814010282,0.5253367665878785,0.00011821196814012626
C_PITCHER_GAME_logitblend300,2022,lt25,39705,0.24902066663025166,0.24902184649568423,1.1798654325767544e-06,0.5060652399022444,-1.1798654325648258e-06
C_PITCHER_GAME_logitblend300,2022,25_49,3556,0.24784378857477884,0.24779481709761353,-4.8971477165316024e-05,0.5349317943781775,4.897147716529979e-05
C_PITCHER_GAME_logitblend300,2022,50_99,4551,0.24950565603570307,0.24934662299432353,-0.00015903304137954155,0.543101789047735,0.0001590330413795461
C_PITCHER_GAME_logitblend300,2022,100_299,9770,0.2480622186884651,0.2471209171166388,-0.0009413015718262863,0.5512286225718716,0.0009413015718263141
C_PITCHER_GAME_logitblend300,2022,300_plus,189890,0.2489759937202076,0.24857336105276742,-0.00040263266744017256,0.5580831798460628,0.00040263266744012475
C_PITCHER_GAME_logitblend300,2023,lt25,34667,0.2511504919824166,0.2510951106216582,-5.538136075844413e-05,0.4942599892281383,5.5381360758449004e-05
C_PITCHER_GAME_logitblend300,2023,25_49,589,0.255573193999102,0.2555676443225078,-5.549676594218678e-06,0.4746730111105902,5.54967659419752e-06
C_PITCHER_GAME_logitblend300,2023,50_99,2866,0.2534688991638495,0.2536023854263897,0.00013348626254017226,0.49354080286283675,-0.0001334862625401996
C_PITCHER_GAME_logitblend300,2023,100_299,7740,0.2525320145298994,0.25225493553028044,-0.00027707899961892934,0.5177014915821021,0.0002770789996189441
C_PITCHER_GAME_logitblend300,2023,300_plus,199663,0.25033435732505954,0.25014872044528386,-0.00018563687977568577,0.526211473642234,0.0001856368797756527
