candidate_name,calibration_mode,mean_auc,mean_brier,worst_skill_margin,positive_fold_count,auc_2022,pseudo_2022,skill_2022,delta_auc_2022_vs_v2,delta_skill_2022_vs_v2,auc_2023,pseudo_2023,skill_2023,delta_auc_2023_vs_v2,delta_skill_2023_vs_v2,auc_2024,pseudo_2024,skill_2024,delta_auc_2024_vs_v2,delta_skill_2024_vs_v2,delta_mean_auc_vs_v2,alpha_pitcher,alpha_context,context
V2_BASELINE,v2_strength,0.519445638243487,0.24976086120879418,-0.000568030179884188,2,0.5322787370048183,89.51967299044315,0.00022305044704473698,0.0,0.0,0.5153704840527471,0.0,-0.000568030179884188,0.0,0.0,0.5106876936728955,13.181772461585556,3.2928980678359476e-05,0.0,0.0,0.0,100,600,C_PITCHER_GAME
C_PITCHER_GAME_ap200_ac150,platt,0.5311422636173168,0.24946592693367586,-0.0020816064022566028,2,0.5529322328084987,1021.242575664133,0.002544564847408698,0.020653495803680366,0.002321514400363961,0.5218611953958057,0.0,-0.0020816064022566028,0.006490711343058564,-0.0015135762223724147,0.518633362647646,43.95139456987495,0.00010979362804175441,0.007945668974750575,7.686464736339493e-05,0.011696625373829761,200,150,C_PITCHER_GAME
C_PITCHER_GAME_ap200_ac150,native,0.5311422636173168,0.2500664425892134,-0.0022259416603442606,1,0.5529322328084987,1078.9821290342886,0.0026884308017978698,0.020653495803680366,0.0024653803547531328,0.5218611953958057,0.0,-0.0022259416603442606,0.006490711343058564,-0.0016579114804600725,0.518633362647646,0.0,-0.0016912840348723701,0.007945668974750575,-0.0017242130155507296,0.011696625373829761,200,150,C_PITCHER_GAME
C_PITCHER_GAME_ap200_ac150,v2_strength,0.5308492123320069,0.24951462854173703,-0.00036255874643456587,2,0.5518487015728437,267.2362929497432,0.0006658555892555817,0.0195699645680254,0.00044280514221084477,0.522066357936065,0.0,-0.00036255874643456587,0.006695873883317938,0.00020547143344962215,0.5186325774871118,49.37829698751636,0.00012335040618935422,0.00794488381421632,9.042142551099475e-05,0.011403574088519886,200,150,C_PITCHER_GAME
V2_BASELINE,platt,0.5195480238223708,0.25030065146905367,-0.002676385892077665,1,0.5324856858143385,382.0230329244163,0.00095186237202044,0.00020694880952021322,0.000728811924975703,0.5154708686332126,0.0,-0.002676385892077665,0.00010038458046546239,-0.002108355712193477,0.5106875170195614,0.0,-0.0002068980128824005,-1.7665333407190786e-07,-0.00023982699356075998,0.00010238557888375688,200,150,C_PITCHER_GAME
V2_BASELINE,v2_strength,0.519445638243487,0.24976086120879418,-0.000568030179884188,2,0.5322787370048183,89.51967299044315,0.00022305044704473698,0.0,0.0,0.5153704840527471,0.0,-0.000568030179884188,0.0,0.0,0.5106876936728955,13.181772461585556,3.2928980678359476e-05,0.0,0.0,0.0,200,150,C_PITCHER_GAME
C_PITCHER_GAME_ap200_ac300,platt,0.5303186492549735,0.24947043943191494,-0.0018284714793005696,2,0.5505557171328368,901.6485171052697,0.002246579976213997,0.018276980128018483,0.00202352952916926,0.5220126629723899,0.0,-0.0018284714793005696,0.006642178919642805,-0.0012604412994163816,0.5183875676596938,56.48605640967683,0.00014110608156311932,0.007699873986798389,0.00010817710088475985,0.010873011011486522,200,300,C_PITCHER_GAME
C_PITCHER_GAME_ap200_ac300,native,0.5303186492549735,0.24998926152246273,-0.001945570936709412,1,0.5505557171328368,970.332230291653,0.0024177147940606936,0.018276980128018483,0.0021946643470159566,0.5220126629723899,0.0,-0.001945570936709412,0.006642178919642805,-0.001377540756825224,0.5183875676596938,0.0,-0.0014693955505180323,0.007699873986798389,-0.0015023245311963918,0.010873011011486522,200,300,C_PITCHER_GAME
C_PITCHER_GAME_ap200_ac300,v2_strength,0.5302020414705969,0.24953513351128206,-0.00036688371577411893,2,0.5500552996205547,238.41871219314177,0.0005940526653195888,0.017776562615736347,0.0003710022182748518,0.5221638713693868,0.0,-0.00036688371577411893,0.0067933873166396985,0.0002011464641100691,0.5183869534218496,55.228008534806285,0.00013796339082977616,0.007699259748954135,0.00010503441015141668,0.010756403227109912,200,300,C_PITCHER_GAME
V2_BASELINE,platt,0.5195480238223708,0.25030065146905367,-0.002676385892077665,1,0.5324856858143385,382.0230329244163,0.00095186237202044,0.00020694880952021322,0.000728811924975703,0.5154708686332126,0.0,-0.002676385892077665,0.00010038458046546239,-0.002108355712193477,0.5106875170195614,0.0,-0.0002068980128824005,-1.7665333407190786e-07,-0.00023982699356075998,0.00010238557888375688,200,300,C_PITCHER_GAME
