feature,importance,alpha,feature_set,valid_year
te_pitcher_id__balls_before__strikes_before_delta,12.709279485341568,20,pitcher_batter_hand,2022
te_pitcher_id__batter_hand,1.807725757733825,20,pitcher_batter_hand,2022
te_pitcher_id__batter_hand_delta,1.7585341254079627,20,pitcher_batter_hand,2022
te_pitcher_id__base_state,7.100412493626978,20,pitcher_batter_hand,2022
te_pitcher_id__base_state_delta,5.219599604771869,20,pitcher_batter_hand,2022
te_pitcher_id__game_type,4.014171840278558,20,pitcher_batter_hand,2022
te_pitcher_id__game_type_delta,4.917235061982948,20,pitcher_batter_hand,2022
te_batter_id__pitcher_hand,4.6997737385430485,20,pitcher_batter_hand,2022
te_batter_id__pitcher_hand_delta,4.63787490537217,20,pitcher_batter_hand,2022
te_balls_before__strikes_before,0.2804487494240142,20,pitcher_batter_hand,2022
te_balls_before__strikes_before_delta,0.2161050744922556,20,pitcher_batter_hand,2022
te_balls_before__strikes_before__game_type,1.4795942620511813,20,pitcher_batter_hand,2022
te_balls_before__strikes_before__game_type_delta,0.6488963498540777,20,pitcher_batter_hand,2022
te_pitcher_hand__batter_hand,0.09832224243967212,20,pitcher_batter_hand,2022
te_pitcher_hand__batter_hand_delta,0.0660733454037989,20,pitcher_batter_hand,2022
te_base_state__outs_before,0.215488865339718,20,pitcher_batter_hand,2022
te_base_state__outs_before_delta,0.3608127623580297,20,pitcher_batter_hand,2022
asof_pitcher_success_minus_global,0.5979822156445384,20,pitcher_batter_hand,2022
asof_batter_success_minus_global,0.332357239497297,20,pitcher_batter_hand,2022
pitcher_success_x_two_strike,0.218250220066266,20,pitcher_batter_hand,2022
pitcher_success_x_runner_on,0.1581941044201415,20,pitcher_batter_hand,2022
pitcher_fastball_x_hitter_count,0.3058788820626164,20,pitcher_batter_hand,2022
season,1.223036061049574,20,batter_env,2022
game_month,1.0801081676789839,20,batter_env,2022
game_dayofweek,0.06627918129501835,20,batter_env,2022
inning,0.20838149908915746,20,batter_env,2022
balls_before,0.5750767446499795,20,batter_env,2022
strikes_before,0.05100111262379433,20,batter_env,2022
outs_before,0.10528326153994859,20,batter_env,2022
run_top_before,0.04308809107198453,20,batter_env,2022
run_bot_before,0.0,20,batter_env,2022
run_total_before,0.28924978638802923,20,batter_env,2022
score_diff_home,0.18549343246200997,20,batter_env,2022
score_diff_pitcher_team,0.10497828934830805,20,batter_env,2022
runner_on_1b,0.0,20,batter_env,2022
runner_on_2b,0.0,20,batter_env,2022
runner_on_3b,0.9305543974532999,20,batter_env,2022
