alpha,feature_set,train_start,train_end,cal_year,valid_year,stage,trend_prior,train_seconds,brier,logloss,auc,pred_mean,pred_std,actual_rate,baseline_brier,improvement_vs_catboost_baseline,experiment
20,pitcher_rel,2019,2020,2021,2022,platt,0.5114727049981269,9.37475037574768,0.2483073267192536,0.6897473199214489,0.5308091281295577,0.5350944757896113,0.0284053935178042,0.5289204435249241,0.2488975149153299,0.0005901881960762,ablation_alpha20
20,pitcher_rel,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,9.37475037574768,0.2489219451175368,0.6909893628919699,0.5308091281295577,0.517378147695998,0.007101348379451,0.5289204435249241,0.2488975149153299,-2.443020220688208e-05,ablation_alpha20
20,pitcher_count,2019,2020,2021,2022,raw,0.5114727049981269,9.586414575576782,0.2509839962782178,0.6952831505613993,0.5222553616353225,0.5489433456309679,0.0637675022778046,0.5289204435249241,0.2488975149153299,-0.0020864813628879,ablation_alpha20
20,pitcher_count,2019,2020,2021,2022,platt,0.5114727049981269,9.586414575576782,0.2493217986176386,0.6918072884909302,0.5222553616353225,0.5394248875855793,0.0427360258359313,0.5289204435249241,0.2488975149153299,-0.0004242837023087,ablation_alpha20
20,pitcher_count,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,9.586414575576782,0.2489425309709908,0.6910301987591091,0.5222553616353225,0.51846075064499,0.0106840064589828,0.5289204435249241,0.2488975149153299,-4.50160556609569e-05,ablation_alpha20
20,pitcher_batter_hand,2019,2020,2021,2022,raw,0.5114727049981269,9.479581594467165,0.2489762982873752,0.691120527348517,0.53343410584828,0.5456109485296431,0.0560199554407854,0.5289204435249241,0.2488975149153299,-7.878337204533792e-05,ablation_alpha20
20,pitcher_batter_hand,2019,2020,2021,2022,platt,0.5114727049981269,9.479581594467165,0.2481729695656192,0.6894745367361518,0.53343410584828,0.5355790921753508,0.0295835449501244,0.5289204435249241,0.2488975149153299,0.0007245453497106,ablation_alpha20
20,pitcher_batter_hand,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,9.479581594467165,0.2488712090294417,0.690887672027611,0.53343410584828,0.517499301792433,0.0073958862375311,0.5289204435249241,0.2488975149153299,2.6305885888144864e-05,ablation_alpha20
20,batter_env,2019,2020,2021,2022,raw,0.5114727049981269,9.43334698677063,0.2487372795377291,0.6906330708557075,0.5366135268173935,0.5447588855541774,0.0567464749602975,0.5289204435249241,0.2488975149153299,0.0001602353776007,ablation_alpha20
20,batter_env,2019,2020,2021,2022,platt,0.5114727049981269,9.43334698677063,0.2480334575586583,0.689191009836842,0.5366135268173935,0.5360899117217616,0.0321604384888175,0.5289204435249241,0.2488975149153299,0.0008640573566715,ablation_alpha20
20,batter_env,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,9.43334698677063,0.2488018316584304,0.6907485768002338,0.5366135268173935,0.5176270066790356,0.0080401096222043,0.5289204435249241,0.2488975149153299,9.568325689951472e-05,ablation_alpha20
20,combo_core,2019,2020,2021,2022,raw,0.5114727049981269,10.389498472213743,0.2512263356417243,0.6957856404505028,0.5197263926977913,0.5463312058012639,0.064351337942229,0.5289204435249241,0.2488975149153299,-0.0023288207263943,ablation_alpha20
20,combo_core,2019,2020,2021,2022,platt,0.5114727049981269,10.389498472213743,0.249422126397104,0.6920108426790041,0.5197263926977913,0.5379588317731364,0.0413632201072112,0.5289204435249241,0.2488975149153299,-0.0005246114817741,ablation_alpha20
20,combo_core,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,10.389498472213743,0.2490042244520707,0.6911539194783302,0.5197263926977913,0.5180942366918793,0.0103408050268028,0.5289204435249241,0.2488975149153299,-0.0001067095367408,ablation_alpha20
20,combo_with_pitcher_batter,2019,2020,2021,2022,raw,0.5114727049981269,9.864014387130736,0.2510868789439933,0.6954868360499862,0.5208950722764157,0.5457163475517497,0.0640005665445195,0.5289204435249241,0.2488975149153299,-0.0021893640286634,ablation_alpha20
20,combo_with_pitcher_batter,2019,2020,2021,2022,platt,0.5114727049981269,9.864014387130736,0.2493860856433554,0.69193451914691,0.5208950722764157,0.5381949090025187,0.0417462814886625,0.5289204435249241,0.2488975149153299,-0.0004885707280254,ablation_alpha20
20,combo_with_pitcher_batter,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,9.864014387130736,0.2489868897669204,0.6911190195259228,0.5208950722764157,0.5181532559992249,0.0104365703721656,0.5289204435249241,0.2488975149153299,-8.93748515905235e-05,ablation_alpha20
20,baseline,2019,2021,2022,2023,raw,0.5129662444084708,12.50211262702942,0.2540765927559245,0.7018125133287548,0.5154708686332126,0.5419201905674266,0.0621068049028453,0.4999572344975053,0.2501588034603313,-0.0039177892955931,ablation_alpha20
20,baseline,2019,2021,2022,2023,platt,0.5129662444084708,12.50211262702942,0.2526763840631894,0.6987763406570034,0.5154708686332126,0.5311629375524517,0.0553838486776047,0.4999572344975053,0.2501588034603313,-0.002517580602858,ablation_alpha20
20,baseline,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,12.50211262702942,0.2501588034603313,0.6934669240938918,0.5154708686332126,0.5175154176944661,0.0138459621694011,0.4999572344975053,0.2501588034603313,0.0,ablation_alpha20
20,pitcher_abs,2019,2021,2022,2023,raw,0.5129662444084708,13.16830563545227,0.2540892212941865,0.7018364803087976,0.5148421105331777,0.5421394232173055,0.0614926855199173,0.4999572344975053,0.2501588034603313,-0.0039304178338551,ablation_alpha20
20,pitcher_abs,2019,2021,2022,2023,platt,0.5129662444084708,13.16830563545227,0.2527338153998827,0.6988994531857499,0.5148421105331777,0.5312094423202093,0.0554464904572463,0.4999572344975053,0.2501588034603313,-0.0025750119395513,ablation_alpha20
20,pitcher_abs,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,13.16830563545227,0.2501715418123137,0.6934924908155669,0.5148421105331777,0.5175270438864055,0.0138616226143115,0.4999572344975053,0.2501588034603313,-1.2738351982344298e-05,ablation_alpha20
20,pitcher_rel,2019,2021,2022,2023,raw,0.5129662444084708,13.22330379486084,0.2539167843421191,0.701483357923118,0.5159537730555332,0.5404042545567105,0.0622854832233166,0.4999572344975053,0.2501588034603313,-0.0037579808817877,ablation_alpha20
20,pitcher_rel,2019,2021,2022,2023,platt,0.5129662444084708,13.22330379486084,0.2525992357804772,0.6986189222831739,0.5159537730555332,0.5308484441282921,0.0552590485905229,0.4999572344975053,0.2501588034603313,-0.0024404323201459,ablation_alpha20
20,pitcher_rel,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,13.22330379486084,0.2501442329179854,0.6934377277549187,0.5159537730555332,0.5174367943384262,0.0138147621476307,0.4999572344975053,0.2501588034603313,1.4570542345992976e-05,ablation_alpha20
20,pitcher_count,2019,2021,2022,2023,raw,0.5129662444084708,13.588340759277344,0.254810930758636,0.7032753416795843,0.5112125647347533,0.5436720298904458,0.0636607630084148,0.4999572344975053,0.2501588034603313,-0.0046521272983046,ablation_alpha20
20,pitcher_count,2019,2021,2022,2023,platt,0.5129662444084708,13.588340759277344,0.2539101170426435,0.7013452590616833,0.5112125647347533,0.5339464825824202,0.0622700524055338,0.4999572344975053,0.2501588034603313,-0.0037513135823121,ablation_alpha20
20,pitcher_count,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,13.588340759277344,0.250294879301813,0.6937399870200267,0.5112125647347533,0.5182113039519581,0.0155675131013834,0.4999572344975053,0.2501588034603313,-0.0001360758414816,ablation_alpha20
20,pitcher_batter_hand,2019,2021,2022,2023,raw,0.5129662444084708,13.641820192337036,0.2540785370613936,0.7017949674233003,0.5148133773307328,0.5421439959594051,0.0614336853681423,0.4999572344975053,0.2501588034603313,-0.0039197336010622,ablation_alpha20
20,pitcher_batter_hand,2019,2021,2022,2023,platt,0.5129662444084708,13.641820192337036,0.2526834674171924,0.6987783451484958,0.5148133773307328,0.5313537045597739,0.054819058522718,0.4999572344975053,0.2501588034603313,-0.002524663956861,ablation_alpha20
20,pitcher_batter_hand,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,13.641820192337036,0.2501709360115047,0.6934911274550173,0.5148133773307328,0.5175631094462966,0.0137047646306795,0.4999572344975053,0.2501588034603313,-1.2132551173382744e-05,ablation_alpha20
20,batter_env,2019,2021,2022,2023,raw,0.5129662444084708,13.543367624282835,0.2541774114455943,0.7020118665376927,0.5141156265999596,0.5419691176986005,0.0619224454300216,0.4999572344975053,0.2501588034603313,-0.0040186079852629,ablation_alpha20
20,batter_env,2019,2021,2022,2023,platt,0.5129662444084708,13.543367624282835,0.2527750242165164,0.6989743101009058,0.5141156265999596,0.5309632848114878,0.0554866984649148,0.4999572344975053,0.2501588034603313,-0.002616220756185,ablation_alpha20
20,batter_env,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,13.543367624282835,0.2501826803422723,0.6935147284369563,0.5141156265999596,0.517465504509225,0.0138716746162287,0.4999572344975053,0.2501588034603313,-2.3876881940998466e-05,ablation_alpha20
