feature,importance,alpha,feature_set,valid_year,experiment
asof_pitcher_offspeed_rate,0.0788142124209349,20,combo_core,2023,alpha_grid
hs_batter_logit_rel,0.1766620076978208,20,combo_core,2023,alpha_grid
hs_batter_n,0.1090685127026351,20,combo_core,2023,alpha_grid
hs_batter_rate,0.1927905595088344,20,combo_core,2023,alpha_grid
hs_batter_rel,0.0598849604824828,20,combo_core,2023,alpha_grid
hs_pitcher_batter_hand_logit_rel,0.2831912498076952,20,combo_core,2023,alpha_grid
hs_pitcher_batter_hand_n,0.1776977398922856,20,combo_core,2023,alpha_grid
hs_pitcher_batter_hand_rate,0.419669259062263,20,combo_core,2023,alpha_grid
hs_pitcher_batter_hand_rel,0.1841655008631218,20,combo_core,2023,alpha_grid
hs_pitcher_count_logit_rel,2.9436295698651587,20,combo_core,2023,alpha_grid
hs_pitcher_count_n,1.1144942243141036,20,combo_core,2023,alpha_grid
hs_pitcher_count_rate,3.0047564590510745,20,combo_core,2023,alpha_grid
hs_pitcher_count_rel,3.666968742712717,20,combo_core,2023,alpha_grid
hs_pitcher_game_type_logit_rel,0.1033454445724725,20,combo_core,2023,alpha_grid
hs_pitcher_game_type_n,0.1444648884001808,20,combo_core,2023,alpha_grid
hs_pitcher_game_type_rate,0.4645818800367151,20,combo_core,2023,alpha_grid
hs_pitcher_game_type_rel,0.8820364869548182,20,combo_core,2023,alpha_grid
hs_pitcher_logit_rel,0.0,20,combo_core,2023,alpha_grid
hs_pitcher_n,0.2801098544366118,20,combo_core,2023,alpha_grid
hs_pitcher_rate,0.0659981917280162,20,combo_core,2023,alpha_grid
hs_pitcher_rel,0.0366021512933222,20,combo_core,2023,alpha_grid
top_bottom_code,0.0,20,combo_core,2023,alpha_grid
game_type_code,0.3480011081297585,20,combo_core,2023,alpha_grid
base_state_code,0.2921608120446642,20,combo_core,2023,alpha_grid
pitcher_id_code,0.0454076894424049,20,combo_core,2023,alpha_grid
batter_id_code,0.1210537445769783,20,combo_core,2023,alpha_grid
count_index,0.2543764739254132,20,combo_core,2023,alpha_grid
two_strike,0.0,20,combo_core,2023,alpha_grid
three_ball,0.0321764724531024,20,combo_core,2023,alpha_grid
full_count,0.0,20,combo_core,2023,alpha_grid
pitcher_count,0.0,20,combo_core,2023,alpha_grid
hitter_count,0.0883312981905321,20,combo_core,2023,alpha_grid
even_count,0.0,20,combo_core,2023,alpha_grid
runner_on,0.0312463385973076,20,combo_core,2023,alpha_grid
scoring_position,0.9662130469093042,20,combo_core,2023,alpha_grid
abs_score_diff_pitcher_team,0.0577474511053662,20,combo_core,2023,alpha_grid
pitcher_team_leading,0.0,20,combo_core,2023,alpha_grid
pitcher_team_trailing,0.040979169813557,20,combo_core,2023,alpha_grid
late_inning,0.0207215839524645,20,combo_core,2023,alpha_grid
te_pitcher_id,4.066364243951478,20,combo_core,2023,alpha_grid
te_pitcher_id_delta,4.339442292509884,20,combo_core,2023,alpha_grid
te_batter_id,0.231410322912552,20,combo_core,2023,alpha_grid
te_batter_id_delta,0.1779446975976871,20,combo_core,2023,alpha_grid
te_pitcher_team_id,0.2257769094518916,20,combo_core,2023,alpha_grid
te_pitcher_team_id_delta,0.058949312376583,20,combo_core,2023,alpha_grid
te_batter_team_id,1.100686234415062,20,combo_core,2023,alpha_grid
te_batter_team_id_delta,0.7114860492878634,20,combo_core,2023,alpha_grid
te_game_type,2.1494242008890083,20,combo_core,2023,alpha_grid
te_game_type_delta,2.327504742919902,20,combo_core,2023,alpha_grid
te_season,1.4281411169759075,20,combo_core,2023,alpha_grid
te_season_delta,1.6495174355838147,20,combo_core,2023,alpha_grid
te_pitcher_id__balls_before__strikes_before,11.629535257201749,20,combo_core,2023,alpha_grid
te_pitcher_id__balls_before__strikes_before_delta,15.42222120177486,20,combo_core,2023,alpha_grid
te_pitcher_id__batter_hand,0.960089420026252,20,combo_core,2023,alpha_grid
te_pitcher_id__batter_hand_delta,0.8813415628248713,20,combo_core,2023,alpha_grid
te_pitcher_id__base_state,3.8984183611110623,20,combo_core,2023,alpha_grid
te_pitcher_id__base_state_delta,4.613103557839053,20,combo_core,2023,alpha_grid
te_pitcher_id__game_type,5.587175946552615,20,combo_core,2023,alpha_grid
te_pitcher_id__game_type_delta,4.225549143823057,20,combo_core,2023,alpha_grid
te_batter_id__pitcher_hand,3.387345377784684,20,combo_core,2023,alpha_grid
te_batter_id__pitcher_hand_delta,3.597732980615531,20,combo_core,2023,alpha_grid
te_balls_before__strikes_before,0.4259461410876815,20,combo_core,2023,alpha_grid
te_balls_before__strikes_before_delta,0.2052462531962501,20,combo_core,2023,alpha_grid
te_balls_before__strikes_before__game_type,0.8284959784194872,20,combo_core,2023,alpha_grid
te_balls_before__strikes_before__game_type_delta,1.8736680264232968,20,combo_core,2023,alpha_grid
te_pitcher_hand__batter_hand,0.035459499342634,20,combo_core,2023,alpha_grid
