feature_set,train_start,train_end,cal_year,valid_year,stage,train_seconds,brier,oracle_constant_brier,skill_margin,pseudo_score,auc,logloss,pred_mean,pred_std,actual_rate,pred_minus_actual
batter_asof_deltas,2019,2021,2022,2023,raw,14.908776760101318,0.2539988964668456,0.2499999981711117,-0.0039988982957338,0.0,0.515706190095887,0.7016527409336095,0.541124813010331,0.0622428165376975,0.4999572344975053,0.0411675785128256
batter_asof_deltas,2019,2021,2022,2023,platt,14.908776760101318,0.2526313506035785,0.2499999981711117,-0.0026313524324667,0.0,0.515706190095887,0.6986823769405434,0.5311189586620313,0.0551504778409553,0.4999572344975053,0.0311617241645259
batter_asof_deltas,2019,2022,2023,2024,raw,17.757668256759644,0.2554559854466862,0.2498069267567879,-0.0056490586898982,0.0,0.5108340001629181,0.7047893239033408,0.5340650406254112,0.0648548095027887,0.4861049201797189,0.0479601204456922
batter_asof_deltas,2019,2022,2023,2024,platt,17.757668256759644,0.250001265553378,0.2498069267567879,-0.00019433879659,0.0,0.5108340001629181,0.6931503637545259,0.5000266945112238,0.0125308498800108,0.4861049201797189,0.0139217743315049
context_asof_interactions,2019,2020,2021,2022,raw,10.606583833694458,0.2488807241338917,0.2491636079463216,0.0002828838124299,113.53335856769677,0.5341964574822211,0.6909307378261628,0.5431995840991242,0.0568834461824377,0.5289204435249241,0.0142791405742001
context_asof_interactions,2019,2020,2021,2022,platt,10.606583833694458,0.2481306663509654,0.2491636079463216,0.0010329415953561,414.5635889085009,0.5341964574822211,0.6893897474846866,0.5348120616672251,0.0296791371567675,0.5289204435249241,0.0058916181423009
context_asof_interactions,2019,2021,2022,2023,raw,13.18663477897644,0.2542805793958978,0.2499999981711117,-0.004280581224786,0.0,0.5141400100177993,0.7022226579560978,0.5430333427512488,0.0620544098209775,0.4999572344975053,0.0430761082537434
context_asof_interactions,2019,2021,2022,2023,platt,13.18663477897644,0.2528071709460479,0.2499999981711117,-0.0028071727749361,0.0,0.5141400100177993,0.699037327300367,0.5312387654465976,0.055657852085266,0.4999572344975053,0.0312815309490923
context_asof_interactions,2019,2022,2023,2024,raw,17.520147800445557,0.2555864544059618,0.2498069267567879,-0.0057795276491738,0.0,0.5110881219013568,0.7050609719032264,0.5352007098662912,0.0651540392721479,0.4861049201797189,0.0490957896865723
context_asof_interactions,2019,2022,2023,2024,platt,17.520147800445557,0.2500044558865383,0.2498069267567879,-0.0001975291297503,0.0,0.5110881219013568,0.6931567856781997,0.5001119983353466,0.012802117131143,0.4861049201797189,0.0140070781556276
count_interactions,2019,2020,2021,2022,raw,8.54269027709961,0.2493317277426446,0.2491636079463216,-0.0001681197963229,0.0,0.529534161825887,0.6918546546343711,0.5445984588121978,0.0568070242754184,0.5289204435249241,0.0156780152872737
count_interactions,2019,2020,2021,2022,platt,8.54269027709961,0.2483515158227704,0.2491636079463216,0.0008120921235511,325.9272613062025,0.529534161825887,0.689836603264253,0.5349514142458868,0.0271830147006406,0.5289204435249241,0.0060309707209627
count_interactions,2019,2021,2022,2023,raw,12.401025533676147,0.254150128702457,0.2499999981711117,-0.0041501305313453,0.0,0.5147425814245068,0.7019492409149877,0.5426580696793063,0.0616185964251697,0.4999572344975053,0.0427008351818009
count_interactions,2019,2021,2022,2023,platt,12.401025533676147,0.2527263644508417,0.2499999981711117,-0.0027263662797299,0.0,0.5147425814245068,0.6988710102170373,0.5313867655091981,0.05518512186402,0.4999572344975053,0.0314295310116927
count_interactions,2019,2022,2023,2024,raw,15.932317018508911,0.2555135634653456,0.2498069267567879,-0.0057066367085576,0.0,0.5115526798994829,0.7049165802101042,0.5342671962987491,0.0655804172277262,0.4861049201797189,0.0481622761190301
count_interactions,2019,2022,2023,2024,platt,15.932317018508911,0.249997360502685,0.2498069267567879,-0.000190433745897,0.0,0.5115526798994829,0.6931425660536251,0.5001091502572625,0.0127506349507214,0.4861049201797189,0.0140042300775436
identity_context_interactions,2019,2020,2021,2022,raw,8.781360864639282,0.2490098085204304,0.2491636079463216,0.0001537994258912,61.726279836327166,0.5333145165142228,0.6911942639135504,0.5446387454133873,0.0570916385801259,0.5289204435249241,0.0157183018884632
identity_context_interactions,2019,2020,2021,2022,platt,8.781360864639282,0.2481778818690035,0.2491636079463216,0.0009857260773181,395.61398449911024,0.5333145165142228,0.6894848751463353,0.5351242552399693,0.0288576930989386,0.5289204435249241,0.0062038117150452
identity_context_interactions,2019,2021,2022,2023,raw,21.54208612442017,0.2541010541137642,0.2499999981711117,-0.0041010559426525,0.0,0.5151661712114651,0.7018520467196622,0.5424214866890478,0.0619880636160655,0.4999572344975053,0.0424642521915424
identity_context_interactions,2019,2021,2022,2023,platt,21.54208612442017,0.2526770092254667,0.2499999981711117,-0.0026770110543549,0.0,0.5151661712114651,0.6987694810039895,0.5314562843929942,0.0552437330217185,0.4999572344975053,0.0314990498954888
identity_context_interactions,2019,2022,2023,2024,raw,16.888150215148926,0.2555924240826946,0.2498069267567879,-0.0057854973259066,0.0,0.510986021413211,0.7051053078427549,0.5341769565647632,0.0658326627107105,0.4861049201797189,0.0480720363850442
identity_context_interactions,2019,2022,2023,2024,platt,16.888150215148926,0.2500066071276569,0.2498069267567879,-0.0001996803708689,0.0,0.510986021413211,0.6931611028266774,0.5000027099835276,0.0128077423404525,0.4861049201797189,0.0138977898038086
all_safe_official_interactions,2019,2020,2021,2022,raw,9.444216966629028,0.2489605869205401,0.24916360794632167,0.000203021025781569,81.48101059176626,0.5322026406708319,0.6910899166889006,0.5421752194141164,0.05609222486718661,0.5289204435249241,0.013254775889192327
all_safe_official_interactions,2019,2020,2021,2022,platt,9.444216966629028,0.2482083661697168,0.24916360794632167,0.0009552417766048593,383.37933235043084,0.5322026406708319,0.6895466112529893,0.534434855568631,0.028593300501414298,0.5289204435249241,0.005514412043706951
all_safe_official_interactions,2019,2021,2022,2023,raw,13.183016061782837,0.25407727835390337,0.24999999817111176,-0.004077280182791604,0.0,0.5151443630341204,0.7018087414489214,0.5418926452043391,0.06216941368651256,0.49995723449750534,0.041935410706833764
all_safe_official_interactions,2019,2021,2022,2023,platt,13.183016061782837,0.2527197384397868,0.24999999817111176,-0.002719740268675025,0.0,0.5151443630341204,0.6988665742725663,0.5313305658799383,0.05580345377367044,0.49995723449750534,0.03137333138243298
all_safe_official_interactions,2019,2022,2023,2024,raw,22.886292219161987,0.2556312887086103,0.24980692675678798,-0.0058243619518223155,0.0,0.5111851370345969,0.705161416683387,0.5357732457568302,0.0652521266442662,0.4861049201797189,0.04966832557711126
all_safe_official_interactions,2019,2022,2023,2024,platt,22.886292219161987,0.2500007258306289,0.24980692675678798,-0.00019379907384090012,0.0,0.5111851370345969,0.6931493270807252,0.5001345534868289,0.012807150300379985,0.4861049201797189,0.01402963330710999
