candidate_name,target_definition,target_formula,model_type,calibration_mode,valid_year,estimated_global_baseline,metric_actual_rate,metric_constant_brier,metric_brier,metric_skill_margin,metric_pseudo_score,metric_auc,metric_logloss,metric_pred_mean,metric_pred_std
B_SEASON_CENTERED,season-centered residual,control_success - leave-one-out season baseline,CatBoostRegressor RMSE,v2_strength,2024,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.2497601778659671,4.6748890820874633e-05,18.71400902601446,0.5121697579942435,0.6926673232141577,0.4877343969930613,0.005746297717468231
C_LOGIT_RESIDUAL,pseudo-logit residual,"clip((y - q_loo)/(q_loo*(1-q_loo)), -4, 4)",CatBoostRegressor RMSE,native,2022,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24891082105898255,0.0002527868873391237,101.45417680481758,0.532011902584178,0.6909701782327973,0.5208515887959912,0.05633797021263111
C_LOGIT_RESIDUAL,pseudo-logit residual,"clip((y - q_loo)/(q_loo*(1-q_loo)), -4, 4)",CatBoostRegressor RMSE,platt,2022,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24833891196816693,0.000824695978154738,330.9857265882928,0.532011902584178,0.6898111267356187,0.5404125864731839,0.028243609098881767
C_LOGIT_RESIDUAL,pseudo-logit residual,"clip((y - q_loo)/(q_loo*(1-q_loo)), -4, 4)",CatBoostRegressor RMSE,v2_strength,2022,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24894259181622322,0.00022101613009845034,88.70321469500664,0.5318518029410094,0.6910308276795497,0.5115984262069072,0.010993879220940512
C_LOGIT_RESIDUAL,pseudo-logit residual,"clip((y - q_loo)/(q_loo*(1-q_loo)), -4, 4)",CatBoostRegressor RMSE,native,2023,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.25342749597106123,-0.0034274977999494693,0.0,0.5149203948450176,0.7003950891181859,0.5340201908743177,0.060999362275400835
C_LOGIT_RESIDUAL,pseudo-logit residual,"clip((y - q_loo)/(q_loo*(1-q_loo)), -4, 4)",CatBoostRegressor RMSE,platt,2023,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.25390998261269176,-0.00390998444158,0.0,0.5149203948450176,0.7013675393718454,0.5458250912704156,0.056083960565144524
C_LOGIT_RESIDUAL,pseudo-logit residual,"clip((y - q_loo)/(q_loo*(1-q_loo)), -4, 4)",CatBoostRegressor RMSE,v2_strength,2023,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2505835636187966,-0.000583565447684814,0.0,0.5147023847673063,0.6943184412975292,0.5270701435335486,0.014527729890312957
C_LOGIT_RESIDUAL,pseudo-logit residual,"clip((y - q_loo)/(q_loo*(1-q_loo)), -4, 4)",CatBoostRegressor RMSE,native,2024,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.2529282835333923,-0.003121356776604328,0.0,0.5113707016759051,0.6992849577369081,0.4882644312406904,0.06310832458417283
C_LOGIT_RESIDUAL,pseudo-logit residual,"clip((y - q_loo)/(q_loo*(1-q_loo)), -4, 4)",CatBoostRegressor RMSE,platt,2024,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24983765463972676,-3.072788293878581e-05,0.0,0.5113707016759051,0.6928224795944258,0.4914481149168356,0.013661881231902533
C_LOGIT_RESIDUAL,pseudo-logit residual,"clip((y - q_loo)/(q_loo*(1-q_loo)), -4, 4)",CatBoostRegressor RMSE,v2_strength,2024,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24976430376438008,4.262299240789802e-05,17.062374114788163,0.51137137730016,0.6926755764624309,0.48773515836758263,0.005916973781198408
D_BASELINE_PLUS_MODEL_DEVIATION,classifier deviation from model mean,control_success classifier; final p=q_future + raw - mean(raw_cal),CatBoostClassifier Logloss,native,2022,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.2490002108506329,0.00016339709568877203,65.57823473320926,0.5324856858143385,0.6911484730642042,0.5156876813635808,0.05695720532425376
D_BASELINE_PLUS_MODEL_DEVIATION,classifier deviation from model mean,control_success classifier; final p=q_future + raw - mean(raw_cal),CatBoostClassifier Logloss,platt,2022,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24830740434238993,0.0008562036039317378,343.63108280090137,0.5324856858143385,0.6897463436452473,0.5402477983436709,0.028497322770214877
D_BASELINE_PLUS_MODEL_DEVIATION,classifier deviation from model mean,control_success classifier; final p=q_future + raw - mean(raw_cal),CatBoostClassifier Logloss,v2_strength,2022,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24893987634778558,0.0002237315985360866,89.79304818233568,0.5322755004371444,0.6910254031658224,0.511601646325404,0.010965747961121673
D_BASELINE_PLUS_MODEL_DEVIATION,classifier deviation from model mean,control_success classifier; final p=q_future + raw - mean(raw_cal),CatBoostClassifier Logloss,native,2023,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2532357544505459,-0.003235756279434149,0.0,0.5154708686332126,0.7000106052571153,0.5302895831824914,0.062106804902845376
D_BASELINE_PLUS_MODEL_DEVIATION,classifier deviation from model mean,control_success classifier; final p=q_future + raw - mean(raw_cal),CatBoostClassifier Logloss,platt,2023,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.25376409119632465,-0.0037640930252128835,0.0,0.5154708686332126,0.7010585996470416,0.5456613933739094,0.055213894727517775
D_BASELINE_PLUS_MODEL_DEVIATION,classifier deviation from model mean,control_success classifier; final p=q_future + raw - mean(raw_cal),CatBoostClassifier Logloss,v2_strength,2023,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.25057019687042664,-0.0005701986993148778,0.0,0.5153624217162985,0.6942914199673947,0.5272306996354067,0.014306175953104969
D_BASELINE_PLUS_MODEL_DEVIATION,classifier deviation from model mean,control_success classifier; final p=q_future + raw - mean(raw_cal),CatBoostClassifier Logloss,native,2024,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.2532957009183668,-0.003488774161578806,0.0,0.5106875170195614,0.7000721166453475,0.48825423369799875,0.0656810321975094
D_BASELINE_PLUS_MODEL_DEVIATION,classifier deviation from model mean,control_success classifier; final p=q_future + raw - mean(raw_cal),CatBoostClassifier Logloss,platt,2024,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.2498499175831628,-4.299082637482243e-05,0.0,0.5106875170195614,0.6928469675145501,0.49224277648659026,0.01284986308398645
D_BASELINE_PLUS_MODEL_DEVIATION,classifier deviation from model mean,control_success classifier; final p=q_future + raw - mean(raw_cal),CatBoostClassifier Logloss,v2_strength,2024,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24977123345117352,3.569330561445372e-05,14.288357043519742,0.5106875310658685,0.6926894481177348,0.4877389141153265,0.005575784892659129
