candidate_name,prediction_mode,valid_year,deviation_bucket,n,actual_rate,prediction_mean,brier,baseline_brier,skill_gain_vs_baseline
B_SEASON_CENTERED,v2_strength,2024,020_040,1305,0.4942528735632184,0.5064853507236797,0.2499651784248898,0.2500093612869088,4.4182862019015445e-05
A_ORIGINAL,native,2022,0_005,12581,0.5227724346236389,0.5116610981716035,0.24964556973440943,0.24960910011092166,-3.646962348777261e-05
A_ORIGINAL,native,2022,005_010,12338,0.5183984438320636,0.512434287043905,0.2497163603472719,0.2497094631229542,-6.897224317709005e-06
A_ORIGINAL,native,2022,010_020,25895,0.512454141726202,0.515354892351255,0.24980331908771095,0.24984585757191477,4.2538484203824556e-05
A_ORIGINAL,native,2022,020_040,55271,0.5218649924915417,0.5246080198190552,0.24934978501926622,0.24962992174269052,0.00028013672342430684
A_ORIGINAL,native,2022,040_plus,141387,0.5361596186353766,0.5630101971127807,0.2487048558391075,0.24930192568507709,0.0005970698459695778
A_ORIGINAL,native,2023,0_005,17833,0.5038972691078338,0.5277271348929763,0.25056102302240874,0.25055011232039287,-1.091070201586497e-05
A_ORIGINAL,native,2023,005_010,17528,0.49754678229119126,0.5283965161057733,0.25101964320091447,0.2509015905431406,-0.00011805265777387053
A_ORIGINAL,native,2023,010_020,36893,0.5006098717913967,0.5313300729331666,0.2510429498161225,0.2507320587757763,-0.0003108910403462062
A_ORIGINAL,native,2023,020_040,61676,0.5015889486996563,0.5354779705042926,0.2515629406041388,0.2506778701408599,-0.000885070463278903
A_ORIGINAL,native,2023,040_plus,111595,0.49858864644473316,0.5533739232821623,0.2575106853761104,0.2508439268440251,-0.00666675853208526
A_ORIGINAL,native,2024,0_005,11523,0.4793890479909746,0.4878379197041851,0.24965480499101703,0.24964496139514433,-9.8435958726939e-06
A_ORIGINAL,native,2024,005_010,11719,0.4690673265637,0.48880375513146257,0.24939437223233232,0.24939191522256632,-2.457009766004825e-06
A_ORIGINAL,native,2024,010_020,25427,0.4812600778699807,0.49168031768721543,0.24976013815861373,0.24969083135520836,-6.930680340536122e-05
A_ORIGINAL,native,2024,020_040,56647,0.4827263579712959,0.502642577325932,0.2503039661743324,0.24972677851481534,-0.0005771876595170866
A_ORIGINAL,native,2024,040_plus,148191,0.4900972393735112,0.5591773307573753,0.25943653456146776,0.2499074822220892,-0.009529052339378563
A_ORIGINAL,platt,2022,0_005,20077,0.5070976739552722,0.5117273834485301,0.24995227424880592,0.2499687639210505,1.6489672244573983e-05
A_ORIGINAL,platt,2022,005_010,20991,0.5113620122909819,0.5131915980879291,0.24971435088317748,0.24987091692957494,0.00015656604639746607
A_ORIGINAL,platt,2022,010_020,45166,0.5154098215471815,0.5187803253270988,0.24954436463092516,0.24977803828660478,0.00023367365567961151
A_ORIGINAL,platt,2022,020_040,93245,0.5256153144940747,0.533018731723312,0.24901699355778995,0.24954386906672443,0.0005268755089344879
A_ORIGINAL,platt,2022,040_plus,67993,0.5542923536246378,0.5616942986401415,0.24524437830460386,0.24888586264639506,0.003641484341791207
A_ORIGINAL,platt,2023,0_005,23022,0.4983059682043263,0.52790498633153,0.2508832056685952,0.25085957213995536,-2.363352863982149e-05
A_ORIGINAL,platt,2023,005_010,24257,0.5059158181143587,0.5288895863632556,0.2504943688664888,0.2504383923786267,-5.597648786209719e-05
A_ORIGINAL,platt,2023,010_020,42480,0.5067796610169492,0.5294132237525315,0.25059937059274173,0.25039058156082605,-0.00020878903191567932
A_ORIGINAL,platt,2023,020_040,58641,0.501031701369349,0.5284371928613302,0.2511280014507148,0.2507087119183397,-0.0004192895323750778
A_ORIGINAL,platt,2023,040_plus,97125,0.49522779922779925,0.5349139539689981,0.25548968581484416,0.2510299385059404,-0.00445974730890375
A_ORIGINAL,platt,2024,0_005,47517,0.4693057221625944,0.48842900581465576,0.24942298142014635,0.2493977597025094,-2.522171763694181e-05
A_ORIGINAL,platt,2024,005_010,57168,0.48455429610971174,0.4929724896682018,0.2497295835905449,0.2497715920425679,4.20084520230124e-05
A_ORIGINAL,platt,2024,010_020,97634,0.4948378638589016,0.49992075260109764,0.24989300800249012,0.2500237028438246,0.00013069484133446108
A_ORIGINAL,platt,2024,020_040,38526,0.49299174583398225,0.5126181339015844,0.2502431188654462,0.24997844361999985,-0.0002646752454463497
A_ORIGINAL,platt,2024,040_plus,12662,0.4678565787395356,0.5372749263834623,0.2537483566825266,0.24936223266379742,-0.004386124018729176
A_ORIGINAL,v2_strength,2022,0_005,91485,0.5300213149696672,0.511781486761592,0.2494183356569508,0.24944277157936828,2.4435922417492817e-05
A_ORIGINAL,v2_strength,2022,005_010,59765,0.5291391282523216,0.511842334129633,0.24936645751123984,0.249463013715291,9.65562040511625e-05
