stage,config_name,iterations,learning_rate,depth,l2_leaf_reg,random_strength,bagging_temperature,rsm,raw_mean_auc,raw_worst_auc,raw_mean_brier,raw_worst_brier,raw_mean_skill_margin,raw_worst_skill_margin,raw_mean_pseudo_score,raw_positive_fold_count,raw_mean_pred_std,raw_auc_2022,raw_brier_2022,raw_pseudo_2022,raw_skill_2022,raw_auc_2023,raw_brier_2023,raw_pseudo_2023,raw_skill_2023,raw_auc_2024,raw_brier_2024,raw_pseudo_2024,raw_skill_2024,final_mean_auc,final_worst_auc,final_mean_brier,final_worst_brier,final_mean_skill_margin,final_worst_skill_margin,final_mean_pseudo_score,final_positive_fold_count,final_mean_pred_std,final_auc_2022,final_brier_2022,final_pseudo_2022,final_skill_2022,final_auc_2023,final_brier_2023,final_pseudo_2023,final_skill_2023,final_auc_2024,final_brier_2024,final_pseudo_2024,final_skill_2024,delta_vs_v2_raw_mean_auc,delta_vs_v2_raw_auc_2022,delta_vs_v2_raw_auc_2023,delta_vs_v2_raw_auc_2024,delta_vs_v2_final_mean_auc,delta_vs_v2_final_auc_2022,delta_vs_v2_final_auc_2023,delta_vs_v2_final_auc_2024,delta_vs_v2_final_mean_brier,delta_vs_v2_final_brier_2022,delta_vs_v2_final_brier_2023,delta_vs_v2_final_brier_2024,delta_vs_v2_final_pseudo_2022,delta_vs_v2_final_pseudo_2023,delta_vs_v2_final_pseudo_2024,selection_note,corr_vs_v2,mean_abs_diff_vs_v2,max_abs_diff_vs_v2
stage1,rsm_085,220,0.045,6,5.0,,,0.85,0.5197573447464202,0.5108866203698941,0.2529641836626847,0.2557300896904259,-0.0033073393712775476,-0.005923162933637899,20.075557624510935,1,0.061885561001661205,0.5330266111454598,0.24901354499524395,60.226672873532806,0.00015006295107772294,0.5153588027239069,0.25414891630238423,0.0,-0.0041489181312724666,0.5108866203698941,0.2557300896904259,0.0,-0.005923162933637899,0.5196172475165456,0.5108866017453008,0.2497571041975131,0.25057062836176314,-0.00010025990610597797,-0.0005706301906513722,36.08804932933672,2,0.010229003331590969,0.5328267046951232,0.24893088574139913,93.40136259893869,0.00023272220492254192,0.5151384361092128,0.25057062836176314,0.0,-0.0005706301906513722,0.5108866017453008,0.24976979848937708,14.862785389071474,3.7128267410896365e-05,0.0002093209240494609,0.000540925331121267,-0.00011206590930568083,0.00019910335033268556,0.00017160927305859275,0.0005479676903048514,-0.00023204794353426372,0.00019890807240530162,-3.7570112810803025e-06,-9.671757877804943e-06,2.600010767184191e-06,-4.199286732536889e-06,3.8816896084955346,0.0,1.6810129274859182,,0.9963573643256831,0.0010274527686139035,0.019223849254472403
stage1,baseline_more_trees_i300_lr003,300,0.03,6,5.0,,,,0.5196648492395738,0.5109776826719747,0.25289433018331225,0.25556582261291083,-0.0032374858919050806,-0.005758895856122853,8.123550608607536,1,0.06115646386660708,0.532707132596372,0.2491028851509524,24.37065182582261,6.072279536925573e-05,0.5153097324503745,0.2540142827860734,0.0,-0.004014284614961644,0.5109776826719747,0.25556582261291083,0.0,-0.005758895856122853,0.5195463057092629,0.5109778161897538,0.2497605730450468,0.250571054727872,-0.00010372875363968508,-0.0005710565567602355,34.75377322561394,2,0.010271224082683368,0.5325425454824002,0.24893830887830326,90.42214064701844,0.0002252990680184086,0.5151185554556346,0.250571054727872,0.0,-0.0005710565567602355,0.5109778161897538,0.2497723555289652,13.839179029823386,3.4571227822771666e-05,0.00011682541720303696,0.00022144678203350754,-0.00016113618283808417,0.00029016565241335446,0.00010066746577586105,0.00026380847758189496,-0.00025192859711253845,0.0002901225168583377,-2.8816374736395645e-07,-2.2486209736716223e-06,3.026376876047454e-06,-1.64224714441219e-06,0.9024676565752827,0.0,0.6574065682378301,,0.997212647877016,0.0009166267239619646,0.018991763675730078
stage1,shallow_slow_d5_i600_lr002_l2_5,600,0.02,5,5.0,,,,0.5196039302267169,0.5109529778651711,0.25289965577365614,0.25549346230118264,-0.003242811482249003,-0.005686535544394661,8.171601184641807,1,0.06161373958741708,0.5325820233442486,0.24910252597730576,24.51480355392542,6.108196901591367e-05,0.5152767894707309,0.25410297904248,0.0,-0.004102980871368261,0.5109529778651711,0.25549346230118264,0.0,-0.005686535544394661,0.5194670805088277,0.5109535033403211,0.2497614575585693,0.2505733471038523,-0.00010461326716214765,-0.0005733489327405528,34.70492819275865,2,0.010251981266327493,0.5324167392816818,0.24894020291535324,89.66198266665057,0.00022340503096843212,0.5150309989044801,0.2505733471038523,0.0,-0.0005733489327405528,0.5109535033403211,0.2497708226565023,14.452801911625384,3.6104100285677676e-05,5.590640434616212e-05,9.633752991011768e-05,-0.00019407916248170842,0.00026546084560974403,2.1442265340732014e-05,0.00013800227686344702,-0.0003394851482669825,0.0002658096674256205,5.963497751171332e-07,-3.545839236951398e-07,5.318752856364739e-06,-3.1751196073181998e-06,0.14230967620741808,0.0,1.271029450039828,,0.9976064178517928,0.00083103821770836,0.017775372051476612
stage1,baseline_current,220,0.045,6,5.0,,,,0.5195480238223708,0.5106875170195614,0.2528850386995168,0.2555164325408653,-0.003228194408109638,-0.0057095057840773344,13.581055622832167,1,0.061581680808202845,0.5324856858143385,0.24906209080176053,40.7431668684965,0.00010151714456113625,0.5154708686332126,0.2540765927559245,0.0,-0.004076594584812715,0.5106875170195614,0.2555164325408653,0.0,-0.0057095057840773344,0.519445638243487,0.5106876936728955,0.24976086120879418,0.25056802835099595,-0.00010401691738703052,-0.000568030179884188,34.233815150676236,2,0.010300318360914343,0.5322787370048183,0.24894055749927693,89.51967299044315,0.00022305044704473698,0.5153704840527471,0.25056802835099595,0.0,-0.000568030179884188,0.5106876936728955,0.24977399777610962,13.181772461585556,3.2928980678359476e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0
stage1,random_strength_1,220,0.045,6,5.0,1.0,,,0.5195480238223708,0.5106875170195614,0.2528850386995168,0.2555164325408653,-0.003228194408109638,-0.0057095057840773344,13.581055622832167,1,0.061581680808202845,0.5324856858143385,0.24906209080176053,40.7431668684965,0.00010151714456113625,0.5154708686332126,0.2540765927559245,0.0,-0.004076594584812715,0.5106875170195614,0.2555164325408653,0.0,-0.0057095057840773344,0.519445638243487,0.5106876936728955,0.24976086120879418,0.25056802835099595,-0.00010401691738703052,-0.000568030179884188,34.233815150676236,2,0.010300318360914343,0.5322787370048183,0.24894055749927693,89.51967299044315,0.00022305044704473698,0.5153704840527471,0.25056802835099595,0.0,-0.000568030179884188,0.5106876936728955,0.24977399777610962,13.181772461585556,3.2928980678359476e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0
stage1,bagging_temp_05,220,0.045,6,5.0,,0.5,,0.5195480238223708,0.5106875170195614,0.2528850386995168,0.2555164325408653,-0.003228194408109638,-0.0057095057840773344,13.581055622832167,1,0.061581680808202845,0.5324856858143385,0.24906209080176053,40.7431668684965,0.00010151714456113625,0.5154708686332126,0.2540765927559245,0.0,-0.004076594584812715,0.5106875170195614,0.2555164325408653,0.0,-0.0057095057840773344,0.519445638243487,0.5106876936728955,0.24976086120879418,0.25056802835099595,-0.00010401691738703052,-0.000568030179884188,34.233815150676236,2,0.010300318360914343,0.5322787370048183,0.24894055749927693,89.51967299044315,0.00022305044704473698,0.5153704840527471,0.25056802835099595,0.0,-0.000568030179884188,0.5106876936728955,0.24977399777610962,13.181772461585556,3.2928980678359476e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0
stage1,bagging_temp_1,220,0.045,6,5.0,,1.0,,0.5195480238223708,0.5106875170195614,0.2528850386995168,0.2555164325408653,-0.003228194408109638,-0.0057095057840773344,13.581055622832167,1,0.061581680808202845,0.5324856858143385,0.24906209080176053,40.7431668684965,0.00010151714456113625,0.5154708686332126,0.2540765927559245,0.0,-0.004076594584812715,0.5106875170195614,0.2555164325408653,0.0,-0.0057095057840773344,0.519445638243487,0.5106876936728955,0.24976086120879418,0.25056802835099595,-0.00010401691738703052,-0.000568030179884188,34.233815150676236,2,0.010300318360914343,0.5322787370048183,0.24894055749927693,89.51967299044315,0.00022305044704473698,0.5153704840527471,0.25056802835099595,0.0,-0.000568030179884188,0.5106876936728955,0.24977399777610962,13.181772461585556,3.2928980678359476e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0
stage1,bagging_temp_2,220,0.045,6,5.0,,2.0,,0.5195480238223708,0.5106875170195614,0.2528850386995168,0.2555164325408653,-0.003228194408109638,-0.0057095057840773344,13.581055622832167,1,0.061581680808202845,0.5324856858143385,0.24906209080176053,40.7431668684965,0.00010151714456113625,0.5154708686332126,0.2540765927559245,0.0,-0.004076594584812715,0.5106875170195614,0.2555164325408653,0.0,-0.0057095057840773344,0.519445638243487,0.5106876936728955,0.24976086120879418,0.25056802835099595,-0.00010401691738703052,-0.000568030179884188,34.233815150676236,2,0.010300318360914343,0.5322787370048183,0.24894055749927693,89.51967299044315,0.00022305044704473698,0.5153704840527471,0.25056802835099595,0.0,-0.000568030179884188,0.5106876936728955,0.24977399777610962,13.181772461585556,3.2928980678359476e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0
stage1,regularized_d6_i300_lr003_l2_20_rs1_bag1,300,0.03,6,20.0,1.0,1.0,,0.5195287568090935,0.5112871425933769,0.252912836188667,0.255547709132171,-0.0032559918972598634,-0.00574078237538303,25.81581505939744,1,0.06125930160994223,0.5328433723502018,0.24897063709765344,77.44744517819232,0.00019297084866823355,0.5144557554837018,0.25422016233617656,0.0,-0.004220164165064794,0.5112871425933769,0.255547709132171,0.0,-0.00574078237538303,0.5193969552330783,0.5112872525033938,0.24976573847435413,0.2505915006504288,-0.00010889418294698916,-0.0005915024793170243,35.4156503854532,2,0.010272963330183583,0.5326423897090025,0.2489341993905069,92.07145365473758,0.0002294085558147696,0.5142612234868386,0.2505915006504288,0.0,-0.0005915024793170243,0.5112872525033938,0.2497715153821267,14.175497501622003,3.541137466128719e-05,-1.926701327725766e-05,0.0003576865358633219,-0.001015113149510749,0.0005996255738155432,-4.868301040872325e-05,0.0003636527041841475,-0.001109260565908543,0.0005995588304983368,4.877265559949384e-06,-6.358108770032622e-06,2.347229943283624e-05,-2.482393982927711e-06,2.5517806642944265,0.0,0.9937250400364466,,0.9971906807422739,0.000899467730889356,0.019694104544783375
stage2,stage2_from_random_strength_2_10,320,0.03825,6,5.0,2.0,,,0.5194814089347038,0.5113967459273375,0.2529988560718999,0.2556241916115577,-0.0033420117804927505,-0.005817264854769716,0.0,0,0.06195374243980156,0.5317871837808562,0.24920254480084636,0.0,-3.893685452469042e-05,0.515260297095918,0.2541698318032956,0.0,-0.004169833632183845,0.5113967459273375,0.2556241916115577,0.0,-0.005817264854769716,0.5193573774312822,0.5113971572879221,0.24976752431453916,0.25057546060477587,-0.00011068002313203522,-0.0005754624336641034,32.55201405895486,2,0.010271483466567206,0.5316348721696113,0.24895864618208743,82.2599118400913,0.00020496176423423496,0.5150401028363132,0.25057546060477587,0.0,-0.0005754624336641034,0.5113971572879221,0.24976846615675422,15.396130336773279,3.846060003376284e-05,-6.661488766690482e-05,-0.0006985020334823178,-0.00021057153729453493,0.0007092289077761382,-8.826081220481008e-05,-0.0006438648352070642,-0.00033038121643391705,0.000709463615026662,6.663105744986186e-06,1.808868281050202e-05,7.43225377991541e-06,-5.531619355403361e-06,-7.259761150351849,0.0,2.214357875187723,,0.9963073485973513,0.001045994134227793,0.01989669294885743
stage1,shallow_more_trees_d5_i450_lr003_l2_5,450,0.03,5,5.0,,,,0.5194843881864412,0.5113644553983929,0.25292196925577093,0.2554929043698125,-0.0032651249643637636,-0.005685977613024501,10.366061397707982,1,0.06198841353827312,0.5323695142152698,0.2490861225885803,31.098184193123945,7.748535774138032e-05,0.5147191949456609,0.25418688080891993,0.0,-0.00418688263780817,0.5113644553983929,0.2554929043698125,0.0,-0.005685977613024501,0.5193501670697225,0.5113651692373236,0.2497643177505892,0.2505842761429558,-0.00010747345918205957,-0.0005842779718440438,35.017906965257,2,0.010280910886698151,0.5322018100666976,0.24894133970213903,89.20574156661279,0.00022226824418264401,0.5144835219051463,0.2505842761429558,0.0,-0.0005842779718440438,0.5113651692373236,0.24976733740667276,15.847979329158203,3.9589350115221134e-05,-6.363563592959309e-05,-0.00011617159906873731,-0.0007516736875516905,0.0006769383788315375,-9.547117376451641e-05,-7.692693812066942e-05,-0.0008869621476007561,0.0006774755644280983,3.456541795010537e-06,7.822028620929622e-07,1.6247791959855817e-05,-6.660369436861657e-06,-0.3139314238303683,0.0,2.6662068675726474,,0.9969779628246433,0.0009332359947897824,0.01823264572618566
