stage,config_name,fold,valid_year,target_rate,iterations,learning_rate,depth,l2_leaf_reg,random_strength,bagging_temperature,rsm,raw_actual_rate,raw_constant_brier,raw_brier,raw_skill_margin,raw_pseudo_score,raw_auc,raw_logloss,raw_pred_mean,raw_pred_std,final_actual_rate,final_constant_brier,final_brier,final_skill_margin,final_pseudo_score,final_auc,final_logloss,final_pred_mean,final_pred_std
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_4,2019-2022_cal2023_valid2024,2024,0.48774205570452267,450,0.03,4,10.0,1.0,1.0,0.85,0.4861049201797189,0.24980692675678798,0.2554970416537855,-0.005690114896997528,0.0,0.5119920490382459,0.7048674495208574,0.5352076289661251,0.06522111748646989,0.4861049201797189,0.24980692675678798,0.24976121242258448,4.571433420350046e-05,18.29986653973288,0.5119924660360401,0.6926693964967449,0.4877362522109691,0.005604471972785496
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_5,2019-2020_cal2021_valid2022,2022,0.5114727049981269,550,0.03,4,5.0,,,,0.5289204435249241,0.24916360794632167,0.24910892459365327,5.46833526683943e-05,21.946765468324315,0.5332169199550312,0.6914010585262312,0.5456387810500398,0.05829950326887041,0.5289204435249241,0.24916360794632167,0.24892399593883008,0.00023961200749159084,96.16653469844256,0.5330312995746895,0.6909935848588338,0.511604430360986,0.010974016560007654
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_5,2019-2021_cal2022_valid2023,2023,0.5276733290608981,550,0.03,4,5.0,,,,0.49995723449750534,0.24999999817111176,0.25424158383517814,-0.004241585664066377,0.0,0.5137937334818332,0.7021355888988223,0.5413991791644642,0.0625046954372262,0.49995723449750534,0.24999999817111176,0.25061422232370556,-0.0006142241525937953,0.0,0.5137116038101766,0.6943799091020617,0.5272843469191564,0.014345694430052822
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_5,2019-2022_cal2023_valid2024,2024,0.48774205570452267,550,0.03,4,5.0,,,,0.4861049201797189,0.24980692675678798,0.25553357051545356,-0.005726643758665578,0.0,0.5111907075009853,0.7049547429948636,0.5335918386770937,0.06630641135264669,0.4861049201797189,0.24980692675678798,0.249766310215348,4.061654143996951e-05,16.259173421365443,0.5111913837481363,0.692679594505102,0.4877352929004253,0.0057118887915660835
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_6,2019-2020_cal2021_valid2022,2022,0.5114727049981269,550,0.0255,4,5.0,,,,0.5289204435249241,0.24916360794632167,0.2489715490212269,0.00019205892509477351,77.08145129129353,0.5341744721454057,0.6911185424397585,0.5454086140561737,0.05729325345775669,0.5289204435249241,0.24916360794632167,0.24890612733615275,0.00025748061016891977,103.33796828965082,0.5339459128833614,0.6909578183909086,0.5116068656233814,0.011099973572228824
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_6,2019-2021_cal2022_valid2023,2023,0.5276733290608981,550,0.0255,4,5.0,,,,0.49995723449750534,0.24999999817111176,0.2540846032371739,-0.004084605066062147,0.0,0.5146114089499652,0.7018060555914557,0.5412231589595929,0.061953510852972335,0.49995723449750534,0.24999999817111176,0.250593085709723,-0.0005930875386112311,0.0,0.5144186142393168,0.6943374511800593,0.5272038127118986,0.014381911180719627
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_6,2019-2022_cal2023_valid2024,2024,0.48774205570452267,550,0.0255,4,5.0,,,,0.4861049201797189,0.24980692675678798,0.2554941832131363,-0.00568725645634835,0.0,0.5118542530219142,0.7048776335749575,0.5340566128320272,0.06590963295238579,0.4861049201797189,0.24980692675678798,0.24976374939139198,4.317736539599659e-05,17.28429469773433,0.5118544583596136,0.6926744723760109,0.48773697111634945,0.005602726949455781
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_7,2019-2020_cal2021_valid2022,2022,0.5114727049981269,450,0.03,4,7.5,,,,0.5289204435249241,0.24916360794632167,0.24895315092973225,0.0002104570165894215,84.46539136436053,0.5339316875629054,0.6910784243447787,0.5450019525867734,0.05690778219637483,0.5289204435249241,0.24916360794632167,0.2489081469340479,0.0002554610122737777,102.52741737822834,0.5337271246309121,0.6909618618052633,0.5116133547191689,0.011110040710974864
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_7,2019-2021_cal2022_valid2023,2023,0.5276733290608981,450,0.03,4,7.5,,,,0.49995723449750534,0.24999999817111176,0.25420859118498607,-0.004208593013874301,0.0,0.5142766260931024,0.7020696360487437,0.5419829053135098,0.06219390531059133,0.49995723449750534,0.24999999817111176,0.25059786710063353,-0.0005978689295217665,0.0,0.51410369242836,0.6943470729442938,0.5271672735865102,0.014426440385754795
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_7,2019-2022_cal2023_valid2024,2024,0.48774205570452267,450,0.03,4,7.5,,,,0.4861049201797189,0.24980692675678798,0.25542291825085894,-0.005615991494070965,0.0,0.5110344957483242,0.7047133302213829,0.5333902444440738,0.06520616268767661,0.4861049201797189,0.24980692675678798,0.24977019840008266,3.672835670531782e-05,14.702697472066717,0.5110346308233434,0.6926873864399516,0.4877378769021297,0.00550499494776379
