stage,config_name,valid_year,feature_seconds,train_seconds,inference_seconds,rows_train,rows_cal,rows_valid
stage1,deeper_d8_i300_lr003_l2_20,2023,18.617401361465454,25.7205331325531,0.08964824676513672,728588,247472,245525
stage1,deeper_d8_i300_lr003_l2_20,2024,23.438973426818848,32.1743540763855,0.10262846946716309,976060,245525,253507
stage1,random_strength_05,2022,13.608336687088013,10.0051589012146,0.07015371322631836,481500,247088,247472
stage1,random_strength_05,2023,18.617401361465454,14.258374214172363,0.08609294891357422,728588,247472,245525
stage1,random_strength_05,2024,23.438973426818848,18.10500431060791,0.0664982795715332,976060,245525,253507
stage1,random_strength_1,2022,13.608336687088013,10.171278476715088,0.07329154014587402,481500,247088,247472
stage1,random_strength_1,2023,18.617401361465454,14.120616436004639,0.07555913925170898,728588,247472,245525
stage1,random_strength_1,2024,23.438973426818848,18.03280210494995,0.07650184631347656,976060,245525,253507
stage1,random_strength_2,2022,13.608336687088013,10.085106611251831,0.06849384307861328,481500,247088,247472
stage1,random_strength_2,2023,18.617401361465454,14.232961177825928,0.08160710334777832,728588,247472,245525
stage1,random_strength_2,2024,23.438973426818848,18.25624108314514,0.06963562965393066,976060,245525,253507
stage1,bagging_temp_05,2022,13.608336687088013,10.115432024002075,0.06479811668395996,481500,247088,247472
stage1,bagging_temp_05,2023,18.617401361465454,14.071582317352295,0.07600927352905273,728588,247472,245525
stage1,bagging_temp_05,2024,23.438973426818848,17.996963024139404,0.07906031608581543,976060,245525,253507
stage1,bagging_temp_1,2022,13.608336687088013,10.105328798294067,0.08981847763061523,481500,247088,247472
stage1,bagging_temp_1,2023,18.617401361465454,14.453447580337524,0.07562947273254395,728588,247472,245525
stage1,bagging_temp_1,2024,23.438973426818848,18.301090717315674,0.07814431190490723,976060,245525,253507
stage1,bagging_temp_2,2022,13.608336687088013,10.158194780349731,0.06647276878356934,481500,247088,247472
stage1,bagging_temp_2,2023,18.617401361465454,14.113483905792236,0.0814518928527832,728588,247472,245525
stage1,bagging_temp_2,2024,23.438973426818848,18.075857877731323,0.07684493064880371,976060,245525,253507
stage1,rsm_085,2022,13.608336687088013,11.0850191116333,0.07023239135742188,481500,247088,247472
stage1,rsm_085,2023,18.617401361465454,15.628684282302856,0.06519699096679688,728588,247472,245525
stage1,rsm_085,2024,23.438973426818848,20.024924993515015,0.08773946762084961,976060,245525,253507
stage1,rsm_07_l2_10,2022,13.608336687088013,11.095095157623291,0.08317399024963379,481500,247088,247472
stage1,rsm_07_l2_10,2023,18.617401361465454,15.709497451782227,0.07427763938903809,728588,247472,245525
stage1,rsm_07_l2_10,2024,23.438973426818848,20.242286920547485,0.0685276985168457,976060,245525,253507
stage1,conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085,2022,13.608336687088013,13.067001819610596,0.07097291946411133,481500,247088,247472
stage1,conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085,2023,18.617401361465454,18.51132607460022,0.07820391654968262,728588,247472,245525
stage1,conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085,2024,23.438973426818848,23.742244005203247,0.07360529899597168,976060,245525,253507
stage1,regularized_d6_i300_lr003_l2_20_rs1_bag1,2022,13.608336687088013,13.7457275390625,0.07128500938415527,481500,247088,247472
stage1,regularized_d6_i300_lr003_l2_20_rs1_bag1,2023,18.617401361465454,19.9001522064209,0.06746053695678711,728588,247472,245525
stage1,regularized_d6_i300_lr003_l2_20_rs1_bag1,2024,23.438973426818848,25.06074595451355,0.08353710174560547,976060,245525,253507
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_1,2022,13.608336687088013,17.8213210105896,0.07571601867675781,481500,247088,247472
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_1,2023,18.617401361465454,25.24499797821045,0.08916330337524414,728588,247472,245525
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_1,2024,23.438973426818848,31.639641284942627,0.08737587928771973,976060,245525,253507
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_2,2022,13.608336687088013,17.212444067001343,0.06847667694091797,481500,247088,247472
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_2,2023,18.617401361465454,24.515558004379272,0.08128213882446289,728588,247472,245525
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_2,2024,23.438973426818848,31.352024793624878,0.08575606346130371,976060,245525,253507
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_3,2022,13.608336687088013,12.97597622871399,0.06526374816894531,481500,247088,247472
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_3,2023,18.617401361465454,18.480555772781372,0.07457590103149414,728588,247472,245525
