alpha,feature_set,train_start,train_end,cal_year,valid_year,stage,trend_prior,train_seconds,brier,logloss,auc,pred_mean,pred_std,actual_rate,baseline_brier,improvement_vs_catboost_baseline
50,combo_core,2019,2022,2023,2024,raw,0.49806160773054486,18.600640773773193,0.25590620262032904,0.7056877530362666,0.5074583770130815,0.5368186654308025,0.06410263401830403,0.4861049201797189,0.2498392201633735,-0.0060669824569555275
50,combo_core,2019,2022,2023,2024,platt,0.49806160773054486,18.600640773773193,0.25009141746404695,0.6933309869752674,0.5074583770130815,0.5007549037756437,0.013621872202455525,0.4861049201797189,0.2498392201633735,-0.00025219730067344015
50,combo_core,2019,2022,2023,2024,platt_plus_trend_w075,0.49806160773054486,18.600640773773193,0.24994911948289006,0.6930454176969029,0.5074583770130815,0.49873493174181954,0.003405468050613881,0.4861049201797189,0.2498392201633735,-0.00010989931951654874
100,combo_core,2019,2020,2021,2022,raw,0.5114727049981269,10.4754478931427,0.2513765936037924,0.6960937359497017,0.5175227414082445,0.5443536588248468,0.06395663724602454,0.5289204435249241,0.2488975149153299,-0.002479078688462477
100,combo_core,2019,2020,2021,2022,platt,0.5114727049981269,10.4754478931427,0.2497230474215863,0.6926260447105312,0.5175227414082445,0.5394306901523882,0.04349096061001414,0.5289204435249241,0.2488975149153299,-0.0008255325062563879
100,combo_core,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,10.4754478931427,0.24903057688953723,0.691206553461984,0.5175227414082445,0.5184622012866923,0.010872740152503535,0.5289204435249241,0.2488975149153299,-0.0001330619742073158
100,combo_core,2019,2021,2022,2023,raw,0.5129662444084708,14.252638578414917,0.2550464511156026,0.7037791991851836,0.5089675042701012,0.5445109084014216,0.06315315353451022,0.49995723449750534,0.2501588034603313,-0.004887647655271277
100,combo_core,2019,2021,2022,2023,platt,0.5129662444084708,14.252638578414917,0.2542456617820161,0.7020669145627628,0.5089675042701012,0.5346064917886121,0.06296837342370917,0.49995723449750534,0.2501588034603313,-0.004086858321684761
100,combo_core,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,14.252638578414917,0.25035709301080405,0.693864837305812,0.5089675042701012,0.5183763062535062,0.015742093355927293,0.49995723449750534,0.2501588034603313,-0.0001982895504727411
100,combo_core,2019,2022,2023,2024,raw,0.49806160773054486,19.039896249771118,0.2563580870507579,0.7065971271892447,0.5059172623283166,0.5397747668836548,0.06410264637843169,0.4861049201797189,0.2498392201633735,-0.0065188668873844
100,combo_core,2019,2022,2023,2024,platt,0.49806160773054486,19.039896249771118,0.2501443044592914,0.6934368973496872,0.5059172623283166,0.501221279230583,0.01405213382993234,0.4861049201797189,0.2498392201633735,-0.0003050842959179123
100,combo_core,2019,2022,2023,2024,platt_plus_trend_w075,0.49806160773054486,19.039896249771118,0.24995959684233698,0.693066373262141,0.5059172623283166,0.49885152560555435,0.003513033457483085,0.4861049201797189,0.2498392201633735,-0.00012037667896347415
300,combo_core,2019,2020,2021,2022,raw,0.5114727049981269,10.076871395111084,0.25153825914496725,0.6964278920228123,0.5187061596310996,0.5516805915872557,0.06325712662885107,0.5289204435249241,0.2488975149153299,-0.0026407442296373373
300,combo_core,2019,2020,2021,2022,platt,0.5114727049981269,10.076871395111084,0.24959921546395,0.6923685555950112,0.5187061596310996,0.5427680880549538,0.04010055238185129,0.5289204435249241,0.2488975149153299,-0.0007017005486200933
300,combo_core,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,10.076871395111084,0.2490156796413778,0.6911767136220064,0.5187061596310996,0.5192965507623336,0.010025138095462823,0.5289204435249241,0.2488975149153299,-0.00011816472604789241
300,combo_core,2019,2021,2022,2023,raw,0.5129662444084708,14.395407915115356,0.2550218110055238,0.7037056493505717,0.509413863176233,0.5460866649669948,0.06199750974713249,0.49995723449750534,0.2501588034603313,-0.004863007545192477
300,combo_core,2019,2021,2022,2023,platt,0.5129662444084708,14.395407915115356,0.2538810893295825,0.7012655845000229,0.509413863176233,0.5344221383104646,0.06006430560980471,0.49995723449750534,0.2501588034603313,-0.003722285869251163
300,combo_core,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,14.395407915115356,0.25033443242896686,0.6938191219788248,0.509413863176233,0.5183302178839693,0.015016076402451178,0.49995723449750534,0.2501588034603313,-0.0001756289686355439
300,combo_core,2019,2022,2023,2024,raw,0.49806160773054486,19.436661958694458,0.2564767094282113,0.7068434411546142,0.5043855661128879,0.5394454323709117,0.06472632876149123,0.4861049201797189,0.2498392201633735,-0.006637489264837815
300,combo_core,2019,2022,2023,2024,platt,0.49806160773054486,19.436661958694458,0.25016226152488436,0.6934727772278857,0.5043855661128879,0.5013419376369961,0.013987376700442597,0.4861049201797189,0.2498392201633735,-0.00032304136151084517
300,combo_core,2019,2022,2023,2024,platt_plus_trend_w075,0.49806160773054486,19.436661958694458,0.2499642808683428,0.6930757414347903,0.5043855661128879,0.49888169020715767,0.0034968441751106493,0.4861049201797189,0.2498392201633735,-0.00012506070496928756
1000,combo_core,2019,2020,2021,2022,raw,0.5114727049981269,10.104838609695435,0.2516357702252238,0.6966664429834958,0.5199579744623862,0.5539713299076877,0.06560676627710256,0.5289204435249241,0.2488975149153299,-0.002738255309893911
1000,combo_core,2019,2020,2021,2022,platt,0.5114727049981269,10.104838609695435,0.2494245664388944,0.6920160581790015,0.5199579744623862,0.5438214437608989,0.03862224765787285,0.5289204435249241,0.2488975149153299,-0.0005270515235644979
1000,combo_core,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,10.104838609695435,0.24898126795792294,0.6911078272894026,0.5199579744623862,0.5195598896888199,0.009655561914468213,0.5289204435249241,0.2488975149153299,-8.375304259303218e-05
1000,combo_core,2019,2021,2022,2023,raw,0.5129662444084708,14.412256479263306,0.2547869317526076,0.7032339607561138,0.5098831294505581,0.5437908116653681,0.06214097482673285,0.49995723449750534,0.2501588034603313,-0.004628128292276268
1000,combo_core,2019,2021,2022,2023,platt,0.5129662444084708,14.412256479263306,0.2537847737173281,0.7010810554603328,0.5098831294505581,0.5340947366283815,0.05976392990013613,0.49995723449750534,0.2501588034603313,-0.003625970256996791
1000,combo_core,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,14.412256479263306,0.250319716467952,0.6937897147342887,0.5098831294505581,0.5182483674634485,0.014940982475034033,0.49995723449750534,0.2501588034603313,-0.00016091300762066663
1000,combo_core,2019,2022,2023,2024,raw,0.49806160773054486,19.09330153465271,0.2560680543377744,0.7060496588084673,0.5060333341891179,0.5358019248768813,0.06522317665007175,0.4861049201797189,0.2498392201633735,-0.006228834174400899
1000,combo_core,2019,2022,2023,2024,platt,0.49806160773054486,19.09330153465271,0.25010485897345613,0.6933578210190647,0.5060333341891179,0.5004424585135573,0.013445528366935763,0.4861049201797189,0.2498392201633735,-0.0002656388100826246
1000,combo_core,2019,2022,2023,2024,platt_plus_trend_w075,0.49806160773054486,19.09330153465271,0.24995367209068667,0.6930545232440458,0.5060333341891179,0.49865682042629794,0.0033613820917339403,0.4861049201797189,0.2498392201633735,-0.00011445192731315834
