candidate_name,valid_year,context,context_value,n,auc,prediction_std
B_QUERYRMSE_PITCHER_GAME,2024,count_state,0-0,65317,0.5094832946379181,0.00625687420631272
B_QUERYRMSE_PITCHER_GAME,2024,count_state,0-1,31402,0.5011787324851349,0.005941633004490327
B_QUERYRMSE_PITCHER_GAME,2024,count_state,0-2,16155,0.5088345091175592,0.007275334727987262
B_QUERYRMSE_PITCHER_GAME,2024,count_state,1-0,26438,0.5037817723260346,0.006754646002926188
B_QUERYRMSE_PITCHER_GAME,2024,count_state,1-1,25313,0.5107872781361935,0.006199700709660392
B_QUERYRMSE_PITCHER_GAME,2024,count_state,1-2,24399,0.5078581991413293,0.006711016650611001
B_QUERYRMSE_PITCHER_GAME,2024,count_state,2-0,9392,0.5102471348146369,0.007547870315075261
B_QUERYRMSE_PITCHER_GAME,2024,count_state,2-1,13446,0.5183466853011888,0.007185819668880604
B_QUERYRMSE_PITCHER_GAME,2024,count_state,2-2,20640,0.5088567103051401,0.0069418759394805065
B_QUERYRMSE_PITCHER_GAME,2024,count_state,3-0,3214,0.49768134823008936,0.0076760671635799724
B_QUERYRMSE_PITCHER_GAME,2024,count_state,3-1,6020,0.5157802849553935,0.007626405548026657
B_QUERYRMSE_PITCHER_GAME,2024,count_state,3-2,11771,0.5009646458053976,0.007884267689699055
B_QUERYRMSE_PITCHER_GAME,2024,pitcher_bucket,lt50,4060,0.4916638054825179,0.0025016942497920937
B_QUERYRMSE_PITCHER_GAME,2024,pitcher_bucket,50_300,16578,0.49835178181872497,0.004393934040368038
B_QUERYRMSE_PITCHER_GAME,2024,pitcher_bucket,300_1000,38096,0.5009215993550122,0.005495274538866184
B_QUERYRMSE_PITCHER_GAME,2024,pitcher_bucket,1000_plus,194773,0.5113735342679412,0.007117354008165327
C_QUERYRMSE_PITCHER_COUNT,2022,game_type,F,30448,0.5162535825617449,0.010345931798932104
C_QUERYRMSE_PITCHER_COUNT,2022,game_type,R,217024,0.5145066287767623,0.010832691632864632
C_QUERYRMSE_PITCHER_COUNT,2022,count_state,0-0,64084,0.5423659677652806,0.011536033189376328
C_QUERYRMSE_PITCHER_COUNT,2022,count_state,0-1,31161,0.5358113723668407,0.011450545797299191
C_QUERYRMSE_PITCHER_COUNT,2022,count_state,0-2,15595,0.5322588097704302,0.011440638854371191
C_QUERYRMSE_PITCHER_COUNT,2022,count_state,1-0,25393,0.5446063745154792,0.0115988515737529
C_QUERYRMSE_PITCHER_COUNT,2022,count_state,1-1,25225,0.5413083842836153,0.01151231705548103
C_QUERYRMSE_PITCHER_COUNT,2022,count_state,1-2,23740,0.5321288463256957,0.011373912623778078
C_QUERYRMSE_PITCHER_COUNT,2022,count_state,2-0,8700,0.5466163299698987,0.011491193531683269
C_QUERYRMSE_PITCHER_COUNT,2022,count_state,2-1,13114,0.543169394929725,0.011616763874945335
C_QUERYRMSE_PITCHER_COUNT,2022,count_state,2-2,20240,0.536802233585776,0.011481101787603204
C_QUERYRMSE_PITCHER_COUNT,2022,count_state,3-0,2809,0.5317966611807248,0.011450176917642467
C_QUERYRMSE_PITCHER_COUNT,2022,count_state,3-1,5605,0.5483528897190014,0.011762766160148309
C_QUERYRMSE_PITCHER_COUNT,2022,count_state,3-2,11806,0.5395752373029951,0.01151079662243769
C_QUERYRMSE_PITCHER_COUNT,2022,pitcher_bucket,lt50,4074,0.5630588246813011,0.010865307605323784
C_QUERYRMSE_PITCHER_COUNT,2022,pitcher_bucket,50_300,16327,0.5559639434732639,0.010170178038416734
C_QUERYRMSE_PITCHER_COUNT,2022,pitcher_bucket,300_1000,39788,0.5505817037543299,0.01096412139883145
C_QUERYRMSE_PITCHER_COUNT,2022,pitcher_bucket,1000_plus,187283,0.5336404484240985,0.011626496098911768
C_QUERYRMSE_PITCHER_COUNT,2023,game_type,F,25686,0.5022853553339588,0.002704482795154044
C_QUERYRMSE_PITCHER_COUNT,2023,game_type,R,219839,0.5132067306276521,0.011255050716978654
C_QUERYRMSE_PITCHER_COUNT,2023,count_state,0-0,63138,0.5090267304535363,0.01319824265224618
C_QUERYRMSE_PITCHER_COUNT,2023,count_state,0-1,30327,0.503900684279684,0.013061511183655037
C_QUERYRMSE_PITCHER_COUNT,2023,count_state,0-2,14526,0.4922946122986946,0.012992767937998122
C_QUERYRMSE_PITCHER_COUNT,2023,count_state,1-0,25591,0.5067404172723149,0.013384707627607621
C_QUERYRMSE_PITCHER_COUNT,2023,count_state,1-1,25293,0.49759007537951616,0.013149562363562364
C_QUERYRMSE_PITCHER_COUNT,2023,count_state,1-2,23456,0.5032845306882792,0.01294697447232118
C_QUERYRMSE_PITCHER_COUNT,2023,count_state,2-0,8774,0.5134921465652943,0.01360770079292257
C_QUERYRMSE_PITCHER_COUNT,2023,count_state,2-1,13479,0.5142315118353853,0.013290259010254596
C_QUERYRMSE_PITCHER_COUNT,2023,count_state,2-2,20380,0.502135591188068,0.013011390977633094
C_QUERYRMSE_PITCHER_COUNT,2023,count_state,3-0,2858,0.49039428346308545,0.013931404007146736
C_QUERYRMSE_PITCHER_COUNT,2023,count_state,3-1,5807,0.5041977726089977,0.013585387503530538
C_QUERYRMSE_PITCHER_COUNT,2023,count_state,3-2,11896,0.5148275177631986,0.013324882496336385
C_QUERYRMSE_PITCHER_COUNT,2023,pitcher_bucket,lt50,3191,0.49382528446381735,0.01215350565795072
C_QUERYRMSE_PITCHER_COUNT,2023,pitcher_bucket,50_300,13817,0.4988595310323256,0.012961718739923547
C_QUERYRMSE_PITCHER_COUNT,2023,pitcher_bucket,300_1000,28132,0.4909860898974857,0.012372877114499891
C_QUERYRMSE_PITCHER_COUNT,2023,pitcher_bucket,1000_plus,200385,0.5108764214913866,0.01297182956625858
C_QUERYRMSE_PITCHER_COUNT,2024,game_type,F,30010,0.5118278997009976,0.0006766386401811185
C_QUERYRMSE_PITCHER_COUNT,2024,game_type,R,223497,0.5094591443059018,0.0005428774378899287
C_QUERYRMSE_PITCHER_COUNT,2024,count_state,0-0,65317,0.5027248993334622,0.0009515857557571537
C_QUERYRMSE_PITCHER_COUNT,2024,count_state,0-1,31402,0.4911357507125011,0.0009176477861136655
C_QUERYRMSE_PITCHER_COUNT,2024,count_state,0-2,16155,0.5032981807622342,0.0009114233373715917
C_QUERYRMSE_PITCHER_COUNT,2024,count_state,1-0,26438,0.498018583056288,0.000953756857185012
C_QUERYRMSE_PITCHER_COUNT,2024,count_state,1-1,25313,0.5059373741531126,0.0009374250524836068
C_QUERYRMSE_PITCHER_COUNT,2024,count_state,1-2,24399,0.5038160002458727,0.0008705990995026669
C_QUERYRMSE_PITCHER_COUNT,2024,count_state,2-0,9392,0.505574818611591,0.0009751479844475486
C_QUERYRMSE_PITCHER_COUNT,2024,count_state,2-1,13446,0.5051369831485132,0.0009483184101152046
C_QUERYRMSE_PITCHER_COUNT,2024,count_state,2-2,20640,0.504924029084409,0.0009195180923163563
C_QUERYRMSE_PITCHER_COUNT,2024,count_state,3-0,3214,0.48345246473070874,0.000998337228027091
C_QUERYRMSE_PITCHER_COUNT,2024,count_state,3-1,6020,0.5048551133030148,0.0009801155620421497
C_QUERYRMSE_PITCHER_COUNT,2024,count_state,3-2,11771,0.49975814779163674,0.0009344479848840382
C_QUERYRMSE_PITCHER_COUNT,2024,pitcher_bucket,lt50,4060,0.4809068535386734,0.0009564519284149447
C_QUERYRMSE_PITCHER_COUNT,2024,pitcher_bucket,50_300,16578,0.4934036416811365,0.0010028098753229434
C_QUERYRMSE_PITCHER_COUNT,2024,pitcher_bucket,300_1000,38096,0.5001491987752013,0.0009675161582238472
C_QUERYRMSE_PITCHER_COUNT,2024,pitcher_bucket,1000_plus,194773,0.5057600345923923,0.0008910484480438275
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,game_type,F,30448,0.48393147640003126,0.0020145164625906225
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,game_type,R,217024,0.4901347363506652,0.0019389435996244402
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,count_state,0-0,64084,0.5040867645084581,0.00200221784726086
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,count_state,0-1,31161,0.5053499509027914,0.0019580096120631833
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,count_state,0-2,15595,0.5074929637548717,0.0019134668233478035
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,count_state,1-0,25393,0.5037490584640905,0.0020363660102926374
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,count_state,1-1,25225,0.5051492298213186,0.0019950695437412256
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,count_state,1-2,23740,0.5057819139415964,0.001954363205635661
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,count_state,2-0,8700,0.5070266460338322,0.00208473247927881
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,count_state,2-1,13114,0.5101796863146024,0.00203380323187662
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,count_state,2-2,20240,0.5129135848703488,0.0019954513135687175
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,count_state,3-0,2809,0.5123656780816848,0.0021244437306028913
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,count_state,3-1,5605,0.5158901683627253,0.0020817178234677223
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,count_state,3-2,11806,0.5091211915026339,0.0019954692216526365
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,pitcher_bucket,lt50,4074,0.5347419811228387,0.0016676568236508313
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,pitcher_bucket,50_300,16327,0.5615325268117881,0.001820543645639015
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,pitcher_bucket,300_1000,39788,0.5275499465992207,0.0019079544268574247
D_QUERYRMSE_PITCHER_GAME_COUNT,2022,pitcher_bucket,1000_plus,187283,0.49742388426012796,0.0020296825633979
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,game_type,F,25686,0.5120486883742694,0.011470470880955704
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,game_type,R,219839,0.5124753501158724,0.01116339074000603
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,count_state,0-0,63138,0.5113592785841226,0.011485155561012242
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,count_state,0-1,30327,0.5093358022015688,0.01135675122364148
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,count_state,0-2,14526,0.4971571829669915,0.011191551046232201
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,count_state,1-0,25591,0.5113854494816439,0.011646406093854884
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,count_state,1-1,25293,0.5015785456809123,0.011550961081160995
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,count_state,1-2,23456,0.5110400505736024,0.011284523226514003
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,count_state,2-0,8774,0.5241739673929765,0.011758390937528371
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,count_state,2-1,13479,0.5143151549903919,0.011688132806858062
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,count_state,2-2,20380,0.5073487277536566,0.011468573364561275
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,count_state,3-0,2858,0.5022633103621297,0.011978115697623323
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,count_state,3-1,5807,0.5063101729054382,0.01182234623047173
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,count_state,3-2,11896,0.5122063229310556,0.011666863967190539
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,pitcher_bucket,lt50,3191,0.4968969733664765,0.0071149780234411155
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,pitcher_bucket,50_300,13817,0.4976876863315564,0.00883410979632577
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,pitcher_bucket,300_1000,28132,0.49492310189348104,0.00910539041750439
D_QUERYRMSE_PITCHER_GAME_COUNT,2023,pitcher_bucket,1000_plus,200385,0.5144929216050709,0.011818318721508441
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,game_type,F,30010,0.5044826929674344,0.005740669824945608
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,game_type,R,223497,0.5083639775734039,0.0051144090018276295
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,count_state,0-0,65317,0.5059966454367525,0.0053226438369784945
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,count_state,0-1,31402,0.49954292001707346,0.0052714219368252425
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,count_state,0-2,16155,0.5030722665251133,0.005285813045598635
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,count_state,1-0,26438,0.5031968388169208,0.005395620165736339
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,count_state,1-1,25313,0.5089297484018109,0.005293568222781976
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,count_state,1-2,24399,0.5016501837884186,0.005161526501874829
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,count_state,2-0,9392,0.5077417930399695,0.005450606389571601
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,count_state,2-1,13446,0.5100348676311142,0.005457093701804324
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,count_state,2-2,20640,0.5049843586846554,0.005357836953654781
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,count_state,3-0,3214,0.48926072618777594,0.00548980112454798
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,count_state,3-1,6020,0.5234396945458812,0.005471442719511911
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,count_state,3-2,11771,0.5043039397173591,0.005467618628096262
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,pitcher_bucket,lt50,4060,0.47590846264907505,0.002417278222534379
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,pitcher_bucket,50_300,16578,0.4965619184602848,0.003704820303377438
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,pitcher_bucket,300_1000,38096,0.502458749082682,0.004620314504896725
D_QUERYRMSE_PITCHER_GAME_COUNT,2024,pitcher_bucket,1000_plus,194773,0.5081389326285334,0.005583855079429721
