candidate_name,objective,group_definition,calibration_mode,valid_year,metric_actual_rate,metric_constant_brier,metric_brier,metric_skill_margin,metric_pseudo_score,metric_auc,metric_ap,metric_logloss,metric_pred_mean,metric_pred_std
B_QUERYRMSE_PITCHER_GAME,QueryRMSE,pitcher_id_game_type,platt,2024,0.4861049201797189,0.24980692675678798,0.25004892384369026,-0.00024199708690228472,0.0,0.5084537870626429,0.4901710066193514,0.6932455660805492,0.501215564672345,0.015609363849121363
B_QUERYRMSE_PITCHER_GAME,QueryRMSE,pitcher_id_game_type,v2_strength,2024,0.4861049201797189,0.24980692675678798,0.24975670071694706,5.0226039840922665e-05,20.10594361533567,0.5084530795461075,0.49011899390645647,0.6926603713058266,0.48774741511061454,0.0067043395381097114
C_QUERYRMSE_PITCHER_COUNT,QueryRMSE,pitcher_id_count_state,platt,2022,0.5289204435249241,0.24916360794632167,0.24780272842678278,0.0013608795195388934,546.1790872092657,0.539919679680444,0.5709393230973319,0.6887158286361121,0.5353167358311016,0.03198497479022139
C_QUERYRMSE_PITCHER_COUNT,QueryRMSE,pitcher_id_count_state,v2_strength,2022,0.5289204435249241,0.24916360794632167,0.24878275558072238,0.0003808523655992879,152.85232411682549,0.5397044297118259,0.5683862849881901,0.6907105988611172,0.5113763973119622,0.011509675482887312
C_QUERYRMSE_PITCHER_COUNT,QueryRMSE,pitcher_id_count_state,platt,2023,0.49995723449750534,0.24999999817111176,0.2545429255905204,-0.004542927419408621,0.0,0.5056998649102908,0.5000829612600334,0.7028891935267144,0.5292645052757969,0.06071669108793366
C_QUERYRMSE_PITCHER_COUNT,QueryRMSE,pitcher_id_count_state,v2_strength,2023,0.49995723449750534,0.24999999817111176,0.2507005043210425,-0.0007005061499307519,0.0,0.5053571800619546,0.4994053791672306,0.6945530247284936,0.5246988355779814,0.013189669440744909
C_QUERYRMSE_PITCHER_COUNT,QueryRMSE,pitcher_id_count_state,platt,2024,0.4861049201797189,0.24980692675678798,0.25002047438327296,-0.00021354762648498338,0.0,0.5013747165253106,0.4834252564101906,0.6931881320839474,0.5000208504439032,0.002151313522221427
C_QUERYRMSE_PITCHER_COUNT,QueryRMSE,pitcher_id_count_state,v2_strength,2024,0.4861049201797189,0.24980692675678798,0.2498171161709346,-1.018941414662744e-05,0.0,0.5013747165253106,0.4834252564101906,0.6927813726213647,0.4877420557045226,0.0009348695425198055
D_QUERYRMSE_PITCHER_GAME_COUNT,QueryRMSE,pitcher_id_game_type_count_state,platt,2022,0.5289204435249241,0.24916360794632167,0.2491443610570023,1.9246889319368687e-05,7.7245989002997275,0.506448265030313,0.5334587481487545,0.691434861726625,0.5325066993427312,0.004574138061816631
D_QUERYRMSE_PITCHER_GAME_COUNT,QueryRMSE,pitcher_id_game_type_count_state,v2_strength,2022,0.5289204435249241,0.24916360794632167,0.249448877100482,-0.00028526915416032805,0.0,0.506448265030313,0.5334587481487545,0.6920447387879044,0.5114727049981268,0.0019965713832135455
