group_name,space,lambda,mean_brier,std_brier,max_brier,mean_delta_vs_current,max_delta_vs_current,min_delta_vs_current,folds_improved
balls,prob,3000,0.2498549769394617,0.0008307209672839883,0.250744085627445,0.00013051378119366408,0.0005382752981846761,-0.00012382178532999166,2
game_type,prob,1000,0.2498581237190417,0.005198416408601928,0.2551545936808537,0.0001336605607736574,0.004948783351593378,-0.004357897712638309,2
balls,logit,1000,0.24986461255448614,0.0008315397663243347,0.2507578215006502,0.0001401493962180922,0.0005520111713898657,-0.0001229147454665791,2
balls,prob,1000,0.24986540911563404,0.0008324061411996837,0.2507597831041707,0.00014094595736602322,0.0005539727749103718,-0.00012289800426890096,2
balls,logit,500,0.24986742669292075,0.0008318834787490732,0.2507618332566406,0.00014296353465272546,0.000556022927380273,-0.00012239849091150168,2
balls,prob,500,0.24986824548919598,0.0008327511347078653,0.2507638207630623,0.0001437823309279699,0.000558010433801992,-0.00012236952978308957,2
balls,logit,300,0.24986858095552925,0.0008320106960534269,0.2507634504266105,0.0001441177972612099,0.0005576400973502094,-0.00012215130530998652,2
game_type,logit,1000,0.24986937872316872,0.005214079328447055,0.2551867997919288,0.00014491556490069576,0.004980989462668506,-0.004356364031388116,2
balls,prob,300,0.24986940901162694,0.0008328787707438751,0.2507654484733136,0.00014494585335890023,0.0005596381440532983,-0.0001221168514196902,2
balls,logit,100,0.2498697523098711,0.0008321316437339442,0.2507650746959615,0.00014528915160309333,0.0005592643667011732,-0.00012187907989719138,2
balls,logit,50,0.24987004788050424,0.0008321608677823812,0.2507654818701871,0.00014558472223619168,0.0005596715409267872,-0.0001218069618759976,2
balls,prob,100,0.24987058984931076,0.0008330000782477667,0.2507670833876018,0.0001461266910427287,0.0005612730583414716,-0.00012183875160579061,2
balls,prob,50,0.249870887826927,0.0008330293825932444,0.250767493239598,0.00014642466865896764,0.0005616829103377019,-0.00012176510228559256,2
inning_bucket,logit,3000,0.24989359165167166,0.0008808511057436222,0.2508369721809559,0.0001691284934036049,0.0006311618516955941,-9.485347250148823e-05,2
inning_bucket,prob,3000,0.24989437526964667,0.0008817252567299167,0.2508389434757201,0.00016991211137863207,0.0006331331464597967,-9.487778698599736e-05,2
