group_name,space,lambda,mean_improvement,min_improvement,folds_improved,mean_brier,std_brier
game_type,logit,100,-0.00021590407143351475,-0.005195381342156691,2,0.2499403672297016,0.005324778404678145
game_type,prob,50,-0.00021774916765141908,-0.005201204440248575,2,0.24994221232591948,0.005327934373942632
game_type,logit,50,-0.00022007868910128847,-0.005207730686294376,2,0.24994454184736936,0.005331054801221004
month,logit,3000,-0.00030575196570562885,-0.0007916072641992455,0,0.25003021512397366,0.0008910248071746727
month,prob,3000,-0.000306517694836241,-0.0007933599393258883,0,0.2500309808531043,0.0008917814480436956
month,logit,1000,-0.00035624139355522333,-0.0008422596753755451,0,0.2500807045518233,0.0008770538445931575
month,prob,1000,-0.0003574104290129572,-0.0008443195085046096,0,0.250081873587281,0.0008776255834569753
month,logit,500,-0.00037113815209678197,-0.0008559729678983552,0,0.25009560131036485,0.000872094966867691
month,prob,500,-0.0003724471057564664,-0.0008581192663700277,0,0.25009691026402453,0.0008725890483532923
month,logit,300,-0.0003774079922963062,-0.0008615903715410989,0,0.25010187115056437,0.0008699115108950472
month,prob,300,-0.0003787789741360274,-0.0008637724482456477,0,0.2501032421324041,0.000870369689560025
month,logit,100,-0.00038386918111654733,-0.0008672866595619833,0,0.2501083323393846,0.0008676059297931029
month,prob,100,-0.00038530610008269406,-0.0008695052174215734,0,0.25010976925835077,0.0008680251144988537
month,logit,50,-0.0003855155272964779,-0.0008687233457118082,0,0.25010997868556456,0.0008670098076868281
month,prob,50,-0.00038696958051033053,-0.0008709511354077493,0,0.2501114327387784,0.0008674187332291383
