method,group_name,space,lambda,mean_brier,std_brier,max_brier,mean_logloss,mean_pred,mean_pred_std,mean_actual,mean_bias,folds
current_best_plus_balls,balls,prob,500.0,0.24986824548919606,0.0008327511347078683,0.25076382076306236,0.6928853395884967,0.5188633431118749,0.010585115973742112,0.5049941994007161,0.013869143711158752,3
current_best_plus_balls,balls,logit,300.0,0.24986858095552925,0.0008320106960534239,0.2507634504266105,0.6928860045465082,0.5188550857011166,0.010589700909743746,0.5049941994007161,0.013860886300400463,3
current_best_plus_game_type,game_type,logit,1000.0,0.24986937872316875,0.005214079328447027,0.2551867997919288,0.6930857033037151,0.5182866156355642,0.04358014509647618,0.5049941994007161,0.013292416234848115,3
current_best_plus_balls,balls,prob,300.0,0.249869409011627,0.0008328787707438433,0.2507654484733136,0.6928876805237122,0.5188773672889462,0.010617506452125986,0.5049941994007161,0.013883167888230075,3
current_best_plus_balls,balls,logit,100.0,0.24986975230987116,0.0008321316437339748,0.25076507469596154,0.6928883612368116,0.5188689498175373,0.010622475886889533,0.5049941994007161,0.01387475041682116,3
current_best_plus_balls,balls,logit,50.0,0.24987004788050426,0.0008321608677823786,0.25076548187018716,0.6928889559187752,0.5188724040735856,0.010630769915694485,0.5049941994007161,0.013878204672869413,3
current_best_plus_balls,balls,prob,100.0,0.2498705898493108,0.0008330000782477257,0.2507670833876018,0.6928900563748837,0.5188913188333074,0.010650531956264147,0.5049941994007161,0.01389711943259129,3
current_best_plus_balls,balls,prob,50.0,0.249870887826927,0.0008330293825932555,0.25076749323959807,0.6928906559201898,0.5188947948078465,0.010658889791421025,0.5049941994007161,0.013900595407130364,3
current_best_plus_inning_bucket,inning_bucket,logit,3000.0,0.24989359165167166,0.0008808511057436634,0.25083697218095596,0.6929361194652243,0.5184366848639226,0.009449697420326779,0.5049941994007161,0.013442485463206458,3
current_best_plus_inning_bucket,inning_bucket,prob,3000.0,0.24989437526964672,0.0008817252567298988,0.25083894347572017,0.692937705996119,0.5184579129914563,0.009471875117479085,0.5049941994007161,0.01346371359074013,3
current_best_plus_game_type,game_type,prob,500.0,0.2499010003617035,0.005265820035354962,0.25528480068613685,0.693164139556124,0.518482087269787,0.04433280801039721,0.5049941994007161,0.013487887869070866,3
current_best_plus_strikes,strikes,logit,3000.0,0.24990632099409707,0.000840390436381373,0.2507958243101796,0.6929613940747936,0.5184603015511352,0.007844708124426938,0.5049941994007161,0.013466102150419082,3
current_best_plus_inning_bucket,inning_bucket,logit,1000.0,0.24990655364401984,0.0008884777596342259,0.25086225666566064,0.6929621724923205,0.518600390621368,0.009672231682372556,0.5049941994007161,0.01360619122065195,3
current_best_plus_strikes,strikes,prob,3000.0,0.2499070358908757,0.0008412351018592764,0.2507976703081545,0.6929628401500038,0.5184814229762489,0.007866267133874947,0.5049941994007161,0.01348722357553278,3
current_best_plus_inning_bucket,inning_bucket,prob,1000.0,0.24990740746394083,0.0008893635083447969,0.2508643283170485,0.6929639010545957,0.5186229039127506,0.009695165007562805,0.5049941994007161,0.013628704512034498,3
current_best_plus_game_type,game_type,logit,500.0,0.24990786455493552,0.005275050177334697,0.25530408745974026,0.6931779123143498,0.518461706913016,0.04424628227150626,0.5049941994007161,0.013467507512299878,3
current_best_plus_inning_bucket,inning_bucket,logit,500.0,0.24991039319429245,0.0008911683747558103,0.25087015295566206,0.6929698874026341,0.5186364048667477,0.00975412061210705,0.5049941994007161,0.01364220546603164,3
current_best_plus_inning_bucket,inning_bucket,prob,500.0,0.2499112663450237,0.0008920578351653719,0.250872252490655,0.6929716550726187,0.5186592483006246,0.009777245361331876,0.5049941994007161,0.013665048899908458,3
current_best_plus_inning_bucket,inning_bucket,logit,300.0,0.24991204450586765,0.0008924138942176517,0.25087363494304793,0.6929732050621836,0.5186497871432615,0.009792084098570136,0.5049941994007161,0.013655587742545402,3
current_best_plus_inning_bucket,inning_bucket,prob,300.0,0.24991292574269727,0.0008933051782063959,0.25087574638134924,0.6929749890891181,0.5186727619256054,0.00981528982160207,0.5049941994007161,0.013678562524889323,3
current_best_plus_inning_bucket,inning_bucket,logit,100.0,0.2499137795037186,0.0008937869615815466,0.2508773566095307,0.6929766906595374,0.518662423937999,0.009833828213304021,0.5049941994007161,0.013668224537282836,3
current_best_plus_inning_bucket,inning_bucket,logit,50.0,0.2499142281165921,0.0008941533396069135,0.2508783300859534,0.6929775918925718,0.5186654507433884,0.00984493582202838,0.5049941994007161,0.013671251342672294,3
current_best_plus_inning_bucket,inning_bucket,prob,100.0,0.24991466911241353,0.0008946803990788109,0.2508794806227976,0.6929784916196944,0.5186855288207016,0.009857120090547468,0.5049941994007161,0.013691329419985465,3
current_best_plus_inning_bucket,inning_bucket,prob,50.0,0.24991511987301307,0.0008950473834776298,0.2508804573774484,0.6929793971964412,0.5186885878600158,0.009868250378720819,0.5049941994007161,0.013694388459299692,3
current_best_plus_strikes,strikes,logit,1000.0,0.24991723804428814,0.0008439034527168157,0.250814001813661,0.6929833365689687,0.5186655500440309,0.007881123431523822,0.5049941994007161,0.013671350643314798,3
current_best_plus_strikes,strikes,prob,1000.0,0.24991801420991003,0.0008447578379804704,0.2508159364922424,0.6929849064509485,0.5186878598558647,0.007903430668893782,0.5049941994007161,0.013693660455148618,3
current_best_plus_game_type,game_type,prob,300.0,0.24991899837283235,0.005293254423619756,0.2553385129965914,0.6932074460292791,0.5185646086502554,0.04463588568025562,0.5049941994007161,0.013570409249539376,3
current_best_plus_strikes,strikes,logit,500.0,0.24992010130946285,0.0008447905948816653,0.2508187169865322,0.6929890920242997,0.5187184148420304,0.007890615912863328,0.5049941994007161,0.013724215441314266,3
current_best_plus_strikes,strikes,prob,500.0,0.2499208938975103,0.0008456472753016037,0.25082067501297445,0.6929906950940862,0.518741037123151,0.007913118445832453,0.5049941994007161,0.013746837722434882,3
current_best_plus_strikes,strikes,logit,300.0,0.24992126232409992,0.0008451464435549375,0.25082062295065966,0.6929914258407014,0.5187397404932462,0.007894458648715755,0.5049941994007161,0.013745541092530103,3
current_best_plus_batter_side,batter_side,logit,3000.0,0.249921895890265,0.000858078822448309,0.2508393574681175,0.6929926902575533,0.518576343618396,0.007184118639656764,0.5049941994007161,0.013582144217679856,3
current_best_plus_strikes,strikes,prob,300.0,0.24992206161283517,0.0008460040254558291,0.25082259045517763,0.6929930424521386,0.5187624895696871,0.007917040268830194,0.5049941994007161,0.013768290168970928,3
current_best_plus_strikes,strikes,logit,100.0,0.24992243245477344,0.0008455028582286693,0.25082254043542535,0.6929937780157899,0.5187611700003588,0.007898327969369656,0.5049941994007161,0.013766970599642733,3
current_best_plus_batter_side,batter_side,prob,3000.0,0.24992264887409732,0.0008589541831439952,0.25084128191491467,0.6929942136167044,0.5185981991415547,0.007205441918161037,0.5049941994007161,0.01360399974083859,3
current_best_plus_strikes,strikes,logit,50.0,0.24992272642290705,0.0008455920502752336,0.2508230216187639,0.6929943689504782,0.5187665436957001,0.00789929948888428,0.5049941994007161,0.013772344294983974,3
current_best_plus_strikes,strikes,prob,100.0,0.24992323852106843,0.0008463613318372393,0.2508245174988201,0.6929954083244336,0.5187840469222239,0.007920989239583608,0.5049941994007161,0.013789847521507729,3
current_best_plus_strikes,strikes,prob,50.0,0.2499235341957311,0.0008464507452599762,0.25082500108461536,0.6929960027079881,0.5187894527443648,0.007921980760324259,0.5049941994007161,0.013795253343648709,3
current_best_plus_game_type,game_type,logit,300.0,0.24992391940461975,0.005299807391260358,0.255352267086167,0.6932165035594059,0.5185332066977386,0.044518605058502435,0.5049941994007161,0.01353900729702249,3
current_best_plus_batter_side,batter_side,logit,1000.0,0.24992949064952877,0.0008608025462616132,0.25085234843776844,0.6930079561907898,0.5187183336890416,0.007193355738022003,0.5049941994007161,0.013724134288325565,3
current_best_plus_batter_side,batter_side,prob,1000.0,0.24993028618936117,0.0008616856999339422,0.25085433507832594,0.6930095655503256,0.5187410127074507,0.00721515170969268,0.5049941994007161,0.013746813306734532,3
current_best_plus_batter_side,batter_side,logit,500.0,0.24993144978338586,0.0008614901112788537,0.2508556758927714,0.6930118943963648,0.5187545448901587,0.007195714015085955,0.5049941994007161,0.013760345489442605,3
current_best_plus_batter_side,batter_side,logit,300.0,0.2499322404081733,0.0008617658916710631,0.25085701603209304,0.6930134837181869,0.5187691110426687,0.007196662920099875,0.5049941994007161,0.013774911641952584,3
current_best_plus_batter_side,batter_side,prob,500.0,0.24993225646209602,0.0008623751651772323,0.25085767861677694,0.6930135262673942,0.5187774368377923,0.0072176312273160145,0.5049941994007161,0.013783237437076212,3
current_best_plus_batter_side,batter_side,logit,100.0,0.24993303505605322,0.0008620421054066602,0.2508583614490667,0.6930150811424078,0.5187837242040275,0.007197615042334091,0.5049941994007161,0.01378952480331147,3
current_best_plus_batter_side,batter_side,prob,300.0,0.2499330516007222,0.0008626516999319201,0.2508590252514234,0.693015124711756,0.5187920889778124,0.007218628981228748,0.5049941994007161,0.013797889577096286,3
current_best_plus_batter_side,batter_side,logit,50.0,0.24993323434974923,0.0008621112267302685,0.25085869863148197,0.693015481770756,0.5187873848661954,0.007197853577197664,0.5049941994007161,0.013793185465479271,3
current_best_plus_batter_side,batter_side,prob,100.0,0.24993385079620364,0.0008629286646885253,0.25086037719951826,0.6930167313268356,0.518806788597901,0.0072196301556793395,0.5049941994007161,0.01381258919718481,3
current_best_plus_batter_side,batter_side,prob,50.0,0.24993405123211151,0.0008629979732397837,0.25086071602033844,0.6930171342636463,0.518810470948777,0.0072198809855064,0.5049941994007161,0.013816271548060846,3
current_best_plus_game_type,game_type,prob,100.0,0.24993750446324128,0.0053209637264179585,0.255393191388703,0.6932520736869492,0.518648352162649,0.044943428742349655,0.5049941994007161,0.013654152761932917,3
current_best_plus_game_type,game_type,logit,100.0,0.2499403672297016,0.005324778404678132,0.255401191671417,0.693256115823119,0.5186055622499274,0.04479437045776737,0.5049941994007161,0.013611362849211309,3
current_best_plus_game_type,game_type,prob,50.0,0.24994221232591948,0.0053279343739426254,0.2554070147695089,0.6932634427267437,0.5186694821185222,0.04502102374398751,0.5049941994007161,0.013675282717806029,3
current_best_plus_game_type,game_type,logit,50.0,0.24994454184736936,0.005331054801220997,0.2554135410155547,0.6932661821109144,0.5186237864140225,0.04486385689342184,0.5049941994007161,0.013629587013306447,3
current_best_plus_month,month,logit,3000.0,0.25003021512397366,0.0008910248071746694,0.25099741759345956,0.6932111293432155,0.5197512869948128,0.012129079814396357,0.5049941994007161,0.014757087594096626,3
current_best_plus_month,month,prob,3000.0,0.2500309808531043,0.0008917814480436855,0.2509991702685862,0.6932126888080612,0.5197731846579797,0.012152911760526687,0.5049941994007161,0.014778985257263547,3
current_best_plus_month,month,logit,1000.0,0.25008070455182324,0.0008770538445931475,0.25104807000463586,0.6933130979542677,0.5203743569456317,0.0127053050833824,0.5049941994007161,0.015380157544915599,3
current_best_plus_month,month,prob,1000.0,0.250081873587281,0.0008776255834569811,0.2510501298377649,0.6933154766429382,0.5204018227074095,0.012733185397084498,0.5049941994007161,0.01540762330669343,3
current_best_plus_month,month,logit,500.0,0.25009560131036485,0.0008720949668676919,0.25106178329715867,0.6933432180121467,0.5205458541719297,0.012876788507210671,0.5049941994007161,0.015551654771213544,3
current_best_plus_month,month,prob,500.0,0.25009691026402453,0.0008725890483532933,0.25106392959563034,0.6933458814419072,0.520575048789529,0.012906103878509744,0.5049941994007161,0.015580849388812879,3
current_best_plus_month,month,logit,300.0,0.2501018711505643,0.0008699115108950424,0.2510674007008014,0.6933559002449026,0.5206164573204366,0.012949214162300195,0.5049941994007161,0.015622257919720514,3
current_best_plus_month,month,prob,300.0,0.2501032421324041,0.0008703696895600319,0.25106958277750596,0.6933586899953504,0.5206463918128482,0.012979171159654199,0.5049941994007161,0.015652192412132098,3
current_best_plus_month,month,logit,100.0,0.2501083323393846,0.0008676059297931048,0.2510730969888223,0.6933689727965865,0.5206882595705645,0.013024012517839837,0.5049941994007161,0.015694060169848367,3
