train_start,train_end,cal_year,valid_year,method,group_name,lambda,space,prior_rate,brier,logloss,pred_mean,pred_std,actual_rate,bias,current_brier,delta_vs_current
2019,2020,2021,2022,current_best_plus_game_type,game_type,3000,logit,0.5114727049981269,0.2447943113628046,0.6824097510114593,0.5428398849197514,0.0562069838564264,0.5289204435249241,0.0139194413948273,0.2491215469663941,-0.0043272356035894965
2019,2020,2021,2022,current_best_plus_month,month,50,prob,0.5114727049981269,0.2493974231857257,0.6919463796371781,0.5486123227736645,0.0132646338309302,0.5289204435249241,0.0196918792487403,0.2491215469663941,0.0002758762193315889
2019,2020,2021,2022,current_best_plus_month,month,100,prob,0.5114727049981269,0.2493940629194313,0.6919395669104106,0.548556065520335,0.0132300684577661,0.5289204435249241,0.0196356219954109,0.2491215469663941,0.00027251595303720566
2019,2020,2021,2022,current_best_plus_month,month,300,prob,0.5114727049981269,0.2493809427344087,0.6919129721804745,0.5483337735612633,0.0130953816049803,0.5289204435249241,0.0194133300363392,0.2491215469663941,0.00025939576801459197
2019,2020,2021,2022,current_best_plus_month,month,500,prob,0.5114727049981269,0.2493683151916149,0.6918873844340979,0.5481157408311194,0.0129661713736599,0.5289204435249241,0.0191952973061952,0.2491215469663941,0.0002467682252207948
2019,2020,2021,2022,current_best_plus_month,month,1000,prob,0.5114727049981269,0.2493387347676897,0.6918274762100275,0.5475883091859235,0.0126651443697927,0.5289204435249241,0.0186678656609994,0.2491215469663941,0.000217187801295593
2019,2020,2021,2022,current_best_plus_month,month,3000,prob,0.5114727049981269,0.2492431904211812,0.6916342710337811,0.5456956879178819,0.0117084504465141,0.5289204435249241,0.0167752443929578,0.2491215469663941,0.00012164345478710148
2019,2020,2021,2022,current_best_plus_month,month,50,logit,0.5114727049981269,0.249395470140112,0.691942418472022,0.548540524926077,0.0132223061882274,0.5289204435249241,0.0196200814011529,0.2491215469663941,0.0002739231737179104
2019,2020,2021,2022,current_best_plus_month,month,100,logit,0.5114727049981269,0.2493921511100304,0.6919356897796809,0.5484847892381796,0.0131881595488308,0.5289204435249241,0.0195643457132554,0.2491215469663941,0.0002706041436363049
2019,2020,2021,2022,current_best_plus_month,month,300,logit,0.5114727049981269,0.2493791885718088,0.6919094161988297,0.5482645272594274,0.0130550631476621,0.5289204435249241,0.0193440837345033,0.2491215469663941,0.0002576416054146935
2019,2020,2021,2022,current_best_plus_month,month,500,logit,0.5114727049981269,0.2493667077386,0.691884127151937,0.5480484387383512,0.0129273171485798,0.5289204435249241,0.0191279952134271,0.2491215469663941,0.0002451607722059046
2019,2020,2021,2022,current_best_plus_month,month,1000,logit,0.5114727049981269,0.249337451975773,0.691824879331122,0.5475255262960361,0.0126294684019159,0.5289204435249241,0.018605082771112,0.2491215469663941,0.00021590500937890278
2019,2020,2021,2022,current_best_plus_month,month,3000,logit,0.5114727049981269,0.2492427804739091,0.6916334450197642,0.5456472099647157,0.0116807612845946,0.5289204435249241,0.0167267664397916,0.2491215469663941,0.00012123350751500062
2019,2020,2021,2022,current_best_plus_balls,balls,50,prob,0.5114727049981269,0.2491209031643189,0.6913877003619986,0.5420244469908939,0.0083865333533863,0.5289204435249241,0.0131040034659698,0.2491215469663941,-6.438020752064233e-07
2019,2020,2021,2022,current_best_plus_balls,balls,100,prob,0.5114727049981269,0.2491204927327866,0.691386874963845,0.5420084291670699,0.008387082700149,0.5289204435249241,0.0130879856421458,0.2491215469663941,-1.0542336074947922e-06
2019,2020,2021,2022,current_best_plus_balls,balls,300,prob,0.5114727049981269,0.2491188632338372,0.691383598005024,0.5419446176758367,0.008389185737191,0.5289204435249241,0.0130241741509126,0.2491215469663941,-2.683732556907348e-06
