level,history_count_threshold,valid_year,matched_group_count,pearson,spearman,sign_agreement,median_history_count,median_validation_count
pitcher_game_count,0,2022,3274,0.42947209791510516,0.3590868106708957,0.6172877214416616,32.0,18.0
pitcher_game_count,0,2023,3851,0.1960425746636835,0.15808303120083572,0.5497273435471306,35.0,15.0
pitcher_game_count,0,2024,4073,0.1367062844835816,0.12819825182015723,0.5416155168180702,39.0,15.0
pitcher_game_count,50,2022,1362,0.4818929890872184,0.4316287853227069,0.6732745961820852,136.0,58.0
pitcher_game_count,50,2023,1683,0.23312485397401986,0.23794955674950471,0.5822935234699941,159.0,54.0
pitcher_game_count,50,2024,1873,0.15702389368344136,0.15687567446990047,0.5670048051254671,173.0,45.0
pitcher_game_count,100,2022,855,0.4815986779255196,0.4276220442539322,0.6748538011695906,199.0,83.0
pitcher_game_count,100,2023,1178,0.2668888540690408,0.28997691421647975,0.601018675721562,224.0,73.0
pitcher_game_count,100,2024,1376,0.19699471372262004,0.2142083163533038,0.5813953488372093,246.0,57.0
pitcher_game_count,300,2022,229,0.5594090899145723,0.5236375064390526,0.6986899563318777,442.0,197.0
pitcher_game_count,300,2023,414,0.3297772079047944,0.36900083348510854,0.6400966183574879,469.0,138.5
pitcher_game_count,300,2024,537,0.2554666422945099,0.286974556290489,0.595903165735568,502.0,103.0
