candidate_name,calibration_mode,valid_year,pitcher_sample_bucket,n,actual_rate,brier,auc,prediction_std
B_PITCHER_COUNT,native,2022,50_300,14321,0.5537322812652747,0.249032264867869,0.5200637107312991,0.06625288921595249
B_PITCHER_COUNT,native,2022,300_1000,34032,0.5417842031029619,0.24479011783235952,0.562988650141388,0.06924872849033707
B_PITCHER_COUNT,native,2022,1000_plus,155858,0.5183115399915308,0.2486662927070647,0.540374791435782,0.043288743253298415
B_PITCHER_COUNT,platt,2022,lt50,43261,0.5488083955525762,0.24802612244671549,0.5088873940033563,0.004904222722530435
B_PITCHER_COUNT,platt,2022,50_300,14321,0.5537322812652747,0.2467281107026559,0.5200637107312991,0.028965956165752114
B_PITCHER_COUNT,platt,2022,300_1000,34032,0.5417842031029619,0.24555833529057147,0.562988650141388,0.030614496098523913
B_PITCHER_COUNT,platt,2022,1000_plus,155858,0.5183115399915308,0.24889607130239286,0.540374791435782,0.01868630242793598
B_PITCHER_COUNT,v2_strength,2022,lt50,43261,0.5488083955525762,0.24922113143149352,0.5088873940033563,0.002142479590232427
B_PITCHER_COUNT,v2_strength,2022,50_300,14321,0.5537322812652747,0.24796427009752792,0.5211174269143852,0.011411158007349938
B_PITCHER_COUNT,v2_strength,2022,300_1000,34032,0.5417842031029619,0.2479585681747193,0.5628002629306793,0.010988704407595043
B_PITCHER_COUNT,v2_strength,2022,1000_plus,155858,0.5183115399915308,0.24921028553761995,0.5403719562975843,0.00806711227022734
C_PITCHER_GAME,native,2022,lt50,43261,0.5488083955525762,0.24839000166301498,0.5089115578237179,0.013636430291507271
C_PITCHER_GAME,native,2022,50_300,14321,0.5537322812652747,0.24671258009378486,0.5460137531834154,0.07034197559259454
C_PITCHER_GAME,native,2022,300_1000,34032,0.5417842031029619,0.24286052877004344,0.5822316374265566,0.07786067043743662
C_PITCHER_GAME,native,2022,1000_plus,155858,0.5183115399915308,0.2473573260685195,0.5522829378388098,0.048404946104959636
C_PITCHER_GAME,platt,2022,lt50,43261,0.5488083955525762,0.2480492884343487,0.5089115578237179,0.009181582581277542
C_PITCHER_GAME,platt,2022,50_300,14321,0.5537322812652747,0.24557944441277937,0.5460137531834154,0.047768317719504926
C_PITCHER_GAME,platt,2022,300_1000,34032,0.5417842031029619,0.2432665827127422,0.5822316374265566,0.05339828596049789
C_PITCHER_GAME,platt,2022,1000_plus,155858,0.5183115399915308,0.24768436731678883,0.5522829378388098,0.03271039178289713
C_PITCHER_GAME,v2_strength,2022,lt50,43261,0.5488083955525762,0.24925970437310097,0.5089124339186515,0.003788332740725364
C_PITCHER_GAME,v2_strength,2022,50_300,14321,0.5537322812652747,0.24709757323705883,0.5516314911633892,0.014836970743266327
C_PITCHER_GAME,v2_strength,2022,300_1000,34032,0.5417842031029619,0.24746905713536627,0.5796981754158423,0.013779778335402022
C_PITCHER_GAME,v2_strength,2022,1000_plus,155858,0.5183115399915308,0.2487727931763836,0.5520561220837269,0.011915239161627041
D_PITCHER_BATTER_HAND,native,2022,lt50,43261,0.5488083955525762,0.2484614867605262,0.5094207912406943,0.01264586660392299
D_PITCHER_BATTER_HAND,native,2022,50_300,14321,0.5537322812652747,0.25016417480074354,0.518693828391636,0.07295142021974757
D_PITCHER_BATTER_HAND,native,2022,300_1000,34032,0.5417842031029619,0.24488660658582095,0.5631333833273908,0.07416742242466322
D_PITCHER_BATTER_HAND,native,2022,1000_plus,155858,0.5183115399915308,0.24841491218248402,0.542136596305419,0.045244092676817435
D_PITCHER_BATTER_HAND,platt,2022,lt50,43261,0.5488083955525762,0.24803181935972413,0.5094207912406943,0.0058237908132640695
D_PITCHER_BATTER_HAND,platt,2022,50_300,14321,0.5537322812652747,0.2469615834660747,0.518693828391636,0.03421808263584756
D_PITCHER_BATTER_HAND,platt,2022,300_1000,34032,0.5417842031029619,0.24529849020090047,0.5631333833273908,0.03513659836781662
D_PITCHER_BATTER_HAND,platt,2022,1000_plus,155858,0.5183115399915308,0.24868744572567356,0.542136596305419,0.02089095759528288
D_PITCHER_BATTER_HAND,v2_strength,2022,lt50,43261,0.5488083955525762,0.2492193699864889,0.5094209034498974,0.002512735375316968
D_PITCHER_BATTER_HAND,v2_strength,2022,50_300,14321,0.5537322812652747,0.24789019029262377,0.5166325576457909,0.01245859159123595
D_PITCHER_BATTER_HAND,v2_strength,2022,300_1000,34032,0.5417842031029619,0.24791565161984894,0.5622590611898967,0.011746804356874588
D_PITCHER_BATTER_HAND,v2_strength,2022,1000_plus,155858,0.5183115399915308,0.24912864040945493,0.5421422343465347,0.008820924386070161
E_MULTI_CONTEXT,native,2022,lt50,43261,0.5488083955525762,0.2485392365799579,0.5088382172410657,0.010096002679111449
E_MULTI_CONTEXT,native,2022,50_300,14321,0.5537322812652747,0.24584590627258945,0.5398916706441889,0.034840368992495895
E_MULTI_CONTEXT,native,2022,300_1000,34032,0.5417842031029619,0.24588994342722187,0.5669244422652734,0.033392625280257306
E_MULTI_CONTEXT,native,2022,1000_plus,155858,0.5183115399915308,0.2481659771255066,0.547098917035166,0.0332288350079108
E_MULTI_CONTEXT,platt,2022,lt50,43261,0.5488083955525762,0.24786766794904347,0.5088382172410657,0.007611449801575403
E_MULTI_CONTEXT,platt,2022,50_300,14321,0.5537322812652747,0.24583574629105787,0.5398916706441889,0.026299242356119572
E_MULTI_CONTEXT,platt,2022,300_1000,34032,0.5417842031029619,0.24603844376174855,0.5669244422652734,0.025205164395176973
E_MULTI_CONTEXT,platt,2022,1000_plus,155858,0.5183115399915308,0.2485768755653791,0.547098917035166,0.025078811161046564
E_MULTI_CONTEXT,v2_strength,2022,lt50,43261,0.5488083955525762,0.24913137333724228,0.5088382172410657,0.003328573474841834
E_MULTI_CONTEXT,v2_strength,2022,50_300,14321,0.5537322812652747,0.24772453530093058,0.5398916706441889,0.011448526877631615
E_MULTI_CONTEXT,v2_strength,2022,300_1000,34032,0.5417842031029619,0.24804941823790772,0.5669244422652734,0.01093712857861359
E_MULTI_CONTEXT,v2_strength,2022,1000_plus,155858,0.5183115399915308,0.24895545217981743,0.5470964506652709,0.01090861680886916
F_PITCHER_COUNT_PLUS_CATBOOST,native,2022,lt50,43261,0.5488083955525762,0.2477535034100379,0.5140846621201137,0.013276959229328415
F_PITCHER_COUNT_PLUS_CATBOOST,native,2022,50_300,14321,0.5537322812652747,0.24971806044760164,0.5260552601654714,0.06899892047318926
F_PITCHER_COUNT_PLUS_CATBOOST,native,2022,300_1000,34032,0.5417842031029619,0.24475129205430143,0.5659166121630439,0.07429054173598129
F_PITCHER_COUNT_PLUS_CATBOOST,native,2022,1000_plus,155858,0.5183115399915308,0.24907134527342142,0.5431201670757023,0.053760773950479845
F_PITCHER_COUNT_PLUS_CATBOOST,platt,2022,lt50,43261,0.5488083955525762,0.2477662055667813,0.5140846621201137,0.0057181416317058165
F_PITCHER_COUNT_PLUS_CATBOOST,platt,2022,50_300,14321,0.5537322812652747,0.2466262463458252,0.5260552601654714,0.0304534446988297
F_PITCHER_COUNT_PLUS_CATBOOST,platt,2022,300_1000,34032,0.5417842031029619,0.24524249664749845,0.5659166121630439,0.03302381882596066
F_PITCHER_COUNT_PLUS_CATBOOST,platt,2022,1000_plus,155858,0.5183115399915308,0.24879039426295244,0.5431201670757023,0.023328458067772808
F_PITCHER_COUNT_PLUS_CATBOOST,v2_strength,2022,lt50,43261,0.5488083955525762,0.24919602088006637,0.5140846621201137,0.0025001105065685122
F_PITCHER_COUNT_PLUS_CATBOOST,v2_strength,2022,50_300,14321,0.5537322812652747,0.24786439448880687,0.5253136356039773,0.011525177590594892
F_PITCHER_COUNT_PLUS_CATBOOST,v2_strength,2022,300_1000,34032,0.5417842031029619,0.24789580604567446,0.5655273291410723,0.011427401286261046
F_PITCHER_COUNT_PLUS_CATBOOST,v2_strength,2022,1000_plus,155858,0.5183115399915308,0.24907214154409027,0.5430859590957631,0.009797125659359023
V2_BASELINE,platt,2023,lt50,3191,0.47069884048887495,0.25643919506971574,0.49777896296156143,0.029417693544970456
V2_BASELINE,platt,2023,50_300,13817,0.4671057393066512,0.2564293152210522,0.506389370280409,0.04383215119233097
V2_BASELINE,platt,2023,300_1000,28132,0.4866344376510735,0.25467614305006436,0.4973563759584824,0.046485400844277644
V2_BASELINE,platt,2023,1000_plus,200385,0.5045587244554233,0.2520769449856698,0.5198861357495329,0.05725630168503272
V2_BASELINE,v2_strength,2023,lt50,3191,0.47069884048887495,0.25339867227181284,0.4964440544637937,0.01122227976130412
V2_BASELINE,v2_strength,2023,50_300,13817,0.4671057393066512,0.25301627100775315,0.5061057576427266,0.011587109018984234
V2_BASELINE,v2_strength,2023,300_1000,28132,0.4866344376510735,0.2517951053023874,0.4970151404843575,0.01134173267517641
V2_BASELINE,v2_strength,2023,1000_plus,200385,0.5045587244554233,0.25018187129165376,0.5197609373796136,0.014769903469428702
A_GLOBAL_PITCHER,native,2023,lt50,35256,0.49636941229861586,0.2511628359023232,0.4969285682103433,0.005657975278237584
