candidate_name,calibration_mode,hierarchy_structure,smoothing_policy,model_combination,mean_auc,mean_brier,worst_skill_margin,positive_fold_count,auc_2022,pseudo_2022,skill_2022,delta_auc_2022_vs_v2,delta_skill_2022_vs_v2,auc_2023,pseudo_2023,skill_2023,delta_auc_2023_vs_v2,delta_skill_2023_vs_v2,auc_2024,pseudo_2024,skill_2024,delta_auc_2024_vs_v2,delta_skill_2024_vs_v2,delta_mean_auc_vs_v2,bucket_improvement_rate_vs_v2,success_a,success_b,success_c,success_d,success_e
F_PITCHER_COUNT_PLUS_CATBOOST,platt,pitcher-count hierarchy + beta 0.5 CatBoost deviation,alpha_pitcher=100; alpha_context=300,hybrid,0.5278237738263918,0.24974583513722584,-0.0015718703115325805,2,0.5412295026868541,467.72206283813455,0.0011653931669284578,0.008950765682035788,0.0009423427198837209,0.5233282008626482,0.0,-0.0015718703115325805,0.007957716809901094,-0.0010038401316483925,0.5189136179296729,55.84497153827012,0.00013950460714795554,0.008225924256777484,0.00010657562646959606,0.008378135582904789,0.5,True,False,False,False,False
F_PITCHER_COUNT_PLUS_CATBOOST,native,pitcher-count hierarchy + beta 0.5 CatBoost deviation,alpha_pitcher=100; alpha_context=300,hybrid,0.5278237738263918,0.2512045618565314,-0.003283763750794505,1,0.5412295026868541,352.90048873399076,0.0008792995901898137,0.008950765682035788,0.0006562491431450768,0.5233282008626482,0.0,-0.003283763750794505,0.007957716809901094,-0.002715733570910317,0.5189136179296729,0.0,-0.002238688534768135,0.008225924256777484,-0.0022716175154464946,0.008378135582904789,0.3333333333333333,True,False,False,False,False
B_PITCHER_COUNT,v2_strength,global -> pitcher -> count_state,alpha_pitcher=100; alpha_context=300,pure,0.5272145022903492,0.24965421543943436,-0.00037696778879883763,2,0.5380284046176639,78.52940830600349,0.0001956667070341367,0.005749667612845566,-2.7383740010600288e-05,0.5243845878637836,0.0,-0.00037696778879883763,0.009014103811036511,0.0001910623910853504,0.5192305143896002,75.73354355669655,0.00018918763768299707,0.008542820716704758,0.0001562586570046376,0.007768864046862167,0.6666666666666666,True,True,True,False,False
B_PITCHER_COUNT,platt,global -> pitcher -> count_state,alpha_pitcher=100; alpha_context=300,pure,0.5271771780764888,0.24952667864687827,-0.0008124243734262404,2,0.5380282232537489,402.9772716373922,0.0010040727092153756,0.005749486248930569,0.0007810222621706386,0.5242766280200291,0.0,-0.0008124243734262404,0.008906143967281954,-0.0002443941935420524,0.5192266829556887,79.60091434576228,0.0001988485977974519,0.008538989282793286,0.00016591961711909242,0.007731539833001788,0.5833333333333334,True,False,False,False,False
B_PITCHER_COUNT,native,global -> pitcher -> count_state,alpha_pitcher=100; alpha_context=300,pure,0.5271771780764888,0.25040573390372245,-0.0016907323112677342,1,0.5380282232537489,416.67055920695793,0.0010381913985701707,0.005749486248930569,0.0008151409515254338,0.5242766280200291,0.0,-0.0016907323112677342,0.008906143967281954,-0.0011227021313835461,0.5192266829556887,0.0,-0.0015941279242484285,0.008538989282793286,-0.001627056904926788,0.007731539833001788,0.3333333333333333,True,False,False,False,False
A_GLOBAL_PITCHER,v2_strength,global -> pitcher,alpha_pitcher=100; alpha_context=300,pure,0.5262535165375817,0.24967188177523744,-0.00040084742305887544,2,0.5383729108955297,75.68903822618552,0.00018858953846423443,0.0060941738907114296,-3.446090858050255e-05,0.5226100532756341,0.0,-0.00040084742305887544,0.007239569222887043,0.00016718275682531258,0.5177775854415811,66.90984724632236,0.00016714543310369923,0.0070898917686856855,0.00013421645242533975,0.0068078782940946825,0.6666666666666666,True,True,True,False,False
A_GLOBAL_PITCHER,platt,global -> pitcher,alpha_pitcher=100; alpha_context=300,pure,0.5262291948769833,0.24956370868355238,-0.000885749694781307,2,0.5383734045592594,399.72491943869085,0.0009959690311339697,0.006094667554441102,0.0007729185840892328,0.5225359563796205,0.0,-0.000885749694781307,0.007165472326873368,-0.000317719514897119,0.5177782236920699,67.7273002026865,0.00016918748721167498,0.007090530019174479,0.0001362585065333155,0.006783556633496279,0.5833333333333334,True,False,False,False,False
A_GLOBAL_PITCHER,native,global -> pitcher,alpha_pitcher=100; alpha_context=300,pure,0.5262291948769833,0.25030522953532736,-0.0015751431904738877,1,0.5383734045592594,440.60730775774084,0.0010978330648843404,0.006094667554441102,0.0008747826178396034,0.5225359563796205,0.0,-0.0015751431904738877,0.007165472326873368,-0.0010071130105896997,0.5177782236920699,0.0,-0.0014678456061710532,0.007090530019174479,-0.0015007745868494127,0.006783556633496279,0.3333333333333333,True,False,False,False,False
V2_BASELINE,platt,flat CatBoost V2,none,CatBoost,0.5195480238223708,0.25030065146905367,-0.002676385892077665,1,0.5324856858143385,382.0230329244163,0.00095186237202044,0.00020694880952021322,0.000728811924975703,0.5154708686332126,0.0,-0.002676385892077665,0.00010038458046546239,-0.002108355712193477,0.5106875170195614,0.0,-0.0002068980128824005,-1.7665333407190786e-07,-0.00023982699356075998,0.00010238557888375688,0.3333333333333333,False,False,False,False,False
V2_BASELINE,v2_strength,flat CatBoost V2,none,CatBoost,0.519445638243487,0.24976086120879418,-0.000568030179884188,2,0.5322787370048183,89.51967299044315,0.00022305044704473698,0.0,0.0,0.5153704840527471,0.0,-0.000568030179884188,0.0,0.0,0.5106876936728955,13.181772461585556,3.2928980678359476e-05,0.0,0.0,0.0,0.0,False,False,False,False,False
