strategy,parameter,cap_type,cap_value,mean_brier,worst_brier,mean_pseudo_score,positive_fold_count,mean_skill_margin,worst_skill_margin,mean_pred_std,mean_auc,brier_2022,brier_2023,brier_2024,pseudo_2022,pseudo_2023,pseudo_2024,skill_2022,skill_2023,skill_2024,pred_std_2024,ready_like,selection_note
shrink,0.475,soft_cap,0.03,0.24975071586550476,0.250578125355305,39.65487022013218,2,-9.387157409762592e-05,-0.0005781271841932278,0.011274124997641286,0.5195480238223708,0.24890435216796028,0.250578125355305,0.24976967007324902,104.05041911948942,0.0,14.914191540907131,0.00025925577836138913,-0.0005781271841932278,3.7256683538960944e-05,0.005780155640264533,True,
temperature,2.3,soft_cap,0.025,0.24976474870755275,0.25056803360143426,32.67285887915839,2,-0.00010790441614560997,-0.0005680354303224944,0.009978322263287426,0.5195480238223708,0.24895639259091348,0.25056803360143426,0.2497698199303105,83.16437425036283,0.0,14.854202387112334,0.0002072153554081857,-0.0005680354303224944,3.710682647747876e-05,0.0052315390933954506,True,
temperature,2.2,soft_cap,0.03,0.24975323736209076,0.2505738578237805,38.07218053000392,2,-9.639307068365355e-05,-0.0005738596526687345,0.010975336242408235,0.5195480238223708,0.2489155780071344,0.2505738578237805,0.24977027625535747,99.5450102972905,0.0,14.671531292721253,0.00024802993918726646,-0.0005738596526687345,3.665050143050741e-05,0.005561181744691422,True,
shrink,0.45,soft_cap,0.03,0.24975543617079196,0.25057665865447837,37.56446364883406,2,-9.85918793848332e-05,-0.0005766604833666034,0.010885801590338924,0.5195480238223708,0.24891919563716403,0.25057665865447837,0.24977045422073352,98.09310082325428,0.0,14.600290123247902,0.00024441230915764334,-0.0005766604833666034,3.6472536054460436e-05,0.005508895846360122,True,
temperature,2.3,soft_cap,0.03,0.2497573277013545,0.25057304068457265,36.32146832377546,2,-0.00010048340994736615,-0.0005730425134608808,0.01066017012505338,0.5195480238223708,0.24892798898869148,0.25057304068457265,0.2497709534307994,94.5639532081871,0.0,14.400451763139282,0.00023561895763019036,-0.0005730425134608808,3.597332598859193e-05,0.005344162994780034,True,
temperature,2.1,hard_cap,0.02,0.24975822434843623,0.25057208494661726,35.83457265145504,2,-0.00010138005702910642,-0.0005720867755054926,0.010802541985693524,0.5193823587591996,0.24892923540781453,0.25057208494661726,0.24977335269087694,94.06371196777262,0.0,13.440005986592508,0.00023437253850713824,-0.0005720867755054926,3.357406591103507e-05,0.0061134302830925845,True,
shrink,0.475,hard_cap,0.02,0.24975942208113358,0.25057536622242016,35.79285824027709,2,-0.00010257778972647125,-0.0005753680513083947,0.010785014081294198,0.5193866713591921,0.2489295042691149,0.25057536622242016,0.24977339575186577,93.95580644233169,0.0,13.422768278499591,0.00023410367720677616,-0.0005753680513083947,3.3531004922204843e-05,0.006097238678211745,True,
temperature,2.2,hard_cap,0.02,0.24975941769712137,0.25056985958404254,35.058022501289116,2,-0.00010257340571423468,-0.0005698614129307777,0.010547382724466639,0.5193762516511499,0.2489347427828948,0.25056985958404254,0.24977365072442678,91.8533670760552,0.0,13.320700427812136,0.0002288651634268779,-0.0005698614129307777,3.3276032361195806e-05,0.005861749661253656,True,
shrink,0.45,hard_cap,0.02,0.24976092023800944,0.25057293532217706,34.86650232804888,2,-0.00010407594660230557,-0.0005729371510652947,0.010487147118449286,0.5194031905739973,0.24893606252012107,0.25057293532217706,0.2497737628717302,91.32370014870683,0.0,13.275806835439813,0.00022754542620059826,-0.0005729371510652947,3.3163885057779785e-05,0.00580479550222557,True,
temperature,2.3,hard_cap,0.02,0.24976086120879415,0.25056802835099595,34.233815150676236,2,-0.00010401691738703052,-0.000568030179884188,0.010300318360914345,0.519445638243487,0.24894055749927693,0.25056802835099595,0.24977399777610962,89.51967299044315,0.0,13.181772461585556,0.00022305044704473698,-0.000568030179884188,3.2928980678359476e-05,0.005623637767543283,True,Candidate A - conservative fold-stable
