valid_year,base_model,calibration,target_rate_estimator,mean_matching,strategy,parameter,cap_type,cap_value,target_rate,actual_rate,constant_brier,model_brier,skill_margin,pseudo_score,auc,logloss,pred_mean,pred_std
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.01,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24975597186820417,5.095488858380959e-05,20.397708440414572,0.5106676315598839,0.6926589400736124,0.48743120910202975,0.004834489597527025
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.01,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24914698853569844,1.661941062322536e-05,6.670079455104755,0.5324856858143385,0.691440445386342,0.5116223265211677,0.0067703785726878725
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.01,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2506183045008026,-0.0006183063296908153,0.0,0.5154708686332126,0.694386030864359,0.5274406369113818,0.007940276767969271
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.01,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24976202033659256,4.490642019541746e-05,17.976451165078522,0.5106875170195614,0.6926710631395117,0.48749196196808336,0.004269626242641111
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.0125,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24907087573587777,9.273221044389657e-05,37.21739751973501,0.5309678473426671,0.6912879764740659,0.5116364248124602,0.008765629081873822
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.0125,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2505990814646469,-0.0005990832935351131,0.0,0.5145580429041637,0.6943479740891916,0.5273530355779498,0.010195401878407817
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.0125,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24976176761840269,4.5159138385292286e-05,18.077616570360046,0.5106714787842115,0.6926705198351005,0.48753193034509085,0.005240377327775948
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.0125,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24909564568911108,6.79622572105909e-05,27.276157128545147,0.5324856858143385,0.6913376123696865,0.5116136889074067,0.007746752303897022
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.0125,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.25059908455978935,-0.0005990863886775888,0.0,0.5154708686332126,0.6943478158995293,0.5273825035899874,0.009414214007277764
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.0125,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24976303823215748,4.388852463049764e-05,17.568978250642147,0.5106875170195614,0.692673087402427,0.48753188406700165,0.004629616659708708
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.015,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24901832889687248,0.0001452790494491929,58.306688784379354,0.5315671778507536,0.6911826870598472,0.5116187250416964,0.009792233109339847
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.015,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2505853127646212,-0.0005853145935094395,0.0,0.5148336624132882,0.6943208075635805,0.5272888068003855,0.011762310990514573
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.015,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.2497676410965763,3.928566021169089e-05,15.72640948020605,0.5106715314812216,0.6926822599799379,0.4876303502567387,0.005548354664066808
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.015,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24905326313811255,0.00011034480820912296,44.28608540332864,0.5324856858143385,0.6912527036325338,0.5116022932054768,0.008541595571782985
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.015,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2505852982117144,-0.0005853000406026154,0.0,0.5154708686332126,0.6943205275941209,0.5273322962213943,0.010731668724988756
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.015,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.2497644588904003,4.24678663876743e-05,17.000275748566818,0.5106875170195614,0.692675920557432,0.4875676260875255,0.004892185608463283
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.02,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.2489347427828948,0.0002288651634268779,91.8533670760552,0.5322079847297956,0.6910150977547603,0.511580402394895,0.0112881023714355
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.02,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.25056985958404254,-0.0005698614129307777,0.0,0.5152333091090174,0.6942907988281073,0.5271859128827623,0.014492296140710756
