candidate_id,candidate_type,auc_2023,high_minus_low_actual_rate_2023,skill_2023,pseudo_2023,pred_std_2023,delta_vs_v2_skill_2023
blend2__A_v2_base__0.6__B_tuned_base__0.4,two_model_blend,0.5149730524931555,0.021826698240993425,-0.0005764256885240904,0.0,0.014362938017618796,-8.39550863990235e-06
blend2__A_v2_base__0.8__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.2,two_model_blend,0.5153373620825924,0.02233173846093861,-0.000569023945003605,0.0,0.014316423980760636,-9.937651194169561e-07
C_stable_reconstructed_A_recent_vs_longterm_v2_params,single_model,0.5159910223245899,0.023423277000820253,-0.0005524051571814403,0.0,0.01439821992901953,1.5625022702747682e-05
blend2__A_v2_base__0.0__C_stable_reconstructed_A_recent_vs_longterm_v2_params__1.0,two_model_blend,0.5159910223245899,0.023423277000820253,-0.0005524051571814403,0.0,0.01439821992901953,1.5625022702747682e-05
blend2__B_tuned_base__0.0__C_stable_reconstructed_A_recent_vs_longterm_v2_params__1.0,two_model_blend,0.5159910223245899,0.023423277000820253,-0.0005524051571814403,0.0,0.01439821992901953,1.5625022702747682e-05
blend2__A_v2_base__0.1__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.9,two_model_blend,0.5159455743279834,0.023488443480813193,-0.0005537796414688823,0.0,0.014388466109561172,1.4250538415305769e-05
blend2__A_v2_base__0.2__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.8,two_model_blend,0.515930111837035,0.023358110520827424,-0.0005551218176722827,0.0,0.014378096071095896,1.2908362211905278e-05
blend2__A_v2_base__0.7__B_tuned_base__0.3,two_model_blend,0.5150648488136167,0.02169636528100749,-0.0005742875003316994,0.0,0.014344206283897397,-6.257320447511372e-06
blend2__A_v2_base__0.3__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.7,two_model_blend,0.515863033160625,0.023211485940843213,-0.0005564522405699657,0.0,0.01436719710980412,1.1577939314222352e-05
blend2__A_v2_base__0.4__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.6,two_model_blend,0.5158025512881608,0.02350473510081147,-0.0005578834576391578,0.0,0.014355963449882199,1.0146722245030215e-05
blend2__A_v2_base__0.5__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.5,two_model_blend,0.5157505978241934,0.023358110520827424,-0.0005593916275030419,0.0,0.01434660573868164,8.63855238114608e-06
blend2__A_v2_base__0.8__B_tuned_base__0.2,two_model_blend,0.5151606386960473,0.021785969890608325,-0.0005721793971928124,0.0,0.014324992414003604,-4.149217308624387e-06
blend2__A_v2_base__0.6__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.4,two_model_blend,0.5156826191191295,0.022853070300882072,-0.0005609711517023663,0.0,0.014334566417833317,7.0590281818216916e-06
blend2__A_v2_base__0.9__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.1,two_model_blend,0.5153406065717606,0.022022197680972244,-0.0005685296111663518,0.0,0.01430091185068985,-4.99431282163787e-07
blend2__A_v2_base__0.7__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.3,two_model_blend,0.5155774955533754,0.022624987620906867,-0.0005626216813556517,0.0,0.014322285024074148,5.40849852853631e-06
blend2__A_v2_base__0.8__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.2,two_model_blend,0.5155206796189143,0.02254352952091565,-0.0005642984137468054,0.0,0.014309961875323395,3.731766137382575e-06
blend2__A_v2_base__0.9__B_tuned_base__0.1,two_model_blend,0.5152562674040752,0.02197332282097747,-0.0005701231094285275,0.0,0.014305235214725747,-2.0929295443394835e-06
blend2__A_v2_base__0.9__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.1,two_model_blend,0.5154482823530951,0.022201405500952787,-0.0005661335979179338,0.0,0.01429751592382077,1.896581966254196e-06
A_v2_base,single_model,0.5153704840527471,0.022168822260956345,-0.000568030179884188,0.0,0.014285022476808469,0.0
blend2__A_v2_base__1.0__B_tuned_base__0.0,two_model_blend,0.5153704840527471,0.022168822260956345,-0.000568030179884188,0.0,0.014285022476808469,0.0
blend2__A_v2_base__1.0__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.0,two_model_blend,0.5153704840527471,0.022168822260956345,-0.000568030179884188,0.0,0.014285022476808469,0.0
blend2__A_v2_base__1.0__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.0,two_model_blend,0.5153704840527471,0.022168822260956345,-0.000568030179884188,0.0,0.014285022476808469,0.0
