candidate_id,candidate_type,valid_year,weights,raw_prediction_std,actual_rate,constant_brier,model_brier,skill_margin,pseudo_score,auc,logloss,prediction_std,prediction_mean
blend2__A_v2_base__0.2__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.8,two_model_blend,2024,A_v2_base:0.200;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.800,0.06508794997749669,0.4861049201797189,0.24980692675678798,0.24977069164954027,3.623510724770629e-05,14.505245198018384,0.5107378307357132,0.692688361329544,0.005660271511109634,0.48773514482354297
blend2__A_v2_base__0.3__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.7,two_model_blend,2022,A_v2_base:0.300;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.700,0.056985817904843514,0.5289204435249241,0.24916360794632167,0.24893119772453556,0.0002324102217861057,93.27615043854028,0.5325298419804938,0.6910080014367619,0.01109864559866771,0.511592881910127
blend2__A_v2_base__0.3__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.7,two_model_blend,2023,A_v2_base:0.300;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.700,0.0618220520376019,0.49995723449750534,0.24999999817111176,0.25055645041168173,-0.0005564522405699657,0.0,0.515863033160625,0.6942639056566089,0.01436719710980412,0.5272053620898379
blend2__A_v2_base__0.3__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.7,two_model_blend,2024,A_v2_base:0.300;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.700,0.06512975751580372,0.4861049201797189,0.24980692675678798,0.2497710623897374,3.5864367050580936e-05,14.3568345026311,0.5107382625895793,0.69268910356724,0.0056573741852627615,0.48773515797861755
blend2__A_v2_base__0.4__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.6,two_model_blend,2022,A_v2_base:0.400;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.600,0.056939896825239276,0.5289204435249241,0.24916360794632167,0.24893203593955845,0.00023157200676321432,92.93973894177307,0.5325137131089481,0.6910096823371715,0.011088902105189319,0.5115899311751274
blend2__A_v2_base__0.4__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.6,two_model_blend,2023,A_v2_base:0.400;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.600,0.06183036735507677,0.49995723449750534,0.24999999817111176,0.2505578816287509,-0.0005578834576391578,0.0,0.5158025512881608,0.6942667657464948,0.014355963449882199,0.5272036866031655
blend2__A_v2_base__0.4__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.6,two_model_blend,2024,A_v2_base:0.400;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.600,0.06518085476690161,0.4861049201797189,0.24980692675678798,0.24977144514138994,3.5481615398041955e-05,14.203615511665477,0.5107366390420394,0.6926898698603391,0.005654007998545278,0.48773518221212464
blend2__A_v2_base__0.5__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.5,two_model_blend,2022,A_v2_base:0.500;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.500,0.05690789817578707,0.5289204435249241,0.24916360794632167,0.24893302112382573,0.00023058682249593732,92.5443424087893,0.5324912581919581,0.6910116576612143,0.011077332595874756,0.5115867268573194
blend2__A_v2_base__0.5__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.5,two_model_blend,2023,A_v2_base:0.500;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.500,0.06184949662857555,0.49995723449750534,0.24999999817111176,0.2505593897986148,-0.0005593916275030419,0.0,0.5157505978241934,0.6942697812072767,0.01434660573868164,0.5272016666934874
blend2__A_v2_base__0.5__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.5,two_model_blend,2024,A_v2_base:0.500;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.500,0.06524121990354483,0.4861049201797189,0.24980692675678798,0.24977184011440845,3.508664237952819e-05,14.045504196001955,0.510733614974908,0.6926906606329682,0.005650165136039327,0.4877352123187669
