candidate_id,candidate_type,weights,mean_auc,mean_brier,worst_skill_margin,overall_auc,overall_brier,overall_skill_margin
blend2__B_tuned_base__0.0__C_stable_reconstructed_A_recent_vs_longterm_v2_params__1.0,two_model_blend,B_tuned_base:0.000;C_stable_reconstructed_A_recent_vs_longterm_v2_params:1.000,0.5197531934362689,0.24975072238404283,-0.0005524051571814403,0.5197072732631136,0.24974878718407273,0.00022764539277062013
blend2__B_tuned_base__0.1__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.9,two_model_blend,B_tuned_base:0.100;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.900,0.5198474989513863,0.2497499552097203,-0.0005558418299335954,0.5197657450482261,0.24974800765294347,0.00022842492389987812
blend2__B_tuned_base__0.2__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.8,two_model_blend,B_tuned_base:0.200;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.800,0.5199177302365268,0.24974926123678884,-0.0005593459329325812,0.5198056304758231,0.24974730084017466,0.0002291317366686918
blend2__B_tuned_base__0.3__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.7,two_model_blend,B_tuned_base:0.300;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.700,0.5199902695431818,0.249748648196238,-0.0005629469936888898,0.5198526979840442,0.24974667434889347,0.00022975822794987777
blend2__B_tuned_base__0.4__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.6,two_model_blend,B_tuned_base:0.400;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.600,0.5200506062156526,0.249748096583611,-0.0005665987721140964,0.5198863296537664,0.24974610890796248,0.00023032366888087186
blend2__B_tuned_base__0.5__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.5,two_model_blend,B_tuned_base:0.500;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.500,0.5201181790018029,0.24974760267453822,-0.0005702404332792177,0.5199368804917646,0.24974560099065599,0.00023083158618736332
blend2__B_tuned_base__0.6__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.4,two_model_blend,B_tuned_base:0.600;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.400,0.520179026967774,0.24974720729798386,-0.000573984159000035,0.5199698096866494,0.24974519092958591,0.00023124164725743523
blend2__B_tuned_base__0.7__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.3,two_model_blend,B_tuned_base:0.700;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.300,0.5202430349539777,0.24974686690153836,-0.000577707980442016,0.5200101420399255,0.2497448357539212,0.00023159682292214767
blend2__B_tuned_base__0.8__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.2,two_model_blend,B_tuned_base:0.800;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.200,0.5202956221550968,0.2497465694971054,-0.000581406012498481,0.5200399755502569,0.2497445235667955,0.0002319090100478538
blend2__B_tuned_base__0.9__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.1,two_model_blend,B_tuned_base:0.900;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.100,0.5203471512397116,0.24974634785253005,-0.0005851981117432625,0.5200639556647357,0.24974428664394915,0.0002321459328941955
blend2__B_tuned_base__1.0__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.0,two_model_blend,B_tuned_base:1.000;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.000,0.520375678539629,0.2497461826788273,-0.0005889935297206661,0.5200832504050341,0.24974410600587946,0.0002323265709638922
blend3__A_v2_base__0.50__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.25__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.25,three_model_blend_limited,A_v2_base:0.500;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.250;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:0.250,0.519962125081107,0.2497498575931274,-0.0005648498377375522,0.5197807357639799,0.24974789307807924,0.00022853949876411317
blend3__A_v2_base__0.40__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.30__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.30,three_model_blend_limited,A_v2_base:0.400;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.300;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:0.300,0.5200702086548823,0.24974780874662358,-0.0005643093036334645,0.519844238588343,0.24974585018195106,0.00023058239489229249
blend3__A_v2_base__0.34__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.33__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.33,three_model_blend_limited,A_v2_base:0.340;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.330;D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params:0.330,0.5201256649561089,0.249746611069923,-0.0005640162352539557,0.5198766491905074,0.24974465584144734,0.00023177673539601096
