feature,importance,alpha,feature_set,valid_year
runner_on_2b,0.0427106334196887,20,recent_20,2022
runner_on_3b,1.0530746526166574,20,recent_20,2022
num_runners_on,0.0186568392158209,20,recent_20,2022
home_win_expectancy,0.130308364881985,20,recent_20,2022
away_win_expectancy,0.2084669774608913,20,recent_20,2022
li,0.2949541199876737,20,recent_20,2022
pitcher_hand,0.0,20,recent_20,2022
batter_hand,0.0,20,recent_20,2022
pitcher_team_id,0.103704196767999,20,recent_20,2022
batter_team_id,0.1443498124630731,20,recent_20,2022
asof_pitcher_n,1.1807983841842404,20,recent_20,2022
asof_pitcher_success_rate,0.7773829088315363,20,recent_20,2022
asof_pitcher_reverse_rate,0.7861231139938186,20,recent_20,2022
asof_pitcher_middle_rate,0.4350591039126137,20,recent_20,2022
asof_pitcher_ball_rate,0.1203966010715776,20,recent_20,2022
asof_pitcher_strike_rate,0.4068418172671267,20,recent_20,2022
asof_pitcher_prev1_game_success_rate,0.2155880814021015,20,recent_20,2022
asof_pitcher_prev3_game_success_rate,0.1486152438037087,20,recent_20,2022
asof_pitcher_prev5_game_success_rate,0.2135593252931334,20,recent_20,2022
asof_pitcher_prev1_game_middle_rate,0.2600241798580773,20,recent_20,2022
asof_pitcher_prev3_game_middle_rate,0.0865502210983794,20,recent_20,2022
asof_pitcher_prev5_game_middle_rate,0.2895312455569654,20,recent_20,2022
asof_batter_n,0.3930103066275978,20,recent_20,2022
asof_batter_success_rate,0.4977288340260846,20,recent_20,2022
asof_batter_middle_rate,0.0533786027595641,20,recent_20,2022
asof_pitcher_pitchmix_n,0.8086274013148654,20,recent_20,2022
asof_pitcher_fastball_rate,0.1265255155174277,20,recent_20,2022
asof_pitcher_breaking_rate,0.0096055498807542,20,recent_20,2022
asof_pitcher_offspeed_rate,0.0982283284349193,20,recent_20,2022
rf_pitcher_recent_20_control_rate,0.0870083795635681,20,recent_20,2022
rf_pitcher_recent_20_n,0.0282501401043218,20,recent_20,2022
top_bottom_code,0.0,20,recent_20,2022
game_type_code,1.6933612036451182,20,recent_20,2022
base_state_code,1.0497730185077814,20,recent_20,2022
pitcher_id_code,0.5649862338192996,20,recent_20,2022
batter_id_code,0.2572373871909149,20,recent_20,2022
count_index,0.5146046081606933,20,recent_20,2022
two_strike,0.0,20,recent_20,2022
three_ball,0.0,20,recent_20,2022
full_count,0.0,20,recent_20,2022
pitcher_count,0.0,20,recent_20,2022
hitter_count,0.1573010505495518,20,recent_20,2022
even_count,0.0,20,recent_20,2022
runner_on,0.143088510757963,20,recent_20,2022
scoring_position,0.5881846326716147,20,recent_20,2022
abs_score_diff_pitcher_team,0.216541771114701,20,recent_20,2022
pitcher_team_leading,0.0242171400163832,20,recent_20,2022
pitcher_team_trailing,0.0654434845424099,20,recent_20,2022
late_inning,0.0286831840962089,20,recent_20,2022
te_pitcher_id,4.303395813771632,20,recent_20,2022
te_pitcher_id_delta,4.086801387574313,20,recent_20,2022
te_batter_id,0.8873815364507939,20,recent_20,2022
te_batter_id_delta,0.0926714360934988,20,recent_20,2022
te_pitcher_team_id,0.47776560104012,20,recent_20,2022
te_pitcher_team_id_delta,0.6089236266641745,20,recent_20,2022
te_batter_team_id,1.0959221314019874,20,recent_20,2022
te_batter_team_id_delta,2.0869738732287955,20,recent_20,2022
te_game_type,0.4374193641351745,20,recent_20,2022
te_game_type_delta,1.2031132993582472,20,recent_20,2022
te_season,0.5784458150769255,20,recent_20,2022
te_season_delta,0.8885965239727606,20,recent_20,2022
te_pitcher_id__balls_before__strikes_before,11.434315655178263,20,recent_20,2022
te_pitcher_id__balls_before__strikes_before_delta,11.45690441637014,20,recent_20,2022
te_pitcher_id__batter_hand,1.4240866473023714,20,recent_20,2022
te_pitcher_id__batter_hand_delta,2.0517465032768603,20,recent_20,2022
te_pitcher_id__base_state,6.200915423116191,20,recent_20,2022
te_pitcher_id__base_state_delta,6.406558098475753,20,recent_20,2022
te_pitcher_id__game_type,5.343758816495085,20,recent_20,2022
te_pitcher_id__game_type_delta,4.129620918677702,20,recent_20,2022
te_batter_id__pitcher_hand,4.920409636946816,20,recent_20,2022
te_batter_id__pitcher_hand_delta,5.421172496753933,20,recent_20,2022
te_balls_before__strikes_before,0.2554346312067171,20,recent_20,2022
te_balls_before__strikes_before_delta,0.3307569632695114,20,recent_20,2022
te_balls_before__strikes_before__game_type,1.293810318559153,20,recent_20,2022
te_balls_before__strikes_before__game_type_delta,1.3320526638036154,20,recent_20,2022
te_pitcher_hand__batter_hand,0.13336255772714,20,recent_20,2022
te_pitcher_hand__batter_hand_delta,0.0526212384621269,20,recent_20,2022
te_base_state__outs_before,0.2972603781946321,20,recent_20,2022
te_base_state__outs_before_delta,0.2705316720377209,20,recent_20,2022
asof_pitcher_success_minus_global,1.076501032356281,20,recent_20,2022
asof_batter_success_minus_global,0.3510527815327559,20,recent_20,2022
pitcher_success_x_two_strike,0.2488509125010893,20,recent_20,2022
pitcher_success_x_runner_on,0.2158633000563225,20,recent_20,2022
pitcher_fastball_x_hitter_count,0.0665816553092153,20,recent_20,2022
season,1.1330671144484354,20,recent_50,2022
game_month,1.0529811073801143,20,recent_50,2022
game_dayofweek,0.1100515913885794,20,recent_50,2022
inning,0.1350426520858088,20,recent_50,2022
balls_before,0.3223739370831798,20,recent_50,2022
strikes_before,0.2275839657790785,20,recent_50,2022
outs_before,0.0739588435161074,20,recent_50,2022
run_top_before,0.1989090152219029,20,recent_50,2022
run_bot_before,0.0518180398622451,20,recent_50,2022
run_total_before,0.1470603452677089,20,recent_50,2022
score_diff_home,0.1728003793287348,20,recent_50,2022
score_diff_pitcher_team,0.1145466501001365,20,recent_50,2022
runner_on_1b,0.0239627581670992,20,recent_50,2022
runner_on_2b,0.0612688159389643,20,recent_50,2022
runner_on_3b,0.8995268379076861,20,recent_50,2022
num_runners_on,0.2104270122355331,20,recent_50,2022
home_win_expectancy,0.2251866268848921,20,recent_50,2022
away_win_expectancy,0.1388032371323661,20,recent_50,2022
li,0.4012799649491667,20,recent_50,2022
pitcher_hand,0.0,20,recent_50,2022
batter_hand,0.0,20,recent_50,2022
pitcher_team_id,0.202401924747426,20,recent_50,2022
batter_team_id,0.2156578543022433,20,recent_50,2022
asof_pitcher_n,1.2718744486655715,20,recent_50,2022
asof_pitcher_success_rate,0.7066733866113561,20,recent_50,2022
asof_pitcher_reverse_rate,0.5485338592784543,20,recent_50,2022
asof_pitcher_middle_rate,0.4649131020703503,20,recent_50,2022
asof_pitcher_ball_rate,0.2277278017899502,20,recent_50,2022
asof_pitcher_strike_rate,0.316820371911342,20,recent_50,2022
asof_pitcher_prev1_game_success_rate,0.3062159493959901,20,recent_50,2022
asof_pitcher_prev3_game_success_rate,0.1791870769406712,20,recent_50,2022
asof_pitcher_prev5_game_success_rate,0.1527108084407971,20,recent_50,2022
asof_pitcher_prev1_game_middle_rate,0.1180387253397841,20,recent_50,2022
asof_pitcher_prev3_game_middle_rate,0.0990529422254896,20,recent_50,2022
asof_pitcher_prev5_game_middle_rate,0.215360440321262,20,recent_50,2022
asof_batter_n,0.1973856439490407,20,recent_50,2022
asof_batter_success_rate,0.6000465775126287,20,recent_50,2022
asof_batter_middle_rate,0.0393746447222504,20,recent_50,2022
asof_pitcher_pitchmix_n,0.7964292813322829,20,recent_50,2022
asof_pitcher_fastball_rate,0.1638969862545065,20,recent_50,2022
asof_pitcher_breaking_rate,0.0461245885988118,20,recent_50,2022
asof_pitcher_offspeed_rate,0.0817781298098415,20,recent_50,2022
rf_pitcher_recent_50_control_rate,0.066981895084122,20,recent_50,2022
rf_pitcher_recent_50_n,0.0354178839953343,20,recent_50,2022
top_bottom_code,0.0216835382645871,20,recent_50,2022
game_type_code,1.957496459175917,20,recent_50,2022
base_state_code,1.0442876450239411,20,recent_50,2022
pitcher_id_code,0.5297961794175591,20,recent_50,2022
batter_id_code,0.155423711858077,20,recent_50,2022
count_index,0.5709553480509407,20,recent_50,2022
two_strike,0.0,20,recent_50,2022
three_ball,0.2184210029547891,20,recent_50,2022
full_count,0.0,20,recent_50,2022
pitcher_count,0.024496418536913,20,recent_50,2022
hitter_count,0.183928318820177,20,recent_50,2022
even_count,0.0263530377798856,20,recent_50,2022
runner_on,0.144045261315313,20,recent_50,2022
scoring_position,0.5535332163818204,20,recent_50,2022
abs_score_diff_pitcher_team,0.1981390710680844,20,recent_50,2022
pitcher_team_leading,0.0,20,recent_50,2022
pitcher_team_trailing,0.0523662445015487,20,recent_50,2022
late_inning,0.0288749720477729,20,recent_50,2022
te_pitcher_id,3.999478445015897,20,recent_50,2022
te_pitcher_id_delta,4.27886180793325,20,recent_50,2022
te_batter_id,0.7913843981854587,20,recent_50,2022
te_batter_id_delta,0.098427693322558,20,recent_50,2022
te_pitcher_team_id,0.5625194792013224,20,recent_50,2022
te_pitcher_team_id_delta,0.3373188510565199,20,recent_50,2022
te_batter_team_id,1.29386554576363,20,recent_50,2022
te_batter_team_id_delta,2.11778225625704,20,recent_50,2022
te_game_type,0.2978401494265268,20,recent_50,2022
te_game_type_delta,1.3108625024557574,20,recent_50,2022
te_season,0.5941074060400455,20,recent_50,2022
te_season_delta,1.133460209994711,20,recent_50,2022
te_pitcher_id__balls_before__strikes_before,10.814806895428074,20,recent_50,2022
te_pitcher_id__balls_before__strikes_before_delta,12.10991914635622,20,recent_50,2022
te_pitcher_id__batter_hand,1.5143731331691928,20,recent_50,2022
te_pitcher_id__batter_hand_delta,1.8439977893803643,20,recent_50,2022
te_pitcher_id__base_state,6.009674143909895,20,recent_50,2022
te_pitcher_id__base_state_delta,6.744664874592159,20,recent_50,2022
te_pitcher_id__game_type,5.294133919877126,20,recent_50,2022
te_pitcher_id__game_type_delta,4.099083664959059,20,recent_50,2022
te_batter_id__pitcher_hand,4.619979337196992,20,recent_50,2022
te_batter_id__pitcher_hand_delta,5.729107072806248,20,recent_50,2022
te_balls_before__strikes_before,0.139731483825424,20,recent_50,2022
te_balls_before__strikes_before_delta,0.4561808456247503,20,recent_50,2022
te_balls_before__strikes_before__game_type,1.3166222985275802,20,recent_50,2022
te_balls_before__strikes_before__game_type_delta,1.24958055350396,20,recent_50,2022
