alpha,feature_set,train_start,train_end,cal_year,valid_year,stage,trend_prior,train_seconds,brier,logloss,auc,pred_mean,pred_std,actual_rate,baseline_brier,baseline_auc,improvement_vs_recent_baseline,auc_delta_vs_recent_baseline
5,best_candidate,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,8.869188070297241,0.248931143375965,0.6910077771603222,0.5301873073819339,0.5174148922690233,0.0068758145572163,0.5289204435249241,0.2488975149153299,0.5324856858143385,-3.3628460635093393e-05,-0.0022983784324046574
5,context_recent,2019,2020,2021,2022,raw,0.5114727049981269,8.914371252059937,0.2489171360395542,0.6910047092354469,0.5355157834335127,0.5461787454516103,0.0575588002731147,0.5289204435249241,0.2488975149153299,0.5324856858143385,-1.962112422429496e-05,0.0030300976191741658
5,context_recent,2019,2020,2021,2022,platt,0.5114727049981269,8.914371252059937,0.248090711352757,0.689308904390395,0.5355157834335127,0.5353006618697564,0.0294757690826339,0.5289204435249241,0.2488975149153299,0.5324856858143385,0.0008068035625728998,0.0030300976191741658
5,context_recent,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,8.914371252059937,0.2488543403905134,0.6908539004876111,0.5355157834335127,0.5174296942160342,0.0073689422706584,0.5289204435249241,0.2488975149153299,0.5324856858143385,4.3174524816502746e-05,0.0030300976191741658
5,baseline,2019,2021,2022,2023,raw,0.5129662444084708,14.400694608688354,0.2540765927559245,0.7018125133287548,0.5154708686332126,0.5419201905674266,0.0621068049028453,0.4999572344975053,0.2501588034603313,0.5154708686332126,-0.003917789295593166,0.0
5,baseline,2019,2021,2022,2023,platt,0.5129662444084708,14.400694608688354,0.2526763840631894,0.6987763406570034,0.5154708686332126,0.5311629375524517,0.0553838486776047,0.4999572344975053,0.2501588034603313,0.5154708686332126,-0.0025175806028580605,0.0
5,baseline,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,14.400694608688354,0.2501588034603313,0.6934669240938918,0.5154708686332126,0.5175154176944661,0.0138459621694011,0.4999572344975053,0.2501588034603313,0.5154708686332126,0.0,0.0
5,recent_delta,2019,2021,2022,2023,raw,0.5129662444084708,28.937337160110477,0.2541434681387067,0.7019785525024684,0.5149939183742074,0.5412007295192502,0.0628195853017775,0.4999572344975053,0.2501588034603313,0.5154708686332126,-0.0039846646783753825,-0.0004769502590051822
5,recent_delta,2019,2021,2022,2023,platt,0.5129662444084708,28.937337160110477,0.2527150532426271,0.6988647125388736,0.5149939183742074,0.5308490492702344,0.0554854264049327,0.4999572344975053,0.2501588034603313,0.5154708686332126,-0.002556249782295794,-0.0004769502590051822
5,recent_delta,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,28.937337160110477,0.2501684825831893,0.6934863808737135,0.5149939183742074,0.5174369456239117,0.0138713566012331,0.4999572344975053,0.2501588034603313,0.5154708686332126,-9.679122857986222e-06,-0.0004769502590051822
5,recent_20,2019,2021,2022,2023,raw,0.5129662444084708,18.17550826072693,0.2542654983934809,0.7022034648251513,0.5142948485215201,0.5426709765249217,0.0623860968749731,0.4999572344975053,0.2501588034603313,0.5154708686332126,-0.0041066949331495795,-0.0011760201116924884
5,recent_20,2019,2021,2022,2023,platt,0.5129662444084708,18.17550826072693,0.2527858596774839,0.698997431366235,0.5142948485215201,0.5312350103407204,0.0555913805940829,0.4999572344975053,0.2501588034603313,0.5154708686332126,-0.00262705621715259,-0.0011760201116924884
