ensemble_norm,stage,weights_norm,mean_brier,std_brier,worst_brier,folds_improved,mean_improvement,mean_logloss,mean_auc,mean_pred_std
"{'catboost': 0.5, 'sklearn_hgb': 0.4, 'xgboost': 0.1}",raw_avg_plus_trend_w075,"{'catboost': 0.5, 'sklearn_hgb': 0.4, 'xgboost': 0.1}",0.24968899418403287,0.0008976820589481476,0.2502774163539651,1,3.546897423514962e-05,0.692525566092101,0.5167676304511568,0.0155428524918822
"{'catboost': 0.2, 'lightgbm': 0.4, 'xgboost': 0.4}",raw_avg_plus_trend_w075,"{'catboost': 0.2, 'lightgbm': 0.4, 'xgboost': 0.4}",0.24968903118822228,0.000861478921389928,0.2502649147808643,1,3.543197004573051e-05,0.6925256779110311,0.5166397331611612,0.015395278944685268
"{'catboost': 0.2, 'sklearn_hgb': 0.6, 'xgboost': 0.2}",platt_avg_plus_trend_w075,"{'catboost': 0.2, 'sklearn_hgb': 0.6, 'xgboost': 0.2}",0.24968937987100503,0.0005897655310009817,0.2501878572088397,3,3.508328726298249e-05,0.6925261182096426,0.5158055299051346,0.007104029920351067
"{'catboost': 0.4, 'sklearn_hgb': 0.4, 'xgboost': 0.2}",raw_avg_plus_trend_w075,"{'catboost': 0.4, 'sklearn_hgb': 0.4, 'xgboost': 0.2}",0.24968953918913175,0.0008941277063111083,0.2502795221061909,1,3.49239691362309e-05,0.6925266577314125,0.5166536389422849,0.015501905834837399
"{'catboost': 0.3, 'lightgbm': 0.7}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.3, 'lightgbm': 0.7}",0.24968962441900674,0.0005479043814967112,0.2501464705092727,3,3.483873926130032e-05,0.6925266362507569,0.5152500284093539,0.007207113922453267
"{'sklearn_hgb': 0.5, 'xgboost': 0.5}",raw_avg_then_platt_plus_trend_w075,"{'sklearn_hgb': 0.5, 'xgboost': 0.5}",0.24968976500542858,0.0005936883353766583,0.2501940077526209,3,3.469815283945373e-05,0.692526908723209,0.5155597119960444,0.0072578826952218
"{'catboost': 0.3, 'lightgbm': 0.3, 'sklearn_hgb': 0.4}",platt_avg_plus_trend_w075,"{'catboost': 0.3, 'lightgbm': 0.3, 'sklearn_hgb': 0.4}",0.24968989627698782,0.0005705300143043981,0.2501687484068093,3,3.456688128016435e-05,0.6925271525688294,0.5156375382654693,0.007057472566144433
"{'catboost': 0.1, 'lightgbm': 0.7, 'xgboost': 0.2}",platt_avg_plus_trend_w075,"{'catboost': 0.1, 'lightgbm': 0.7, 'xgboost': 0.2}",0.24968999719150567,0.0005525413670226596,0.2501525140138085,3,3.446596676231114e-05,0.6925273582966982,0.5155438969154368,0.0070341191364752
"{'lightgbm': 0.6, 'xgboost': 0.4}",raw_avg_then_platt_plus_trend_w075,"{'lightgbm': 0.6, 'xgboost': 0.4}",0.24969017624241893,0.0005574996698255032,0.2501588601727558,3,3.42869158490855e-05,0.6925277337005515,0.5154094071989136,0.007163302395119267
"{'lightgbm': 0.3, 'sklearn_hgb': 0.3, 'xgboost': 0.4}",platt_avg_plus_trend_w075,"{'lightgbm': 0.3, 'sklearn_hgb': 0.3, 'xgboost': 0.4}",0.24969017731988163,0.0005753935934563754,0.2501762415631364,3,3.42858383863646e-05,0.6925277139078471,0.515740851540601,0.007041540263046667
"{'catboost': 0.1, 'lightgbm': 0.4, 'xgboost': 0.5}",raw_avg_plus_trend_w075,"{'catboost': 0.1, 'lightgbm': 0.4, 'xgboost': 0.5}",0.24969021421094398,0.0008579756740841833,0.2502676663231497,1,3.424894732408025e-05,0.6925280496621266,0.5165234625858508,0.015374216280468533
"{'catboost': 0.3, 'lightgbm': 0.6, 'sklearn_hgb': 0.1}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.3, 'lightgbm': 0.6, 'sklearn_hgb': 0.1}",0.24969024918205374,0.0005527633026389346,0.2501522163562523,3,3.4213976214318244e-05,0.6925278883486801,0.5152171977211729,0.007213850780587567
"{'catboost': 0.3, 'sklearn_hgb': 0.4, 'xgboost': 0.3}",raw_avg_plus_trend_w075,"{'catboost': 0.3, 'sklearn_hgb': 0.4, 'xgboost': 0.3}",0.2496902828376666,0.0008906108522970562,0.2502818592359392,1,3.418032060140204e-05,0.6925281476800871,0.5165355426806116,0.015467151193864567
"{'catboost': 0.3, 'sklearn_hgb': 0.6, 'xgboost': 0.1}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.3, 'sklearn_hgb': 0.6, 'xgboost': 0.1}",0.2496907952748515,0.0005876504421286908,0.2501877081945886,3,3.3667883416512355e-05,0.6925289829263298,0.5153480761047623,0.007303898212180866
"{'lightgbm': 0.5, 'sklearn_hgb': 0.1, 'xgboost': 0.4}",raw_avg_then_platt_plus_trend_w075,"{'lightgbm': 0.5, 'sklearn_hgb': 0.1, 'xgboost': 0.4}",0.24969079753144166,0.0005624590322411898,0.2501646790625368,3,3.3665626826347626e-05,0.6925289780426116,0.5153688085555719,0.007169468087617733
"{'catboost': 0.3, 'lightgbm': 0.5, 'sklearn_hgb': 0.2}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.3, 'lightgbm': 0.5, 'sklearn_hgb': 0.2}",0.24969107516067957,0.0005574876202006914,0.2501581522868567,3,3.338799758846137e-05,0.6925295427763775,0.5151721749202525,0.0072184949956203
"{'catboost': 0.2, 'sklearn_hgb': 0.4, 'xgboost': 0.4}",raw_avg_plus_trend_w075,"{'catboost': 0.2, 'sklearn_hgb': 0.4, 'xgboost': 0.4}",0.24969122512963737,0.0008871320262894813,0.2502844277432101,1,3.323802863064453e-05,0.6925300358668047,0.5164122811337718,0.0154386293114675
